seed_title,source_seed,wikidata_qid
Abi (singer),Category:American country singer-songwriters,Q18977701
Ariel Abshire,Category:American country singer-songwriters,Q16146072
Colby Acuff,Category:American country singer-songwriters,Q122781212
Roy Acuff,Category:American country singer-songwriters,Q455773
Kay Adams (singer),Category:American country singer-songwriters,Q4933919
Ryan Adams,Category:American country singer-songwriters,Q437970
Gavin Adcock,Category:American country singer-songwriters,Q128509249
Adeem the Artist,Category:American country singer-songwriters,Q109700264
Tanner Adell,Category:American country singer-songwriters,Q125027827
Doug Adkins,Category:American country singer-songwriters,Q5300234
Hasil Adkins,Category:American country singer-songwriters,Q390372
Trace Adkins,Category:American country singer-songwriters,Q967817
"David ""Stringbean"" Akeman",Category:American country singer-songwriters,Q3398247
Rhett Akins,Category:American country singer-songwriters,Q1329931
Julien Aklei,Category:American country singer-songwriters,Q6308635
Lauren Alaina,Category:American country singer-songwriters,Q271796
Buddy Alan,Category:American country singer-songwriters,Q4984798
Andy Albert,Category:American country singer-songwriters,Q24886493
Christine Albert,Category:American country singer-songwriters,Q5110902
Jason Aldean,Category:American country singer-songwriters,Q195439
Ray Alden,Category:American country singer-songwriters,Q7297128
Charlie Aldrich,Category:American country singer-songwriters,Q1066795
Walt Aldridge,Category:American country singer-songwriters,Q7963883
Lennie Aleshire,Category:American country singer-songwriters,Q6522780
Arthur Alexander,Category:American country singer-songwriters,Q2864978
Daniele Alexander,Category:American country singer-songwriters,Q5219257
Dean Alexander,Category:American country singer-songwriters,Q18204983
Jessi Alexander,Category:American country singer-songwriters,Q3808128
Pat Alger,Category:American country singer-songwriters,Q7143191
Fleming Allan,Category:American country singer-songwriters,Q5458560
Gary Allan,Category:American country singer-songwriters,Q1494805
Susie Allanson,Category:American country singer-songwriters,Q2369682
Deborah Allen,Category:American country singer-songwriters,Q427993
Duane Allen,Category:American country singer-songwriters,Q16106162
Harley Allen,Category:American country singer-songwriters,Q5658777
Jimmie Allen,Category:American country singer-songwriters,Q55584464
Jules Verne Allen,Category:American country singer-songwriters,Q68042367
Rex Allen,Category:American country singer-songwriters,Q1374215
Rex Allen Jr.,Category:American country singer-songwriters,Q7319131
Rosalie Allen,Category:American country singer-songwriters,Q7367183
Terry Allen (country singer),Category:American country singer-songwriters,Q1279401
Amy Allison,Category:American country singer-songwriters,Q17305611
Gregg Allman,Category:American country singer-songwriters,Q503264
Ruby Allmond,Category:American country singer-songwriters,Q7376269
Tommy Alverson,Category:American country singer-songwriters,Q7819170
Dave Alvin,Category:American country singer-songwriters,Q1173086
Abby Anderson,Category:American country singer-songwriters,Q65615845
Al Anderson (NRBQ),Category:American country singer-songwriters,Q4703484
Bill Anderson,Category:American country singer-songwriters,Q861913
Brent Anderson (singer),Category:American country singer-songwriters,Q4961294
Carlton Anderson,Category:American country singer-songwriters,Q56276140
Casey Anderson,Category:American country singer-songwriters,Q1047141
Coffey Anderson,Category:American country singer-songwriters,Q5140989
Doug Anderson (singer),Category:American country singer-songwriters,Q2334220
John Anderson (singer),Category:American country singer-songwriters,Q1699148
Keith Anderson,Category:American country singer-songwriters,Q6383977
Liz Anderson,Category:American country singer-songwriters,Q546200
Ingrid Andress,Category:American country singer-songwriters,Q71746387
Courtney Marie Andrews,Category:American country singer-songwriters,Q5178647
Jessica Andrews,Category:American country singer-songwriters,Q2353202
Jill Andrews,Category:American country singer-songwriters,Q41693898
Sheila Andrews,Category:American country singer-songwriters,Q13561712
Lisa Angelle,Category:American country singer-songwriters,Q378082
Jack Anglin,Category:American country singer-songwriters,Q1676961
Oliver Anthony,Category:American country singer-songwriters,Q121391237
Susan Anton,Category:American country singer-songwriters,Q274204
Maggie Antone,Category:American country singer-songwriters,Q137171060
Daniel Antopolsky,Category:American country singer-songwriters,Q113557287
Angie Aparo,Category:American country singer-songwriters,Q2849587
Tony Arata,Category:American country singer-songwriters,Q7821768
Katie Armiger,Category:American country singer-songwriters,Q6377390
Russell Arms,Category:American country singer-songwriters,Q7381332
Tim Armstrong,Category:American country singer-songwriters,Q503710
Robert Sterling Arnold,Category:American country singer-songwriters,Q7350042
