artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
artist_001475,Trixie Mattel,Brian Michael Firkus,Trixie Mattel,Trixie Mattel,Q23905339,595e584e-4e43-4f71-9336-e90d1ccf643c,,240154590216943082023,https://en.wikipedia.org/wiki/Trixie_Mattel,1989.0,Milwaukee,Marinette County,Wisconsin,WI,United States,,,,United States,drag queen|comedian|musician|singer-songwriter|television personality|actor|television producer|podcaster,Comedy|beauty|music|toys,,0.3,,,ATO Records,,http://www.trixiemattel.com/,1980.0,Midwest,0.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,,,insufficient_country_evidence,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q23905339|https://en.wikipedia.org/wiki/Trixie_Mattel|https://musicbrainz.org/artist/595e584e-4e43-4f71-9336-e90d1ccf643c,3.0,high,high,low,1.0,low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,trixie mattel,1.0,0.0,0.0,0.0,1.0,Trixie Mattel,,,1.0,,,,,,,,
artist_001476,Clare Bowen,Clare Maree Bowen,Clare Bowen,Clare Maree Bowen|Clare Bowen,Q39992,61f322a2-c293-4b25-8e5f-bd00611668d0,0000000467944129,295696399,https://en.wikipedia.org/wiki/Clare_Bowen,1984.0,Minnamurra,,New South Wales,,Australia,,,,Australia,actor|singer|film actor|film director,folk music,,0.3,voice,,,,,1980.0,Unknown,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,,,non_us_birth,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q39992|https://en.wikipedia.org/wiki/Clare_Bowen|https://musicbrainz.org/artist/61f322a2-c293-4b25-8e5f-bd00611668d0,3.0,high,low,low,1.0,birth data enriched from MusicBrainz|low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,clare bowen,1.0,0.0,0.0,0.0,1.0,Clare Bowen,,,1.0,,,,,,,,
artist_001477,Anne McCue,,,Anne McCue,Q4768631,43858c0d-b309-4459-b6d9-c590810620af,0000000001486453,76572564,https://en.wikipedia.org/wiki/Anne_McCue,1950.0,Sydney,,New South Wales,,Australia,,,,Australia,singer|record producer|composer,,,0.3,guitar|voice,,,,http://www.annemccue.com/,,Unknown,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,non_us_birth,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q4768631|https://en.wikipedia.org/wiki/Anne_McCue|https://musicbrainz.org/artist/43858c0d-b309-4459-b6d9-c590810620af,3.0,low,low,low,1.0,low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,anne mccue,1.0,0.0,0.0,0.0,1.0,Anne McCue,,,1.0,,,,,,,,
artist_001478,8 Ball Aitken,Eightball Aitken,8 Ball Aitken,8 Ball Aitken,Q4645217,4f7a0bb9-d251-4fa3-a4bf-ebd6c9c4710f,,,https://en.wikipedia.org/wiki/8_Ball_Aitken,1981.0,Brisbane,,Queensland,,Australia,,,,Australia,singer,,,0.3,voice,,,,,1980.0,Unknown,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,,,unresolved_birth_country,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q4645217|https://en.wikipedia.org/wiki/8_Ball_Aitken|https://musicbrainz.org/artist/4f7a0bb9-d251-4fa3-a4bf-ebd6c9c4710f,3.0,high,low,low,1.0,birth data enriched from MusicBrainz|low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,8 ball aitken,1.0,0.0,0.0,0.0,1.0,8 Ball Aitken,,,1.0,,,,,,,,
artist_001479,The Allman Brothers Band,,,The Allman Brothers|Allman Brothers|Allman Brothers Band|The Allman Brothers Band,Q507327,72359492-22be-4ed9-aaa0-efa434fb2b01,0000000107195179,81145969960932250407,https://en.wikipedia.org/wiki/The_Allman_Brothers_Band,1969.0,Macon,,Florida,FL,United States,,,,,,hard rock|blues|Southern rock|classic rock|blues rock|Southern rock|blues rock|jazz rock|| jam band |,,0.2,,,Sanctuary Records|Capricorn Records|Arista Records|PolyGram|Epic Records|Atco Records,Grammy Lifetime Achievement Award|Rock and Roll Hall of Fame,http://www.allmanbrothersband.com/,,South,0.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,,,insufficient_country_evidence,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q507327|https://en.wikipedia.org/wiki/The_Allman_Brothers_Band|https://musicbrainz.org/artist/72359492-22be-4ed9-aaa0-efa434fb2b01,3.0,high,medium,low,1.0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,the allman brothers band,1.0,0.0,0.0,0.0,1.0,The Allman Brothers Band,,,1.0,,,,,,,,
artist_001480,Polo G,Taurus Tremani Bartlett,Polo G,Lil Capalot|It's Capalot|Balawi|Polo Capalot|Bernard Tremani Bartlett|Mr. Doodoo bug|Kolo G|Piano G|Polo G,Q62953486,7e1e5648-1d6a-4248-975a-98603e781848,,45157340781109922928,https://en.wikipedia.org/wiki/Polo_G,1999.0,Chicago,,Illinois,IL,United States,,,,United States,rapper|singer|songwriter|music executive,hip-hop|drill|trap music|conscious hip-hop|Midwest hip-hop|Chicago hip-hop|Midwestern hip-hop|drill|||trap|conscious hip hop,,0.1,voice,,Columbia Records,,https://www.polocapalot.com/,1990.0,Midwest,0.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,,,insufficient_country_evidence,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q62953486|https://en.wikipedia.org/wiki/Polo_G|https://musicbrainz.org/artist/7e1e5648-1d6a-4248-975a-98603e781848,3.0,high,high,low,1.0,low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,polo g,1.0,0.0,0.0,0.0,1.0,Polo G,,,1.0,,,,,,,,
artist_001481,Gwen Stefani,Gwen Renée Stefani,Gwen Stefani,Gwen Renee Stefani|Gwen Rossdale|Gwen Shelton|Gwen Renée Stefani Shelton|Gwen Renée Stefani|Gwen Stefani,Q483379,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,0000000063105556,57771690,https://en.wikipedia.org/wiki/Gwen_Stefani,1969.0,Fullerton,,California,CA,United States,,,,United States,singer|rapper|singer-songwriter|fashion designer|actor,pop music|contemporary R&B|ska|electronica|new wave|rock music|Pop|| pop rock|| ska punk|| electro |,,0.1,voice,No Doubt,Interscope Records,American Music Award for Favorite Pop/Rock Female Artist|Billboard Music Award for Top New Artist|BRIT Award for International Female Solo Artist|MTV Video Music Award for Best Choreography|MTV Video Music Award for Best Art Direction|Grammy Award for Best Melodic Rap Performance|Grammy Award for Best Pop Performance by a Duo or Group with Vocals,http://www.gwenstefani.com/,1960.0,West,0.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,,,insufficient_country_evidence,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q483379|https://en.wikipedia.org/wiki/Gwen_Stefani|https://musicbrainz.org/artist/2e41ae9c-afd2-4f20-8f1e-17281ce9b472,3.0,high,high,low,1.0,low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,gwen stefani,1.0,0.0,0.0,0.0,1.0,Gwen Stefani,,,1.0,,,,,,,,
artist_001482,Diplo,Thomas Wesley Pentz,Diplodocus,Thomas Wesley Pentz|Diplodocus|Thomas Wesley|Diplo,Q533781,a56bd8f9-8ef8-4d63-89a4-794ed1360dd2,0000000120083948,171136721,https://en.wikipedia.org/wiki/Diplo,1978.0,Tupelo,,Mississippi,MS,United States,,,,United States,disc jockey|record producer|songwriter|rapper|singer,electronic dance music|trap music|hip-hop|pop music|moombahton|electropop|house music|EDM trap music|EDM|trap|hip-hop|pop|moombahton,,0.1,,LSD|Jack Ü|Major Lazer|Silk City,Mad Decent|Atlantic Records|Columbia Records,Grammy Award for Best Dance/Electronic Recording|Grammy Award for Best Dance/Electronic Album,https://diplo.com/,1970.0,South,0.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,,,insufficient_country_evidence,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q533781|https://en.wikipedia.org/wiki/Diplo|https://musicbrainz.org/artist/a56bd8f9-8ef8-4d63-89a4-794ed1360dd2,3.0,high,high,low,1.0,low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,diplo,1.0,0.0,0.0,0.0,1.0,Diplo,,,1.0,,,,,,,,
artist_001483,Amy Grant,Amy Lee Grant,Amy Grant,Amy Lee Grant|Amy Grant,Q464213,3cd18a93-1797-4bbb-9b8a-c096d5e7864c,0000000073580836,74046543,https://en.wikipedia.org/wiki/Amy_Grant,1960.0,Augusta,,Georgia,GA,United States,,,,United States,singer|songwriter|voice actor|singer-songwriter,contemporary Christian music|pop music|Contemporary Christian|pop rock|soft rock|gospel,,0.1,voice,,Myrrh Records|A&M Records,Gospel Music Hall of Fame|star on Hollywood Walk of Fame|Covenant Awards|Kennedy Center Honors,http://www.amygrant.com/,1960.0,South,0.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,,,insufficient_country_evidence,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q464213|https://en.wikipedia.org/wiki/Amy_Grant|https://musicbrainz.org/artist/3cd18a93-1797-4bbb-9b8a-c096d5e7864c,3.0,high,high,low,1.0,low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,amy grant,1.0,0.0,0.0,0.0,1.0,Amy Grant,,,1.0,,,,,,,,
artist_001484,Kelly Clarkson,Kelly Brianne Clarkson,Kelly Clarkson,Kelly Brianne|Kelly Brianne Clarkson|Kelly Clarkson,Q483507,d339efbb-77b9-4147-ba9e-59f2f24550b2,0000000114370895,5188462,https://en.wikipedia.org/wiki/Kelly_Clarkson,1982.0,Fort Worth,,Texas,TX,United States,,,,United States,singer|singer-songwriter|actor|children's writer|film actor|writer|voice actor|recording artist|talk show host|reality television participant,pop rock|pop music|contemporary R&B|Pop|pop rock,,0.1,voice,,19 Recordings|Atlantic Records|RCA Records|Syco Music,Grammy Award for Best Female Pop Vocal Performance|Grammy Award for Best Pop Vocal Album|American Music Award for Artist of the Year|American Music Award for Favorite Adult Contemporary Artist|Country Music Association Award for Musical Event of the Year|Daytime Emmy Award for Outstanding Entertainment Talk Show Host|Daytime Emmy Award for Outstanding Talk Show Entertainment|MuchMusic Video Award for Peoples Choice: Favourite International Video|Teen Choice Award for Choice Music – Female Artist|Hollywood Walk of Fame|MTV Video Music Award for Best Female Video|MTV Video Music Award for Best Pop Video|Radio Disney Music Award for Best Music Video|Teen Choice Award for Choice Music – Single|Teen Choice Award for Choice Music – Summer Song,http://www.kellyclarkson.com/,1980.0,South,0.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0,,,insufficient_country_evidence,Wikidata,,restricted_final_v6_targeted_artist_name,https://www.wikidata.org/wiki/Q483507|https://en.wikipedia.org/wiki/Kelly_Clarkson|https://musicbrainz.org/artist/d339efbb-77b9-4147-ba9e-59f2f24550b2,3.0,high,high,low,1.0,low country confidence|demographic_backfill:live:targeted_live|demographic_backfill:precomputed_live:precomputed_targeted_live,kelly clarkson,1.0,0.0,0.0,0.0,1.0,Kelly Clarkson,,,1.0,,,,,,,,
