artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
artist_001166,Burl Ives,,,Burl Icle Ivanhoe Ives,Q315723,086c1936-9eaa-4091-b140-ad33a51a3b71,0000000083822974,51875532,https://en.wikipedia.org/wiki/Burl_Ives,1909.0,Hunt City,Jasper County,Illinois,IL,United States,1995-04-14,1995.0,Anacortes,United States,street artist|banjoist|singer|autobiographer|writer|stage actor|film actor|songwriter|voice actor|television actor,folk music,,0.4499999999999999,banjo|voice,,Columbia Records|Decca,Academy Award for Best Supporting Actor|Golden Globe Award for Best Supporting Actor – Motion Picture|Grammy Award for Best Country & Western Recording|Order of Lincoln,http://www.burlives.com/,1900.0,Midwest,1.0,85.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q315723|https://en.wikipedia.org/wiki/Burl_Ives|https://musicbrainz.org/artist/086c1936-9eaa-4091-b140-ad33a51a3b71,3.0,high,high,low,0.0,low country confidence|demographic_backfill:local:master,burl ives,1.0,0.0,1.0,0.0,2.0,Burl Ives,,,1.0,,,,,,,,
artist_001167,Judy Collins,Judith Marjorie Collins,,,Q254576,06f9c474-0547-40fc-be3d-1ae6ce38abd7,0000000109642382,35254302,https://en.wikipedia.org/wiki/Judy_Collins,1939.0,Seattle,King County,Washington,WA,United States,,,,United States,singer-songwriter|guitarist|pianist|singer|recording artist,folk music,,0.4499999999999999,guitar|voice|piano,American Academy of Arts and Sciences,Elektra|Wildflower Records,"Colorado Women's Hall of Fame|Grammy Hall of Fame|Grammy Award for Best Ethnic or Traditional Folk Recording|""Spirit of Americana"" Free Speech Award|ASCAP Foundation Champion Award",http://www.judycollins.com,1930.0,West,0.0,86.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q254576|https://en.wikipedia.org/wiki/Judy_Collins|https://musicbrainz.org/artist/06f9c474-0547-40fc-be3d-1ae6ce38abd7,3.0,high,high,low,0.0,low country confidence|demographic_backfill:local:master,judy collins,1.0,0.0,1.0,0.0,2.0,Judy Collins,,,1.0,,,,,,,,
artist_001168,Michelle Branch,,,Michelle Jacquet Branch-Landau|Michelle Jacquet Branch,Q234685,a10f94a9-2a3c-4166-b9fa-a7bed0bf7d96,0000000114501568,166149294372680522361,https://en.wikipedia.org/wiki/Michelle_Branch,1983.0,Phoenix,Maricopa County,Arizona,AZ,United States,,,,United States,actor|guitarist|singer-songwriter|singer|pianist|film actor|recording artist,pop music|folk music,,0.4499999999999999,guitar|piano|voice,The Wreckers,Maverick,,https://michellebranch.com/,1980.0,West,0.0,42.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q234685|https://en.wikipedia.org/wiki/Michelle_Branch|https://musicbrainz.org/artist/a10f94a9-2a3c-4166-b9fa-a7bed0bf7d96,3.0,high,high,low,0.0,low country confidence|demographic_backfill:local:master,michelle branch,1.0,0.0,1.0,0.0,2.0,Michelle Branch,,,1.0,,,,,,,,
artist_001169,Patty Griffin,,,Patricia Jean Griffin,Q457190,6fddcfc3-20b6-48d0-87ba-8211eca3420c,0000000045657496,68149106296568492631,https://en.wikipedia.org/wiki/Patty_Griffin,1964.0,Old Town,Penobscot County,Maine,ME,United States,,,,United States,singer-songwriter|composer|singer,folk rock|folk music,,0.4499999999999999,guitar|voice,,A&M Records|ATO Records|Credential Recordings,Americana Award for Artist of the Year|Grammy Award for Best Traditional Gospel Album,https://www.pattygriffin.com/,1960.0,Northeast,0.0,62.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q457190|https://en.wikipedia.org/wiki/Patty_Griffin|https://musicbrainz.org/artist/6fddcfc3-20b6-48d0-87ba-8211eca3420c,3.0,high,high,low,0.0,low country confidence|demographic_backfill:local:master,patty griffin,1.0,0.0,1.0,0.0,2.0,Patty Griffin,,,1.0,,,,,,,,
artist_001170,Hayden Panettiere,Hayden Lesley Panettiere,,Hayden Lesley Panettiere,Q171571,080e1819-5904-447a-869e-b0b2ef437c16,0000000078263039,1634149108543568780003,https://en.wikipedia.org/wiki/Hayden_Panettiere,1989.0,Palisades,Rockland County,New York,NY,United States,,,,United States,actor|voice actor|singer|model,pop music,,0.4499999999999999,voice,,Hollywood Records,Genesis Award|Saturn Award for Best Actress on Television|Saturn Awards,https://hayden-panettiere.com,1980.0,Northeast,0.0,36.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q171571|https://en.wikipedia.org/wiki/Hayden_Panettiere|https://musicbrainz.org/artist/080e1819-5904-447a-869e-b0b2ef437c16,3.0,high,high,low,0.0,low country confidence|demographic_backfill:local:master,hayden panettiere,1.0,0.0,1.0,0.0,2.0,Hayden Panettiere,,,1.0,,,,,,,,
artist_001171,Roba Stanley,,,,Q2156121,32756b58-2f80-4041-bdf6-adbc9cdb7a02,0000000461313094,24309871,https://en.wikipedia.org/wiki/Roba_Stanley,1908.0,Dacula,Gwinnett County,Georgia,GA,United States,1986-06-08,1986.0,Gainesville,United States,songwriter|singer,old-time music|folk music,,0.4499999999999999,voice,,OKeh Records,,,1900.0,South,1.0,78.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q2156121|https://en.wikipedia.org/wiki/Roba_Stanley|https://musicbrainz.org/artist/32756b58-2f80-4041-bdf6-adbc9cdb7a02,3.0,high,high,low,0.0,low country confidence|demographic_backfill:local:master,roba stanley,1.0,0.0,1.0,0.0,2.0,Roba Stanley,,,1.0,,,,,,,,
artist_001362,Floyd Chance,Floyd Taylor Chance,Floyd Chance,,Q16016389,48183d18-ac32-4624-bbc2-031311a457f8,,,https://en.wikipedia.org/wiki/Floyd_Chance,1925.0,Como,Panola County,Mississippi,MS,United States,2005-04-11,2005.0,,United States,double-bassist,,,0.45,,,,,,1920.0,South,1.0,79.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:Country musicians from Tennessee,https://www.wikidata.org/wiki/Q16016389|https://en.wikipedia.org/wiki/Floyd_Chance|https://musicbrainz.org/artist/48183d18-ac32-4624-bbc2-031311a457f8,3.0,high,high,low,0.0,low country confidence,floyd chance,0.0,0.0,1.0,0.0,1.0,,,,1.0,,,,,,,,
artist_001363,Hoot Hester,,,Hubert Dwane Hester,Q16148936,0fe63074-0b7e-486b-96f2-8a97de0856d0,,170569640,https://en.wikipedia.org/wiki/Hoot_Hester,1951.0,Louisville,,Kentucky,KY,United States,2016-08-30,2016.0,,United States,fiddler,,,0.45,fiddle,The Time Jumpers,,,http://hoothester.com/,1950.0,Appalachia,1.0,65.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:Country musicians from Kentucky,https://www.wikidata.org/wiki/Q16148936|https://en.wikipedia.org/wiki/Hoot_Hester|https://musicbrainz.org/artist/0fe63074-0b7e-486b-96f2-8a97de0856d0,3.0,high,medium,low,0.0,birth geography inferred from Wikipedia categories|low country confidence,hoot hester,0.0,0.0,1.0,0.0,1.0,,,,1.0,,,,,,,,
artist_001364,Adam Steffey,,,,Q16196279,62d38b1e-4b33-423c-b35a-86a9821cd97e,,56229607,https://en.wikipedia.org/wiki/Adam_Steffey,1965.0,Norfolk,,Virginia,VA,United States,,,,United States,mandolinist,,,0.45,mandolin,,,,,1960.0,South,0.0,60.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:Country musicians from Tennessee,https://www.wikidata.org/wiki/Q16196279|https://en.wikipedia.org/wiki/Adam_Steffey|https://musicbrainz.org/artist/62d38b1e-4b33-423c-b35a-86a9821cd97e,3.0,high,high,low,0.0,low country confidence,adam steffey,0.0,0.0,1.0,0.0,1.0,,,,1.0,,,,,,,,
artist_001365,Leonard Rutherford,,,,Q17518223,4a39394b-8750-4916-8976-5ad4cc8f152d,,6212155566442013380007,https://en.wikipedia.org/wiki/Leonard_Rutherford,1898.0,Somerset,Wayne County,Kentucky,KY,United States,,,,,fiddler,Old-time|Folk,,0.45,fiddle,,,,,1890.0,Appalachia,0.0,128.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,Category:Country musicians from Kentucky,https://www.wikidata.org/wiki/Q17518223|https://en.wikipedia.org/wiki/Leonard_Rutherford|https://musicbrainz.org/artist/4a39394b-8750-4916-8976-5ad4cc8f152d,3.0,high,high,low,0.0,low country confidence,leonard rutherford,0.0,0.0,1.0,0.0,1.0,,,,1.0,,,,,,,,
