name_primary,artist_id,country_relevance_score,is_country_core,is_country_broad,source_seed,norm_name,hot_country_number_one,hot_country_number_one_matched_name,country_hall_of_fame,country_hall_of_fame_matched_name,billboard_best_country_singers,billboard_best_country_singers_matched_name,in_any_reference_list,reference_list_count,reference_list_hits
Dave Alvin,artist_000001,1.0,1.0,1.0,Category:American country singer-songwriters,dave alvin,False,,False,,False,,False,0,
Kane Brown,artist_000002,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,kane brown,False,,False,,False,,False,0,
Jimmie Allen,artist_000003,1.0,1.0,1.0,Category:American country singer-songwriters,jimmie allen,False,,False,,False,,False,0,
Morgan Wade,artist_000004,1.0,1.0,1.0,Category:American country singer-songwriters,morgan wade,False,,False,,False,,False,0,
Dusty Drake,artist_000005,1.0,1.0,1.0,Category:American country singer-songwriters,dusty drake,False,,False,,False,,False,0,
Justin Townes Earle,artist_000007,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,justin townes earle,False,,False,,False,,False,0,
Bruce Robison,artist_000008,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,bruce robison,False,,False,,False,,False,0,
Max McNown,artist_000009,1.0,1.0,1.0,Category:American country singer-songwriters,max mcnown,False,,False,,False,,False,0,
Jason Eady,artist_000010,1.0,1.0,1.0,Category:American country singer-songwriters,jason eady,False,,False,,False,,False,0,
Maggie Antone,artist_000012,1.0,1.0,1.0,Category:American country singer-songwriters,maggie antone,False,,False,,False,,False,0,
Roy Drusky,artist_000013,1.0,1.0,1.0,Category:American country singer-songwriters,roy drusky,False,,False,,False,,False,0,
Jameson Rodgers,artist_000014,1.0,1.0,1.0,Category:American country singer-songwriters,jameson rodgers,False,,False,,False,,False,0,
Hailey Whitters,artist_000016,1.0,1.0,1.0,Category:American country singer-songwriters,hailey whitters,False,,False,,False,,False,0,
Dennis Robbins,artist_000018,1.0,1.0,1.0,Category:American country singer-songwriters,dennis robbins,False,,False,,False,,False,0,
Scotty McCreery,artist_000019,1.0,1.0,1.0,Category:American country singer-songwriters,scotty mccreery,False,,False,,False,,False,0,
John Conlee,artist_000020,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Kentucky,john conlee,False,,False,,False,,False,0,
Guy Clark,artist_000021,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,guy clark,False,,False,,False,,False,0,
Bailey Zimmerman,artist_000023,1.0,1.0,1.0,Category:American country singer-songwriters,bailey zimmerman,False,,False,,False,,False,0,
Riley Green,artist_000024,1.0,1.0,1.0,Category:American country singer-songwriters,riley green,False,,False,,False,,False,0,
Carrie Rodriguez,artist_000026,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,carrie rodriguez,False,,False,,False,,False,0,
Bob Dylan,artist_000027,1.0,1.0,1.0,Category:American country singer-songwriters,bob dylan,False,,False,,False,,False,0,
Bradley Walker,artist_000028,1.0,1.0,1.0,Category:American country singer-songwriters,bradley walker,False,,False,,False,,False,0,
Razzy Bailey,artist_000031,1.0,1.0,1.0,Category:American country singer-songwriters,razzy bailey,False,,False,,False,,False,0,
JJ Lawhorn,artist_000033,1.0,1.0,1.0,Category:American country singer-songwriters,jj lawhorn,False,,False,,False,,False,0,
Clinton Gregory,artist_000034,1.0,1.0,1.0,Category:American country singer-songwriters,clinton gregory,False,,False,,False,,False,0,
Ronnie McDowell,artist_000037,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,ronnie mcdowell,False,,False,,False,,False,0,
Wade Bowen,artist_000038,1.0,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Texas,wade bowen,False,,False,,False,,False,0,
Little Big Town,artist_000039,1.0,1.0,1.0,Category:American country singer-songwriters|Category:American country singers,little big town,False,,False,,False,,False,0,
Brett Young,artist_000040,0.95,1.0,1.0,Category:American country singer-songwriters,brett young,False,,False,,False,,False,0,
Lorrie Morgan,artist_000041,0.95,1.0,1.0,Category:American country singer-songwriters|Category:Country musicians from Tennessee,lorrie morgan,False,,False,,False,,False,0,
Mary Chapin Carpenter,artist_000042,0.95,1.0,1.0,Category:American country singer-songwriters,mary chapin carpenter,False,,False,,False,,False,0,
