artist_id,country_validation_label,country_validation_score,country_validation_score_text,country_positive_hits,country_negative_hits,country_validation_evidence,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
artist_000006,review,1.0,13,4,1,+4:country ; +5:country music ; +3:country pop ; +3:bluegrass ; -2:pop,Dolly Parton,Dolly Rebecca Parton,Dolly Parton,Dolly Rebecca Parton|Dolly Parton Dean,Q180453,1d543e07-d0d2-4834-a8db-d65c50c2a856,0000000073578525,56797314,https://en.wikipedia.org/wiki/Dolly_Parton,1946.0,Pittman Center,Sevier County,Tennessee,TN,United States,,,,United States,guitarist|country singer|actor|singer-songwriter|banjoist|autobiographer|businessperson|television actor|multi-instrumentalist|country musician|record producer|voice actor|film producer|screenwriter|composer|songwriter|film actor|recording arti,country music|ballad|gospel music|bluegrass music|country pop|pop music|folk music,country|bluegrass,1.0,guitar|banjo|voice,,Asylum Records|Columbia Records|Decca|Goldband Records|Mercury Records|Monument Records|RCA|RCA Records Nashville|Rising Tide Records|Sugar Hill Records|Warner Bros. Records,National Medal of Arts|Grammy Lifetime Achievement Award|American Music Award for Favorite Country Album|Country Music Association Award for Entertainer of the Year|Grammy Award for Best Female Country Vocal Performance|Grammy Award for Best Co,http://www.dollyparton.com,1940.0,Appalachia,0.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Tennessee,https://www.wikidata.org/wiki/Q180453|https://en.wikipedia.org/wiki/Dolly_Parton|https://musicbrainz.org/artist/1d543e07-d0d2-4834-a8db-d65c50c2a856,3.0,high,high,high,0.0,,dolly parton,1.0,1.0,1.0,0.0,3.0,Dolly Parton,,,1.0,,,,,,,,
artist_000027,review,1.0,12,4,1,+4:country ; +5:country music ; +3:country rock ; +2:americana ; -2:pop,Bob Dylan,Robert Allen Zimmerman,Bob Dylan,Bob Landy|Robert Milkwood Thomas|Tedham Porterhouse|Robert Zimmerman|Blind Boy Grunt|Jack Frost|Elston Gunn|Lucky Wilbury|Boo Wilbury|Sergei Petrov|Robert Dylan|Dylan|Robert Dylan né Robert Allen Zimmerman|Robert Dylan (born Robert Allen Zimmer,Q392,72c536dc-7137-4477-a521-567eeb840fa8,0000000121479733,111894442,https://en.wikipedia.org/wiki/Bob_Dylan,1941.0,Duluth,St. Louis County,Minnesota,MN,United States,,,,United States,songwriter|film actor|poet|guitarist|autobiographer|painter|record producer|film director|lyricist|composer|screenwriter|disc jockey|actor|singer|radio personality|designer|writer|musician,rock music|blues|country music|American folk music|folk-pop|country rock|folk rock|Christian rock|gospel music|Americana|jazz,country|americana,1.0,guitar|piano|voice,"Academy of Arts, Berlin|American Academy of Arts and Sciences|American Academy of Arts and Letters|Traveling Wilburys",Columbia Records|Asylum Records,National Medal of Arts|Presidential Medal of Freedom|Grammy Lifetime Achievement Award|Princess of Asturias Award for the Arts|Rock and Roll Hall of Fame|Knight of the Legion of Honour|Academy Award for Best Original Song|Nobel Prize in Literat,https://www.bobdylan.com/,1940.0,Midwest,0.0,84.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q392|https://en.wikipedia.org/wiki/Bob_Dylan|https://musicbrainz.org/artist/72c536dc-7137-4477-a521-567eeb840fa8,3.0,high,high,high,0.0,,bob dylan,1.0,1.0,1.0,0.0,3.0,Bob Dylan,,,1.0,,,,,,,,
artist_000032,review,1.0,7,2,1,+4:country ; +5:country music ; -2:pop,Glen Campbell,Glen Travis Campbell,Glen Campbell,,Q162667,57976431-1a5c-4968-a422-b92c5e9b0d4f,0000000114904543,39561194,https://en.wikipedia.org/wiki/Glen_Campbell,1936.0,Billstown,Pike County,Arkansas,AR,United States,2017-08-08,2017.0,Nashville,United States,guitarist|singer|actor|composer|television presenter|film actor,country music|folk rock|pop music|gospel music|rock music|folk music,country,1.0,guitar|banjo|voice,The Beach Boys|The Wrecking Crew|The Folkswingers|The Gene Norman Group,Atlantic Records|Capitol Records|Liberty Records|MCA Records|Surfdog Records|Crest Records,Grammy Lifetime Achievement Award|Grammy Award for Best Country Song|Grammy Award for Best Contemporary (R&R) Performance|Grammy Award for Best Male Pop Vocal Performance|Grammy Award for Best Country & Western Recording|Grammy Award for Best M,https://www.glencampbell.com/,1930.0,South,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q162667|https://en.wikipedia.org/wiki/Glen_Campbell|https://musicbrainz.org/artist/57976431-1a5c-4968-a422-b92c5e9b0d4f,3.0,high,high,high,0.0,,glen campbell,1.0,1.0,1.0,0.0,3.0,Glen Campbell,,,1.0,,,,,,,,
artist_000036,review,1.0,10,3,1,+4:country ; +5:country music ; +3:country pop ; -2:pop,Kenny Rogers,Kenneth Donald Rogers,,Kenneth Donald Rogers|Kenneth Ray Rogers|Kenny Ray Rogers,Q217160,c3d14b41-a48d-488f-bfed-ce0597bb0b1f,0000000073670305,74038776,https://en.wikipedia.org/wiki/Kenny_Rogers,1938.0,Houston,Harris County,Texas,TX,United States,2020-03-20,2020.0,Sandy Springs,United States,singer|actor|singer-songwriter|record producer|guitarist|pianist,country music|country pop|pop music|adult contemporary music|soft rock|rock music|estrada,country,1.0,guitar|violin|voice,The First Edition|The New Christy Minstrels,Atlantic Records|Capitol Records|Capitol Records Nashville|Curb Records|Giant Records|Mercury Records|RCA Records|Reprise Records|United Artists Records|Warner Music Group|Warner Bros. Records,Grammy Award for Best Male Country Vocal Performance|Favorite Country Single|American Music Award for Favorite Country Album|Favorite Country Male Artist|Favorite Pop/Rock Male Artist|American Music Award for Favorite Pop/Rock Album|People's Ch,http://www.kennyrogers.com,1930.0,South,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q217160|https://en.wikipedia.org/wiki/Kenny_Rogers|https://musicbrainz.org/artist/c3d14b41-a48d-488f-bfed-ce0597bb0b1f,3.0,high,high,high,0.0,,kenny rogers,1.0,1.0,1.0,0.0,3.0,Kenny Rogers,,,1.0,,,,,,,,
artist_000048,review,0.95,7,2,1,+4:country ; +5:country music ; -2:pop,Ronnie Milsap,Ronnie Lee Milsap,,Ronnie Lee Milsap,Q558582,f5d7d748-256e-4875-a065-78cf2f1e3d39,0000000078397619,85582000,https://en.wikipedia.org/wiki/Ronnie_Milsap,1943.0,Robbinsville,,North Carolina,NC,United States,,,,United States,musician|recording artist|singer|pianist,country music|pop music|blue-eyed soul|doo-wop,country,0.95,piano|voice,,Liberty Records|Scepter Records|RCA Records|Wand Records|Pye International Records,Country Music Association Award for Entertainer of the Year|Grammy Award for Best Male Country Vocal Performance|Grammy Award for Best Country Collaboration with Vocals|Academy of Country Music|Country Music Association Award for Album of the Y,http://www.ronniemilsap.com/,1940.0,South,0.0,83.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q558582|https://en.wikipedia.org/wiki/Ronnie_Milsap|https://musicbrainz.org/artist/f5d7d748-256e-4875-a065-78cf2f1e3d39,3.0,high,high,high,0.0,,ronnie milsap,1.0,1.0,1.0,0.0,3.0,Ronnie Milsap,,,1.0,,,,,,,,
artist_000049,review,0.95,5,2,1,+4:country ; +3:country pop ; -2:pop,Ella Langley,Elizabeth Camille Langley,Ella Langley,Elizabeth Camille Langley,Q127559972,b16c0872-31a7-4db9-8569-0e3146fcecfc,0000000509231582,3824174328028101590009,https://en.wikipedia.org/wiki/Ella_Langley,1999.0,Hope Hull,Montgomery County,Alabama,AL,United States,,,,United States,singer,country pop|Southern rock,country,0.95,voice,,,,https://ellalangley.com/,1990.0,South,0.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q127559972|https://en.wikipedia.org/wiki/Ella_Langley|https://musicbrainz.org/artist/b16c0872-31a7-4db9-8569-0e3146fcecfc,3.0,high,high,high,0.0,,ella langley,1.0,1.0,1.0,0.0,3.0,Ella Langley,,,1.0,,,,,,,,
artist_000061,review,0.95,10,3,1,+4:country ; +5:country music ; +3:country pop ; -2:pop,Morgan Wallen,,,Morgan Cole Wallen,Q29561472,2077273e-eaa1-4f49-903c-f286ededecb9,0000000467316966,4843156919257154970002,https://en.wikipedia.org/wiki/Morgan_Wallen,1993.0,Sneedville,Hancock County,Tennessee,TN,United States,,,,United States,singer|recording artist|composer|guitarist,country music|ballade|country pop|bro-country,country,0.95,voice,,Big Loud|Panacea Records|Republic Records|Mercury Records,,https://morganwallen.com/,1990.0,Appalachia,0.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Tennessee,https://www.wikidata.org/wiki/Q29561472|https://en.wikipedia.org/wiki/Morgan_Wallen|https://musicbrainz.org/artist/2077273e-eaa1-4f49-903c-f286ededecb9,3.0,high,high,high,0.0,,morgan wallen,1.0,1.0,1.0,0.0,3.0,Morgan Wallen,,,1.0,,,,,,,,
artist_000063,review,0.95,10,3,1,+4:country ; +5:country music ; +3:country pop ; -2:pop,Maren Morris,Maren Larae Morris,,Maren Larae Morris,Q21622122,109357f0-eb37-4672-9697-dca8c83a61b5,0000000061160623,356146998379518940157,https://en.wikipedia.org/wiki/Maren_Morris,1990.0,Arlington,Tarrant County,Texas,TX,United States,,,,United States,singer|recording artist|musician|singer-songwriter|songwriter|record producer,country music|country pop|folk rock|folk music,country,0.95,voice|guitar,The Highwomen,Sony Music Nashville|Columbia Records|Sony Music,American Music Award for Favorite Country Female Artist|Country Music Association Award for Female Vocalist of the Year,http://www.marenmorris.com/,1990.0,South,0.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Tennessee|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q21622122|https://en.wikipedia.org/wiki/Maren_Morris|https://musicbrainz.org/artist/109357f0-eb37-4672-9697-dca8c83a61b5,3.0,high,high,high,0.0,,maren morris,1.0,1.0,1.0,0.0,3.0,Maren Morris,,,1.0,,,,,,,,
artist_000070,review,0.95,5,2,1,+4:country ; +3:country pop ; -2:pop,Gabby Barrett,,,Gabrielle Bernadette Barrett,Q53912835,b779262a-e5c0-4ca1-b412-e2fbb5ea7318,000000047828914X,1750159820936814000005,https://en.wikipedia.org/wiki/Gabby_Barrett,2000.0,Munhall,,Pennsylvania,PA,United States,,,,United States,musician,country pop,country,0.95,voice,,,,https://www.gabbybarrett.com/,2000.0,Appalachia,0.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q53912835|https://en.wikipedia.org/wiki/Gabby_Barrett|https://musicbrainz.org/artist/b779262a-e5c0-4ca1-b412-e2fbb5ea7318,3.0,high,high,high,0.0,,gabby barrett,1.0,1.0,1.0,0.0,3.0,Gabby Barrett,,,1.0,,,,,,,,
artist_000083,review,0.95,7,2,1,+4:country ; +5:country music ; -2:pop,Ronnie Dove,,,Ronald Eugene Dove,Q2165998,219e5d13-3560-4a80-a864-adc64bebdb6e,,4168904,https://en.wikipedia.org/wiki/Ronnie_Dove,1935.0,Herndon,Fairfax County,Virginia,VA,United States,,,,United States,singer|songwriter,pop music|country music,country,0.95,voice,,Diamond Records|Apex,,http://www.ronniedove.com/,1930.0,South,0.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q2165998|https://en.wikipedia.org/wiki/Ronnie_Dove|https://musicbrainz.org/artist/219e5d13-3560-4a80-a864-adc64bebdb6e,3.0,high,high,high,0.0,,ronnie dove,1.0,1.0,1.0,0.0,3.0,Ronnie Dove,,,1.0,,,,,,,,
