artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_date,birth_year,birth_place_raw,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag
artist_001297,Ethel Cain,,,tommy|ATLAS|Hayden Anhedönia|Hayden Silas Anhedönia|Miss Anhedönia|ɅTLɅS|White Silas|ΛTLΛS,Q105581073,677e31f1-4035-463c-8ca4-41175440c919,0000000502385044,301738085,https://en.wikipedia.org/wiki/Ethel_Cain,1998-03-24,1998.0,"Tallahassee, Florida , United States",Tallahassee,,Florida,FL,United States,,,,United States,singer|singer-songwriter,Indie rock|gothic rock|folk|alternative pop|slowcore|Americana|ambient,americana,0.49999999999999994,,,,,https://www.daughtersofcain.com/,1990.0,South,0.0,28.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,seed_country_artists.json|MusicBrainz tag:americana,https://www.wikidata.org/wiki/Q105581073|https://en.wikipedia.org/wiki/Ethel_Cain|https://musicbrainz.org/artist/677e31f1-4035-463c-8ca4-41175440c919,3.0,high,high,low,1.0,low country confidence,ethel cain,0,0,0,1,1,,americana,seed_country_artists.json|MusicBrainz tag:americana,0
artist_001298,David Grisman,David Jay Grisman,,Dawg,Q1174604,402e4f4f-33aa-4b2b-9fdb-3cb4eb38f729,0000000078281448,61741232,https://en.wikipedia.org/wiki/David_Grisman,1945-03-23,1945.0,Hackensack,Hackensack,,New Jersey,NJ,United States,,,,United States,jazz musician|music executive|film score composer|mandolinist|composer,bluegrass music|traditional folk music,bluegrass,0.49999999999999994,mandolin,Old and in the Way|Earth Opera|David Grisman Quintet|Even Dozen Jug Band,Elektra,,http://www.dawgnet.com/,1940.0,Northeast,0.0,81.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,seed_country_artists.json|MusicBrainz tag:folk|MusicBrainz tag:bluegrass,https://www.wikidata.org/wiki/Q1174604|https://en.wikipedia.org/wiki/David_Grisman|https://musicbrainz.org/artist/402e4f4f-33aa-4b2b-9fdb-3cb4eb38f729,3.0,high,high,low,1.0,low country confidence,david grisman,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:folk|MusicBrainz tag:bluegrass,0
artist_001299,Claire Lynch,,,,Q15220306,cc265f9f-a592-4fe0-a8d6-2bc01661a29e,0000000108803252,24844101,https://en.wikipedia.org/wiki/Claire_Lynch,1954-02-20,1954.0,"Kingston, New York , United States",Kingston,,New York,NY,United States,,,,United States,vocalist|singer|songwriter,Bluegrass,bluegrass,0.49999999999999994,,,Compass Records|Rounder Records,,https://www.clairelynch.com/,1950.0,Northeast,0.0,72.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,seed_country_artists.json|MusicBrainz tag:bluegrass,https://www.wikidata.org/wiki/Q15220306|https://en.wikipedia.org/wiki/Claire_Lynch|https://musicbrainz.org/artist/cc265f9f-a592-4fe0-a8d6-2bc01661a29e,3.0,high,high,low,1.0,low country confidence,claire lynch,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:bluegrass,0
artist_001300,Jim Smoak,,,James Benjamin Smoak,Q16094203,24485e82-cfc6-40ff-b491-1f788089e281,,13812887,https://en.wikipedia.org/wiki/Jim_Smoak,1934-07-07,1934.0,Round O,Round O,,South Carolina,SC,United States,,,,United States,banjoist|musician|singer|composer,bluegrass music,bluegrass,0.49999999999999994,banjo,,,,,,Unknown,0.0,91.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,MusicBrainz tag:bluegrass,https://www.wikidata.org/wiki/Q16094203|https://en.wikipedia.org/wiki/Jim_Smoak|https://musicbrainz.org/artist/24485e82-cfc6-40ff-b491-1f788089e281,3.0,high,high,low,1.0,birth data enriched from MusicBrainz|low country confidence,jim smoak,0,0,0,1,1,,bluegrass,MusicBrainz tag:bluegrass,0
artist_001400,The Country Gentlemen,,,Country Gentlemen,Q1137218,d202b936-2de4-4357-8760-f61949f8855c,0000000110096219,124261361,https://en.wikipedia.org/wiki/The_Country_Gentlemen,1957-07-04,1957.0,,,,District of Columbia,DC,United States,,,,,,bluegrass music|Progressive bluegrass |,bluegrass,0.39999999999999997,,,Folkways Records,,,,Unknown,0.0,68.0,1.0,1.0,0.0,1.0,0.0,1.0,expanded_only,US-born country-relevant artist retained in expanded sample,,Wikidata,,seed_country_artists.json|MusicBrainz tag:bluegrass|MusicBrainz tag:outlaw country,https://www.wikidata.org/wiki/Q1137218|https://en.wikipedia.org/wiki/The_Country_Gentlemen|https://musicbrainz.org/artist/d202b936-2de4-4357-8760-f61949f8855c,3.0,high,medium,low,1.0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|low country confidence,the country gentlemen,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:bluegrass|MusicBrainz tag:outlaw country,0
artist_001446,Kenny Vaughan,,,,Q29617906,23acb999-d801-4953-a4d5-e26fbfb5300b,,276090874,https://en.wikipedia.org/wiki/Kenny_Vaughan,2000-01-01,2000.0,"Kenneth Weber Vaughan Bartlesville, Oklahoma",Kenneth Weber Vaughan Bartlesville,,Oklahoma,OK,United States,,,,,guitarist,country music|Country|rockabilly|rock and roll,country,1.0,,Marty Stuart and His Fabulous Superlatives,,Americana Award for Instrumentalist of the Year|Americana Lifetime Achievement Award for Instrumentalist,,,South,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,,missing_key_birth_metadata,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Oklahoma,https://www.wikidata.org/wiki/Q29617906|https://en.wikipedia.org/wiki/Kenny_Vaughan|https://musicbrainz.org/artist/23acb999-d801-4953-a4d5-e26fbfb5300b,3.0,low,high,high,1.0,birth data enriched from MusicBrainz|demographic_backfill:local:manual_review,kenny vaughan,1,0,0,0,1,Kenny Vaughan,,,1
artist_001447,Dale Ann Bradley,,,,Q16728341,92359d0e-c336-4dd4-a859-7f0fc4056897,,28910883,https://en.wikipedia.org/wiki/Dale_Ann_Bradley,,,"Bell County , Kentucky, United States",Bell County,Bell County,Kentucky,KY,United States,,,,United States,singer|songwriter,folk music|Bluegrass,bluegrass,1.0,voice,,Compass Records,,https://www.daleannbradley.com/,,Appalachia,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,,,missing_key_birth_metadata,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Kentucky,https://www.wikidata.org/wiki/Q16728341|https://en.wikipedia.org/wiki/Dale_Ann_Bradley|https://musicbrainz.org/artist/92359d0e-c336-4dd4-a859-7f0fc4056897,3.0,low,high,high,1.0,birth data enriched from MusicBrainz|demographic_backfill:local:manual_review,dale ann bradley,1,0,0,0,1,Dale Ann Bradley,,,1
artist_001448,Sean McConnell,,,,Q27680921,8ac994b9-f4e0-4290-a194-c56c9ce79dae,,,https://en.wikipedia.org/wiki/Sean_McConnell,,,,Athol,,Massachusetts,MA,United States,,,,,singer,country music|Country|folk|roots music,country,1.0,voice,,,,,,Northeast,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,,missing_key_birth_metadata,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q27680921|https://en.wikipedia.org/wiki/Sean_McConnell|https://musicbrainz.org/artist/8ac994b9-f4e0-4290-a194-c56c9ce79dae,3.0,low,medium,high,1.0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|demographic_backfill:local:manual_review,sean mcconnell,1,0,0,0,1,Sean McConnell,,,1
artist_001449,Ash Bowers,,,,Q4804359,1e47b9d0-14e3-4c73-9f05-06dfae15e7fb,,,https://en.wikipedia.org/wiki/Ash_Bowers,,,Ashley Walton Bowers,Ashley Walton Bowers,,Tennessee,TN,United States,,,,United States,singer|songwriter,country music|Country,country,1.0,voice,,BBR Music Group,,,,Appalachia,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,,missing_key_birth_metadata,Wikidata,,Category:American country singer-songwriters|Category:Country musicians from Tennessee,https://www.wikidata.org/wiki/Q4804359|https://en.wikipedia.org/wiki/Ash_Bowers|https://musicbrainz.org/artist/1e47b9d0-14e3-4c73-9f05-06dfae15e7fb,3.0,low,high,high,1.0,birth data enriched from MusicBrainz|demographic_backfill:local:manual_review,ash bowers,1,0,0,0,1,Ash Bowers,,,1
artist_001450,Logan Brill,,,,Q16731589,b97912c5-c168-476b-b89e-070442d7d4f2,,,https://en.wikipedia.org/wiki/Logan_Brill,,,"Katherine Logan Brill Knoxville, Tennessee , United States",Katherine Logan Brill Knoxville,Knox County,Tennessee,TN,United States,,,,United States,singer-songwriter|singer,country music|folk music,country,1.0,voice,,,,http://loganbrill.com/,,Appalachia,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,,missing_key_birth_metadata,Wikidata,,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q16731589|https://en.wikipedia.org/wiki/Logan_Brill|https://musicbrainz.org/artist/b97912c5-c168-476b-b89e-070442d7d4f2,3.0,low,high,high,1.0,birth data enriched from MusicBrainz|demographic_backfill:local:manual_review,logan brill,1,0,0,0,1,Logan Brill,,,1
