musicbrainz_mbid,mbx_birth_year,mbx_birth_city,mbx_birth_state,mbx_birth_country
33d65833-ab7c-414d-851e-0d7a0bf6fe5c,,,West Virginia,United States
74319824-017e-48f1-a0f4-7eadb81975cd,,,Montana,United States
e47d9558-cb0c-4aad-99b8-01e74e816bae,,,,United States
c1c02051-0305-4095-8817-30df19c0b79f,2014.0,Nashville,,United States
b91c664b-5eee-4536-8b70-b1f2be519ac0,1987.0,Decatur,,United States
91dad7e7-0bf6-47e8-bd42-ef1fac32c729,2009.0,Nashville,,United States
ecbd1331-95b6-4a77-b739-b4bd8ef222a7,1994.0,St. Louis,Missouri,United States
bc34ccd3-cecb-42af-9c2e-8f7e1f9db349,2012.0,Brooklyn,New York,United States
24ed5b09-02b1-47fe-bd83-6fa5270039b0,1985.0,Minneapolis,,United States
4a18f60f-7aa9-4476-8d0f-84981d8ccb60,2011.0,New Albany,,United States
8b604d4b-1170-4225-bc9e-d8276d94402e,1940.0,,Alabama,United States
365144f7-85af-4c83-b24b-b1d0b26160bb,1989.0,Vista,,United States
9a22fc7b-ad7f-4c70-9e0f-4d40cd7562cd,1992.0,Denver,Colorado,United States
7ced8df6-d27a-4a05-9501-1804402b1cc1,,,,United States
88ad4c96-34e9-4fab-9e36-62739ad42048,,,,United States
2d3fb8f4-a577-44c3-acb2-c9d09d979f90,,Germany,,DE
46a782ea-4308-476b-abd1-a91b197f3037,1969.0,Bethel,,United States
63c5e98c-0b24-4939-ad8c-f6ed235b7980,2006.0,South Portland,,United States
f68b47aa-a7e0-4e2e-bf6a-f6e23e88fec8,1972.0,Lubbock,,United States
42b93918-afa2-4f77-b231-b1244606900d,1948.0,Springfield,,United States
f87b740a-c22b-4fae-9987-1f3e16f840c4,2002.0,Atlanta,,United States
d1da3f8d-3b16-468f-a1b2-9a8d9b138bc6,1984.0,Nashville,,United States
7e7e9fe3-69d9-407e-b5d3-a4906ca73740,1996.0,,New York,United States
fb821608-35fd-4a45-a4b2-1a0537cee111,2006.0,Portland,,United States
64c8fe79-1f93-483f-aace-b6a6e379e7d2,1969.0,San Francisco,California,United States
b2b3eed6-d9b2-4d1a-bf9b-0160e401720e,1964.0,San Antonio,,United States
95c043f1-0bdd-403a-b714-663908d7e4fc,1987.0,Belleville,,United States
aa0b8b75-714f-465e-9d66-c54c17247f6f,2007.0,Durham,,United States
6fa09822-bbe4-4ff8-901d-4a39a4dd82e9,1988.0,Tucson,,United States
27a8ce8c-4e41-4a56-ba65-3a82662c9af9,2004.0,,New York,United States
b1eeccbf-7611-44be-a1e4-778351782158,1952.0,,,United States
adf57be4-b0cc-460b-9a07-62da74c90135,2008.0,Brooklyn,New York,United States
c9b3bf7f-e237-4d43-be6b-02bf59b99f90,1970.0,Gainesville,,United States
ccac9539-a322-4c8b-9d74-fcdd9ae77a0e,1987.0,Brewton,,United States
ad3a1b29-ac6e-44c0-bd96-8b561bf5dcd7,2010.0,Nashville,,United States
24558e81-eb3f-4062-ab6a-df3773c9b09a,1972.0,Springfield,,United States
b4375768-3c8b-46e7-b578-c920ccfe725f,1968.0,Los Angeles,,United States
1089f50b-10c3-47ef-8b21-b0b899c827d8,1945.0,Oak Ridge,,United States
d6997983-ed14-4e3e-b9da-89062bfb3f9d,2000.0,Denver,Colorado,United States
d202b936-2de4-4357-8760-f61949f8855c,1957.0,"Washington, D.C.",,United States
3020be1d-3c41-4e42-911b-ca5e96489300,1989.0,,,United States
547bcf4d-f125-471a-b615-a9aef7385922,2013.0,Nashville,,United States
