name_primary,resolved_wikidata_qid
Chris Thomas King,Q4382250
Chris Whitley,Q708975
Chris and Thomas,Q5108567
Chris Smither,Q5108108
3 Trails West,
3 of Hearts,Q4636571
90 PROOF Country,
AJJ,Q777585
AVTT/PTTN,
Aaron Ball Band,
Aaron Neville,Q302400
Adam Carroll,Q65967826
Adam Hebert and the Country Playboys,
Adam Wakefield,Q21891848
Adrian Johnston,Q33130020
Adrianne Lenker,Q64875564
Adrienne Z,Q105126937
Akron/Family,Q4701665
Al Foul,Q4702402
Al Miller and His Swing Stompers,
Al Staehely,Q2636205
Al Terry,Q21416468
Al Wood & The Smokey Ridge Boys,
Alan Barnicoat,
Alan Vega,Q726280
Alee,Q372001
Alejandro Escovedo,Q974936
Alela Diane,Q80931
Alexa Rose,Q17544548
Alfonzo Kellum,
Alfred Taylor,Q934977
Alice Gerrard,Q4725879
Aliotta Haynes Jeremiah,Q4726797
Alison Brown,Q2647211
Alison Krauss,Q371782
Alison Krauss & Union Station,Q10853874
Allman Brothers Band,Q507327
Already Gone,Q4735700
America,Q30
American Anodyne,
American Music Club,Q2458127
Amos Lee,Q474280
Amps for Christ,Q4748544
Amy Speace,Q4749391
Anal Cunt,Q484595
Andrea Zonn,Q4755330
Andrew Bird,Q503783
Andrew Peterson,Q4758254
Andy Starr,Q527772
Andy Statman,Q3616567
Angelica Rockne,
Ani DiFranco,Q232462
Animal Collective,Q547272
Anita Royce and the High Rollers,
Ann Magnuson & The Luv Show Family Swingers,
Ann Wilson,Q258053
Anne Hills,Q4768448
Annie Capps,
Anthony Anderson,Q313918
Arlo Guthrie,Q552925
Art Garfunkel,Q4039
Artie Wayne,Q4801004
Ashley Robertson,Q27792497
Asleep at the Wheel,Q732733
Asylum Street Spankers,Q261800
Atlanta Rhythm Section,Q2200532
Austin Lounge Lizards,Q4823181
Austin Lucas,Q4823179
BONES,Q248751
BR5-49,Q4836314
BR549,Q4836314
Bailes Brothers,
Band of Horses,Q806235
Barbara Dane,Q4858851
Barry McGuire,Q809077
Barry Wood,Q4864907
Bat Country,Q2816504
Beantown Swing Orchestra,Q4876321
Bearfoot,Q4876718
Beirut,Q3820
Bellamy Brothers,Q815801
Ben Hall & the Country Drifters,
Ben Harper,Q380849
Ben Harper & The Innocent Criminals,Q380849
Ben Miller Band,Q99197892
Ben Sollee,Q4886488
Ben Vaughn,Q678922
Benny Birchfield,
Benny Carter & His Swing Quintet,
Bettye LaVette,Q453456
Beyoncé,Q36153
Big & Rich,Q2902100
Big Al Downing,Q4703752
Big Bill Broonzy,Q449239
Big Country Bluegrass,
Big House,Q7717667
Bill Aylesworth,Q2903102
Bill Beach,Q62057871
Bill Bowen,Q4908214
Bill Callahan,Q534692
Bill Carter,Q4908434
Bill Castle,Q934087
Bill Dudley,Q454521
Bill Emerson,Q862084
Bill Evans,Q208205
Bill Frisell,Q434968
Bill Haley & Four Aces of Western Swing,Q61750227
Bill Haley and His Comets,Q2914477
Bill Harrell,Q4912674
Bill Hayes,Q4912691
Bill Hicks,Q35851
Bill Justis,Q4909652
Bill Keith,Q4909676
Bill Lawrence,Q862252
Bill Monroe and the Bluegrass Boys,
Bill Taylor,Q4913367
Billy Barton,Q862994
Billy Corgan,Q311382
Billy Jack Wills and His Western Swing Band,
Billy Lee Riley,Q863176
Billy Miller,Q253665
Billy Wade & The Country Boys,
Billy Wallace,Q2903742
Black Country Communion,Q880200
Black Powder Express,
Black Prairie,Q4921500
BlackHawk,Q880845
Blackmore’s Night,Q735023
Blag Dahlia,Q4923839
Blanche,Q295001
Blast Off Country Style,
Blind Lemon Jefferson,Q45001
Blind Melon,Q884163
Blitzen Trapper,Q3640970
Blue Highway,Q4929219
Blue Lunch,
BlueRidge,Q74983154
Bob Brozman,Q925028
Bob Parks,Q7348296
Bob Seger & the Silver Bullet Band,Q364131
Bob Wills and His Texas Playboys,Q888326
Bobby Harrison,Q3545054
Bobby Hicks,Q4935112
Bobby Lee Trammell,Q888605
Bobby Wayne,Q2370905
Bon Iver,Q357340
Bon Jovi,Q259254
Bones In The Walls,
Bonnie “Prince” Billy,Q709464
Boone Creek,Q22194389
Borderline Bluegrass Band,
Box Elder,Q449529
Brad Jackson & Shades of Country,
Brandon Bing,Q4956772
Brandon Kinney,
Brandon Rhyder,Q4957032
Brave Combo,Q2924131
Brennen Leigh,
Brett Dennen,Q648640
Brewer & Shipley,Q4035408
Brian Davis,Q2878476
Brian Setzer,Q453074
Bright Eyes,Q405422
Brion Kinne,
Brook Benton,Q371493
Brother Dege,Q121423115
Bryan James,Q800024
Bubba,Q3349295
Buck Ryan,Q4982941
Buckethead,Q265252
Buddy Guy,Q314208
Buffalo Springfield,Q48992
Bukka White,Q918497
Butch Robins,Q5002417
Béla Fleck,Q561390
Béla Fleck and the Flecktones,Q749979
CAKE,Q2906652
Caamp,Q65069084
Calexico,Q753034
Canned Heat,Q339088
Canterbury Country Dance Orchestra,
Cap'n Swing,
Carl McVoy,Q5040543
Carole King,Q217787
Caroline Spence,Q34064147
Caroliner,Q5045270
Carpenters,Q203605
Carrie Hassler and Hard Rain,
Carrie Newcomer,Q5046280
Caryl Mack Parker,Q5047685
Casey Bill Weldon,Q606603
Cassandra Vasik,Q5049250
Cat Power,Q232348
Cathy Fink and Marcy Marxer,
Catie Curtis,Q5053533
Cave Country,Q127752003
Chaparelle,
Charles Gray,Q5078384
Charles Ives,Q309648
Charles Leonard Bush,
Charles Manson,Q485508
Charles River Valley Boys,Q5082087
Charles Walton,Q5083340
Charley Patton,Q354519
Charlie Cline,Q5084704
Charlie Daniels,Q551478
Charlie Gracie,Q4148423
Charlie Harrison,Q5084995
Charlie Moore & the Dixie Partners,
Charlie Roth,Q107452686
Charlie Sizemore,
Charlie Tweddle,
Charlie Waller,Q4476120
Charlotte Martin,Q276139
Chatham County Line,Q5087646
Chelsea Wolfe,Q5090148
Cherish the Ladies,Q783991
Cherryholmes,Q5092542
Chris Castle,Q5106116
Chris Darrow,Q35497108
Chris Eldridge,Q5106485
Chris Emmert,
Chris Hillman,Q770668
Chris Jones and the Night Drivers,
Chris Stuart & Backcountry,
Chris Webster,Q57991175
Christian Lopez,Q26855331
Christine Lavin,Q4252007
Christy McWilson,Q26834378
Chuck Berry,Q5921
Chuck Johnson,Q21071772
Chuck Ragan,Q441459
Clairo,Q52433533
"Clarence ""Tater"" Tate",
Clark Kessinger,Q5127299
Clark Terry,Q432924
Clem Snide,Q2978793
Cold Country Bluegrass,
Cole Vosbury,Q14946449
Colin Amey,Q5144847
Colin Stough,Q116788577
Comanchero,Q656223
Connie Britton,Q235519
Conor Oberst,Q550900
Cordell Jackson,Q547491
Country,Q6256
Country Black,
Country Case,Q130295863
Country Classic Esquires,
Country Cowboys,
Country Cruel,
Country Current,
Country Gazette,Q7727787
Country Ham,Q3823327
Country Honk,Q2418659
Country Jim,Q124222132
Country Joe McDonald,Q722395
Country Joe and the Fish,Q869427
Country Johnny Mathis,Q1702358
Country Mike & the Boys,
Country Never Dies,
Country Ray Bucks,
Country Weather,Q5177462
Country Yossi,Q5177470
Cowboy Co. The Country Music Show,
Cracker,Q344443
Crazy Horse,Q44555
Crooked Still,Q32591
"Crosby, Stills & Nash",Q10461933
Cross Country,Q353333
Csaba Petocz,
Cub Country,Q5191913
DJ Swingsett,
DJs Wally & Swingsett,
Dailey & Vincent,Q5209190
Dale Wright,Q92778391
Damien Jurado,Q713835
Dana & Lauren,
Dangermuffin,Q5216052
Daniel Grindstaff,
Daniel Johnston,Q433060
Darol Anger,Q3016430
Darren McGinnis,Q5225050
Dave & Sugar,Q5228204
Dave Adkins,
Dave Clark's Blues Swingers,
Dave Kennedy,Q399262
Dave Stamey,
David Ackles,Q4405488
David Berkeley,Q5231350
David Crosby,Q370560
David Freeman,Q5233843
David Grier,Q5234403
David Johnson,Q239537
David Price,Q440646
David Wilcox,Q5241073
Dawes,Q410044
Dawson James,
Dayna Kurtz,Q933244
Deer Tick,Q5250869
Deke Dickerson,Q5252779
Del McCoury and The Dixie Pals,
Del Shannon,Q323456
Delta Spirit,Q4037180
Devendra Banhart,Q223443
Devon,Q23156
Dexter Romweber,Q5268441
Dick Dale and His Del‐Tones,
Dickie & the Gee’s,
Dirtwire,Q65050324
Dix Bruce,Q34691915
Dixie Chicks,Q142636
Dodd Ferrelle,
Don Byas' Swing Seven,
Don Deal,
Don McLean,Q57339
Don Mulkey,
Don Reid,Q5295050
Donna the Buffalo,Q5296508
Doyle Lawson & Quicksilver,Q5303760
Dr. John,Q511074
Drag the River,Q5304827
Dreamend,Q5306552
Drew Davis Band,Q5307164
Drew Kennedy,
Drive‐By Truckers,
Drop Dead Dangerous,
Dropkick Murphys,Q938630
Duane Eddy,Q455818
Duncan James,Q312450
E-Swinga,
EELS,Q902328
Eagles,Q2092297
Earl Lee Grace,
East Nash Grass,
Ed McCurdy,Q3365382
Eddie Bush,Q5335899
Eddie Cole's Solid Swingers,
Edie Brickell,Q260649
Elephant Revival,Q5359354
Eli Young Band,Q5360355
Eliza Gilkyson,Q5362140
Eliza Thorn,Q76139439
Ella Jenkins,Q3051334
Elle King,Q5364665
Elliah Heifetz,
Elliott Smith,Q210428
Ellis Paul,Q3051527
Emily Scott Robinson,
Eric Brace,
Eric McFadden,Q527957
Eric Weissberg,Q3056431
Erin McKeown,Q5389190
Ernie Sykes,Q5394756
Esther Phillips,Q283069
Eva Cassidy,Q229144
Everclear,Q3061451
Everette,Q5417085
Evergreen,Q190489
Everlast,Q453048
Fair To Middlin',Q136181613
Father John Misty,Q6107266
Fezmen,
Five Xi,
Fleet Foxes,Q852335
Flogging Molly,Q917861
Fools Gold,Q526735
Forest Sun,Q5469115
Frankie Lee,Q5487891
Frankie Marvin,
Friends of Dean Martinez,Q634929
Front Country,Q30042662
Frontier Ruckus,Q5506036
Full Swing,Q5508150
Fust,Q64390
G-Wiz,Q2092926
GG Allin,Q366719
Gangstagrass,Q5521237
Gary Kyle,
Gary Mule Deer,Q5525633
Gasoline Lollipops,
Gator Country,Q3099285
Gear Daddies,Q5529458
Gene Krupa and the Band That Swings With Strings,
Gene Krupa’s Swing Band,
Gene Vincent & His Blue Caps,Q82311
Geoff Countryman,
George Bone,Q5537094
George Burns,Q344793
George Jenkins,Q5541086
George Wendt,Q505969
George Winston,Q432302
Gethen Jenkins,
Giant Panda Guerilla Dub Squad,Q5558399
Ginstrings,
Glen Duncan,Q3771949
Glenn Symmonds,
Gloria Belle,Q5571320
Gogol Bordello,Q46644
"Good Shot, Judy",
"Goodnight, Texas",Q5583497
Gordon Bok,Q4090508
Grand Marquis,Q1360787
Grant Dermody,
Grateful Dead,Q212533
Great Speckled Bird,Q7737945
Greensky Bluegrass,Q5604524
Greezy Wheels,Q5605211
Greg Brown,Q5605354
Gregory Adams,Q1544864
Griffin Layne,Q24572731
Grizzly Goat,
Guy,Q295979
Halsey,Q401487
Hammertowne,
Hans Teichman,Q133462079
Harry Belafonte,Q214959
Harry Gloo,
Hayseed Dixie,Q587687
Hazel Dickens,Q5687875
Heather Richards,Q23771990
Henry Cho,Q5719390
Henry Thomas,Q506198
Henry “Moon” Jones,
Herrick,Q402084
Herschel Sizemore,Q41796359
High Rolla,
Hill Country Revue,
Hipster Daddy-O & The Handgrenades,
Hodges Brothers,Q1713197
Home Free,Q20971564
Homer & Jethro,Q5890303
Homer Monroe & the Country Drifters,
Hot Club of Cowtown,Q14158734
Hot Rize,Q5910276
Hot Tuna,Q379448
Huelyn Duvall,Q5929237
Hurray for the Riff Raff,Q5947031
IIIrd Tyme Out,Q7381692
Ian Noe,Q64744006
Indigo Girls,Q772035
Into the Fog,Q29600296
Iron & Wine,Q361881
