seed_title,source_seed,wikidata_qid
(The) Lost Weekend,artist_universe_adjacent_targeted,Q16884547
"10,000 Maniacs",artist_universe_adjacent_targeted,
13 Cats,artist_universe_adjacent_targeted,
16 Horsepower,artist_universe_adjacent_targeted,
4.0,artist_universe_adjacent_targeted,
A Place to Bury Strangers,artist_universe_adjacent_targeted,
A Thousand Horses,artist_universe_adjacent_targeted,
Aaron Lee Tasjan,artist_universe_adjacent_targeted,
Aaron West and The Roaring Twenties,artist_universe_adjacent_targeted,
Action Swingers,artist_universe_adjacent_targeted,
Adam Barry,artist_universe_adjacent_targeted,
Adam Green,artist_universe_adjacent_targeted,
Adam Warner,artist_universe_adjacent_targeted,
Adrienne Zuiderweg,artist_universe_adjacent_targeted,Q105126937
Aerosmith,artist_universe_adjacent_targeted,
Against Me!,artist_universe_adjacent_targeted,
Aida,artist_universe_adjacent_targeted,
Al Ferrier,artist_universe_adjacent_targeted,
Al Murphy,artist_universe_adjacent_targeted,
Al Urban,artist_universe_adjacent_targeted,
Alan Robertson,artist_universe_adjacent_targeted,
Alexa Rose Steele,artist_universe_adjacent_targeted,Q17544548
Alkaline Trio,artist_universe_adjacent_targeted,
American Authors,artist_universe_adjacent_targeted,
"American Idol, season 21",artist_universe_adjacent_targeted,Q116788577
Anaïs Mitchell,artist_universe_adjacent_targeted,
Andy Anderson,artist_universe_adjacent_targeted,
Angelic Gospel Singers,artist_universe_adjacent_targeted,Q16146744
Annagail,artist_universe_adjacent_targeted,
Appalatin,artist_universe_adjacent_targeted,
Arthur Rice,artist_universe_adjacent_targeted,
Austin Collins,artist_universe_adjacent_targeted,
Authentic Unlimited,artist_universe_adjacent_targeted,
Bailén,artist_universe_adjacent_targeted,Q101409279
Band of Heathens,artist_universe_adjacent_targeted,Q1723223
Bardo Pond,artist_universe_adjacent_targeted,
Big Blood,artist_universe_adjacent_targeted,
Big Richard,artist_universe_adjacent_targeted,
Black Rebel Motorcycle Club,artist_universe_adjacent_targeted,
Blackfoot Confederacy,artist_universe_adjacent_targeted,Q388264
Blue County,artist_universe_adjacent_targeted,
Bob Wayne,artist_universe_adjacent_targeted,
Bombyx mori,artist_universe_adjacent_targeted,Q134747
Bruce Saunders,artist_universe_adjacent_targeted,
Buffalo Tom,artist_universe_adjacent_targeted,
Butthole Surfers,artist_universe_adjacent_targeted,
Cactaceae,artist_universe_adjacent_targeted,Q14560
Caedmon's Call,artist_universe_adjacent_targeted,Q1025371
Carolina Road,artist_universe_adjacent_targeted,
Carter Family,artist_universe_adjacent_targeted,Q1412029
Cary Morin,artist_universe_adjacent_targeted,
"Cave Country, and: One Evening in Early Spring",artist_universe_adjacent_targeted,Q127752003
Chaim,artist_universe_adjacent_targeted,
Charles Campbell,artist_universe_adjacent_targeted,
Charles Jenkins,artist_universe_adjacent_targeted,
Charlie Gore,artist_universe_adjacent_targeted,
Charlie Moore,artist_universe_adjacent_targeted,
Chicago,artist_universe_adjacent_targeted,
Christian,artist_universe_adjacent_targeted,
Claudia Schmidt,artist_universe_adjacent_targeted,
Cloud Nothings,artist_universe_adjacent_targeted,
Commander Cody and His Lost Planet Airmen,artist_universe_adjacent_targeted,Q1115087
Copeland,artist_universe_adjacent_targeted,
Counting Crows,artist_universe_adjacent_targeted,
Country Jim Bledsoe,artist_universe_adjacent_targeted,
Country Mice,artist_universe_adjacent_targeted,
Country Washburne,artist_universe_adjacent_targeted,
Country case study : Ghana,artist_universe_adjacent_targeted,Q130295863
Creedence Clearwater Revival,artist_universe_adjacent_targeted,
"Crosby, Stills, Nash & Young",artist_universe_adjacent_targeted,
Crown City Rockers,artist_universe_adjacent_targeted,
Cynthia Ford,artist_universe_adjacent_targeted,
Daniel Johnson,artist_universe_adjacent_targeted,
Danny Burns,artist_universe_adjacent_targeted,
Date Palms,artist_universe_adjacent_targeted,
Daughtry,artist_universe_adjacent_targeted,
Dave Nachmanoff,artist_universe_adjacent_targeted,
David James,artist_universe_adjacent_targeted,
David Nelson,artist_universe_adjacent_targeted,
David Reed,artist_universe_adjacent_targeted,
Dawkins & Dawkins,artist_universe_adjacent_targeted,
Death Cab for Cutie,artist_universe_adjacent_targeted,
Deerhunter,artist_universe_adjacent_targeted,
Delbert Barker,artist_universe_adjacent_targeted,
Della Mae,artist_universe_adjacent_targeted,
Derek Dunn,artist_universe_adjacent_targeted,
Diamond Rio,artist_universe_adjacent_targeted,
Dion,artist_universe_adjacent_targeted,
Don Woody,artist_universe_adjacent_targeted,
Dr. Dog,artist_universe_adjacent_targeted,
Dr. Hook & the Medicine Show,artist_universe_adjacent_targeted,Q1253921
Dru Hill,artist_universe_adjacent_targeted,Q1260713
Dust La Rock,artist_universe_adjacent_targeted,
Duster,artist_universe_adjacent_targeted,
Dylan Carlson,artist_universe_adjacent_targeted,
Düster,artist_universe_adjacent_targeted,
Element,artist_universe_adjacent_targeted,Q11344
Elizabeth J. Phillips,artist_universe_adjacent_targeted,
Elizabeth Phillips,artist_universe_adjacent_targeted,
Eric Dixon (disambiguation),artist_universe_adjacent_targeted,Q124811071
Evan Stewart,artist_universe_adjacent_targeted,
Fiend Without a Face,artist_universe_adjacent_targeted,
FireHouse,artist_universe_adjacent_targeted,
Flamin' Groovies,artist_universe_adjacent_targeted,Q1571476
Flat Duo Jets,artist_universe_adjacent_targeted,
Flatt and Scruggs,artist_universe_adjacent_targeted,Q1040688
Floyd County Ramblers,artist_universe_adjacent_targeted,
Foreigner,artist_universe_adjacent_targeted,
Frank DeVito,artist_universe_adjacent_targeted,
Freakwater,artist_universe_adjacent_targeted,
Fu Manchu,artist_universe_adjacent_targeted,
Galaxie 500,artist_universe_adjacent_targeted,
Garrison Starr,artist_universe_adjacent_targeted,
Gary Adams,artist_universe_adjacent_targeted,
Gary Cummings,artist_universe_adjacent_targeted,
Gemini,artist_universe_adjacent_targeted,
Gene Simmons,artist_universe_adjacent_targeted,
Giant Sand,artist_universe_adjacent_targeted,
Gibson Brothers,artist_universe_adjacent_targeted,Q1189202
Golden Delicious,artist_universe_adjacent_targeted,
Good Riddance,artist_universe_adjacent_targeted,
