name_primary,discogs_birth_year,discogs_birth_city,discogs_birth_state,discogs_birth_country,discogs_url,itunes_artist_url
Dale Ann Bradley,,,,United States,/artist/1523501-Dale-Ann-Bradley,https://music.apple.com/us/artist/dale-ann-bradley/56407221?uo=4
Sean McConnell,,,,United States,/artist/2461762-Sean-McConnell,https://music.apple.com/us/artist/sean-mcconnell/58945199?uo=4
Ash Bowers,,,,United States,/artist/3031395-Ashley-Bowers,https://music.apple.com/us/artist/ash-bowers/326905298?uo=4
Logan Brill,,Knoxville,Tennessee,United States,/artist/5313824-Logan-Brill,https://music.apple.com/us/artist/logan-brill/711766861?uo=4
Sean Patrick McGraw,,,,United States,/artist/5576886-Sean-Patrick-McGraw,https://music.apple.com/us/artist/sean-patrick-mcgraw/97600094?uo=4
Evan Bartels,,,,,/artist/6025721-Evan-Bartels,https://music.apple.com/us/artist/evan-bartels/1270293822?uo=4
Arum Rae,,Austin,Texas,United States,/artist/2147201-Arum-Rae,https://music.apple.com/us/artist/arum-rae/65455110?uo=4
John Landry,,,,,/artist/2075285-John-Landry,https://music.apple.com/us/artist/john-landry/112455392?uo=4
Mitch Zorn,,,,,,https://music.apple.com/us/artist/mitch-zorn/1411931991?uo=4
Matt Lang,,,,,/artist/423926-Matt-Lang,https://music.apple.com/us/artist/matt-lang/30459620?uo=4
The Isaacs,,LaFollette,Tennessee,United States,/artist/1471602-The-Isaacs,https://music.apple.com/us/artist/the-isaacs/6599995?uo=4
Infamous Stringdusters,,,,,/artist/1370351-The-Infamous-Stringdusters,https://music.apple.com/us/artist/the-infamous-stringdusters/209591048?uo=4
Griffen Palmer,,,,,/artist/7858447-Griffen-Palmer,https://music.apple.com/us/artist/griffen-palmer/1502461748?uo=4
McHayes,,,,,,https://music.apple.com/us/artist/mchayes/3592441?uo=4
Lasse Stefanz,,,,,,https://music.apple.com/us/artist/lasse-stefanz/153933921?uo=4
Harrdy Sandhu,,,,,,https://music.apple.com/us/artist/harrdy-sandhu/587454368?uo=4
Roger Springer,,,,,,https://music.apple.com/us/artist/the-roger-springer-band/155613?uo=4
Roger Alan Wade,,,,,,https://music.apple.com/us/artist/roger-alan-wade/62027648?uo=4
Duane Steele,,,,,,https://music.apple.com/us/artist/duane-steele/32442983?uo=4
John McNicholl,,,,,,https://music.apple.com/us/artist/john-mcnicholl/417859218?uo=4
Lavender Country,,,,,,https://music.apple.com/us/artist/lavender-country/508940144?uo=4
Kate Mann,,,,,,https://music.apple.com/us/artist/kate-mann/76890990?uo=4
The Road Hammers,,,,,,https://music.apple.com/us/artist/the-road-hammers/73969914?uo=4
Parmalee,,,,,,https://music.apple.com/us/artist/parmalee/534717222?uo=4
Zaca Creek,,,,,,https://music.apple.com/us/artist/zaca-creek/337045099?uo=4
Chuck Wagon & the Wheels,,,,,,https://music.apple.com/us/artist/chuck-wagon-the-wheels/3300219?uo=4
Rocket Club,,,,,,https://music.apple.com/us/artist/rocket-club/295175806?uo=4
Leahy,,,,,,https://music.apple.com/us/artist/leahy/647121?uo=4
Green River Ordinance,,,,,,https://music.apple.com/us/artist/green-river-ordinance/171423056?uo=4
Levi Parham,,,,,,https://music.apple.com/us/artist/levi-parham/647579272?uo=4
Robyn Ottolini,,,,,,https://music.apple.com/us/artist/robyn-ottolini/568066567?uo=4
Raquel Cole,,,,,,https://music.apple.com/us/artist/raquel-cole/906000753?uo=4
Rio Grand,,,,,,https://music.apple.com/us/artist/rio-grand/140109861?uo=4
The Hutchens,,,,,,https://music.apple.com/us/artist/the-hattons/1763904142?uo=4
4 Runner,,,,,,https://music.apple.com/us/artist/4runner/212931581?uo=4
Laurel and Hardy,,,,,,https://music.apple.com/us/artist/laurel-hardy/14777255?uo=4
Rio Grande,,,,,,https://music.apple.com/us/artist/rio-grande/1504844402?uo=4
Alabama,,,,,,https://music.apple.com/us/artist/alabama/444113247?uo=4
Christian López,,,,,,
