musicbrainz_mbid,mbx_birth_year,mbx_birth_city,mbx_birth_state,mbx_birth_country
8f0c7db9-6d1c-446b-913c-b5c6811ca6fc,1955.0,,,United States
76e78b58-f301-4975-8058-7f84d8360738,1998.0,Homewood,,United States
d39f9276-32c1-4b84-9389-d77dbc3801ae,1993.0,,,United States
b7984d80-3e30-42d3-b34c-b6aeb258aa6c,,,,United States
e3d0da79-2006-472c-8338-2ea2e259058b,1917.0,Wood County,Texas,United States
4c5d7f65-8811-40aa-bcc2-fd701d404779,1924.0,Section,,United States
b69916ba-1213-4a44-a9c2-087c8e26f400,1979.0,,,United States
52b19859-74d8-4952-87eb-0d8351281df7,1995.0,,,United States
3f6e3fe2-6f82-4246-a02e-c8496d848537,1911.0,,,United States
1af9993d-7410-46ca-a94b-14c2994f285e,1943.0,,,United States
e19065af-f89f-4ace-86f2-dc197fc23cf7,1921.0,Fleming-Neon,,United States
7bf4da99-0afc-43f7-b35b-016ad6fd5893,1988.0,Nashville,,United States
c43ee0ce-aa77-43ae-b722-afac4bae3c62,1981.0,Moorcroft,,United States
8e828427-ec30-4cac-a90f-e4a5701b71ab,1921.0,,,United States
339973c0-fc0d-4570-bf95-07082a9c7e88,,,,United States
3cfdd428-e5d0-408c-b8a7-5a149c89e6a9,1997.0,,,United States
e91cc3d2-640a-4529-8d4f-9bf14f1257ca,1925.0,,,United States
840d014d-23f1-4dce-a669-d4824f448387,1973.0,Auburn,,United States
8124e55d-2d3f-4e72-8ca6-5a89d9aa2c25,1904.0,,Texas,United States
974cccce-9d4a-424e-9225-7e83c121c053,1991.0,Oxford,,United States
3f6c460c-8f06-4a8e-8293-83dc8859b859,1948.0,Lewis County,Kentucky,United States
c884a0fb-ab3b-4b06-898f-f5cb9b816ad4,1979.0,Salyersville,,United States
b3a3fd76-20bb-4276-bd1a-e09c89116074,1954.0,,Pennsylvania,United States
0aed69f3-585a-424b-ada2-df6b47137ea5,1976.0,,,United States
72d2efc4-9700-429b-9c78-412d80b21a21,1940.0,Denver,Colorado,United States
088e9c9c-a431-460c-9ea4-539654ae0a51,1948.0,,,United States
f8a57783-99ca-48f2-8937-86d7e9c81792,1915.0,,,United States
0ee34caa-31c3-4b34-9fa1-5efec8b5fefb,1930.0,,Oklahoma,United States
ec4f119f-f02f-41bd-9643-9bf8f6486356,1976.0,Memphis,,United States
944834a1-2da3-4679-a03b-ce05d8339a09,1985.0,Arlington,,United States
24ff3a8a-df96-4d46-ac99-b3e989d3ae14,1965.0,,,United States
e7793ca1-282e-4a70-bed9-d9e26d135828,1947.0,Chillicothe,,United States
2cee0cfb-cac2-423f-8746-ec7a70e92278,1940.0,Gulfport,,United States
7b01f6bf-8ca4-4b85-9df0-d0b1be0fed8c,1946.0,Santa Monica,,United States
42f892c2-4f32-4380-8c14-dad3e926d840,,,,
e0c38793-9fd5-4824-b30d-78e47c2a3149,1949.0,,,United States
c85360c9-7b7f-4cb2-a541-bff275020b9e,1990.0,Sumner County,Tennessee,United States
b3ddbf06-392d-41f8-b1d3-080edee320af,1965.0,Birmingham,,United States
eddfe0b7-5b6c-44a9-9b14-9dceddb5d3e7,1953.0,,Oklahoma,United States
4e32a669-b8f9-444d-b7af-fdebaecd6772,1878.0,,,United States
41e03cbd-acbf-4d4e-8ed4-218c144de359,1966.0,Perryville,,United States
65b72a96-123e-4182-a467-4d60b3b638c1,1929.0,,,United States
86054389-bc34-4008-b00b-38ef1a1ad988,1985.0,,,
cd8e2987-765d-4cd0-afc6-82a093443f47,1999.0,Dallas,,United States
d3889afd-e4d4-41f3-b548-09036264a2f4,2000.0,Muskogee,,United States
edb28a29-912b-4a5d-a8d7-dda17c1f88a7,1984.0,,,United States
92359d0e-c336-4dd4-a859-7f0fc4056897,,Bell County,Kentucky,United States
8ac994b9-f4e0-4290-a194-c56c9ce79dae,,Marietta,,United States
1e47b9d0-14e3-4c73-9f05-06dfae15e7fb,,,,United States
b97912c5-c168-476b-b89e-070442d7d4f2,,Knoxville,,United States
ed7173c5-f17a-41f9-8ff2-636b44a7276a,,,,
f45da029-7b00-4bf3-962c-0eeb20309cc4,1967.0,Whangārei,,AU
1dff5d68-4ca8-4284-a181-b015e9a30cec,1993.0,,,United States
15843a2d-55a6-4849-b333-42508a60a23a,,Colorado Springs,,United States
54f855b3-e958-46c3-973d-d4536250a652,1966.0,Sydney,New South Wales,United States
9f0b16ba-d2be-49be-8f37-4a96a17cf863,1997.0,County Down,Northern Ireland,GB
4c789e58-2e4c-4167-b881-79aec362824f,,County Meath,,IE
8f918972-81e9-43a5-80a4-d244a42dc5b2,1945.0,,,United States
