seed_title,source_seed,wikidata_qid
4 Runner,artist_universe_core_targeted,Q4639085
8 Ball Aitken,artist_universe_core_targeted,Q4645217
Aaron Benward,artist_universe_core_targeted,Q4661837
Adam Brand,artist_universe_core_targeted,Q27908754
Adam Gregory,artist_universe_core_targeted,Q349592
Aileeah Colgan,artist_universe_core_targeted,Q23771369
Alabama,artist_universe_core_targeted,Q173
Aleen Aldas,artist_universe_core_targeted,
Alison Parson,artist_universe_core_targeted,
Alvis Wayne,artist_universe_core_targeted,
Amazing Rhythm Aces,artist_universe_core_targeted,Q2409423
Amber Lawrence,artist_universe_core_targeted,Q4741265
American Young,artist_universe_core_targeted,Q16159975
Anne McCue,artist_universe_core_targeted,Q4768631
Anthony Armstrong Jones,artist_universe_core_targeted,
Arthur Miles,artist_universe_core_targeted,Q138303454
Arum Rae,artist_universe_core_targeted,Q26258465
Ash Bowers,artist_universe_core_targeted,Q4804359
Beccy Cole,artist_universe_core_targeted,Q4878538
Benjamin F. Logan,artist_universe_core_targeted,Q4888552
BeyonCa,artist_universe_core_targeted,Q116886701
Bill Barwick,artist_universe_core_targeted,Q19668633
Billy Eli,artist_universe_core_targeted,
Bob Livingston,artist_universe_core_targeted,
Bobby Lewis,artist_universe_core_targeted,
Bobby Mackey,artist_universe_core_targeted,Q4935311
Bobby Pinson,artist_universe_core_targeted,
Bodeco,artist_universe_core_targeted,Q4936440
Boy Howdy,artist_universe_core_targeted,Q4952081
Breland,artist_universe_core_targeted,Q907113
Brooks & Dunn,artist_universe_core_targeted,Q929683
Casey Beathard,artist_universe_core_targeted,
Catherine Britt,artist_universe_core_targeted,Q5052561
Catherine McGrath,artist_universe_core_targeted,Q51830633
Charline Arthur,artist_universe_core_targeted,
Chester Smith,artist_universe_core_targeted,Q23945369
Chilton Price,artist_universe_core_targeted,
Christian López,artist_universe_core_targeted,Q26855331
Christy Sutherland,artist_universe_core_targeted,
Chuck Wagon & the Wheels,artist_universe_core_targeted,Q5115824
Clare Bowen,artist_universe_core_targeted,Q39992
Cledus Maggard & the Citizen's Band,artist_universe_core_targeted,
Cody Jinks,artist_universe_core_targeted,
Cold Creek County,artist_universe_core_targeted,Q22080338
Coldwater Jane,artist_universe_core_targeted,Q5142585
Colonel Robert Morris,artist_universe_core_targeted,
Colt Prather,artist_universe_core_targeted,
Conjunto Rio Grande,artist_universe_core_targeted,
Connie Hall,artist_universe_core_targeted,
Connor Smith,artist_universe_core_targeted,Q26905796
Cousin Emmy,artist_universe_core_targeted,
Cowboy Slim Rinehart,artist_universe_core_targeted,Q15501574
Craig Bickhardt,artist_universe_core_targeted,Q5180733
Daisy Mallory,artist_universe_core_targeted,
Dale Ann Bradley,artist_universe_core_targeted,Q16728341
Dale McBride,artist_universe_core_targeted,
Dallas Wayne,artist_universe_core_targeted,
Dan + Shay,artist_universe_core_targeted,Q16959408
Darden Smith,artist_universe_core_targeted,
Dave Pomeroy,artist_universe_core_targeted,
David Grissom,artist_universe_core_targeted,
David Kersh,artist_universe_core_targeted,
David Wills,artist_universe_core_targeted,
Dean Beard,artist_universe_core_targeted,Q1181027
Dean Brody,artist_universe_core_targeted,Q5246027
Django Walker,artist_universe_core_targeted,
Don Amero,artist_universe_core_targeted,Q23542609
Don Gililland,artist_universe_core_targeted,
Donny Parenteau,artist_universe_core_targeted,Q5296746
Dottsy,artist_universe_core_targeted,
Duane Allen,artist_universe_core_targeted,Q16106162
Duane Steele,artist_universe_core_targeted,Q5310388
Due West,artist_universe_core_targeted,Q20998375
Eddie Noack,artist_universe_core_targeted,
Eric Heatherly,artist_universe_core_targeted,
Evan Bartels,artist_universe_core_targeted,Q30322692
Florida Georgia Line,artist_universe_core_targeted,Q3644642
Gary Stites,artist_universe_core_targeted,Q5526005
Georgia Middleman,artist_universe_core_targeted,
Gerry House,artist_universe_core_targeted,Q5552802
Ghoultown,artist_universe_core_targeted,Q1521954
Gil Grand,artist_universe_core_targeted,Q5560526
Glenn Douglas Tubb,artist_universe_core_targeted,
Gone West,artist_universe_core_targeted,Q65049107
Goose Creek Symphony,artist_universe_core_targeted,Q5584049
Great Plains,artist_universe_core_targeted,Q12707
Green River Ordinance,artist_universe_core_targeted,Q5603138
Griffen Palmer,artist_universe_core_targeted,Q117458025
Haley Scarnato,artist_universe_core_targeted,
Harlow Wilcox,artist_universe_core_targeted,
Harrdy Sandhu,artist_universe_core_targeted,Q18608779
Hayden Nicholas,artist_universe_core_targeted,Q5686357
Hayes Carll,artist_universe_core_targeted,
Homer Ledford,artist_universe_core_targeted,Q15461582
Ian & Sylvia,artist_universe_core_targeted,Q1655684
Infamous Stringdusters,artist_universe_core_targeted,Q1662265
Jack Earls,artist_universe_core_targeted,
Jacky Ward,artist_universe_core_targeted,
Jade Eagleson,artist_universe_core_targeted,Q104797016
Jaida Dreyer,artist_universe_core_targeted,Q6123512
Jake Hill,artist_universe_core_targeted,Q135510269
James Reams,artist_universe_core_targeted,
Jamie O'Neal,artist_universe_core_targeted,Q6147308
Jana Jae,artist_universe_core_targeted,
Jaren Johnston,artist_universe_core_targeted,
Jason McCoy,artist_universe_core_targeted,Q6163072
Jason Sellers,artist_universe_core_targeted,
Jason Whitehorn,artist_universe_core_targeted,Q6163742
Jeff Wood,artist_universe_core_targeted,
Jenny Don't And The Spurs,artist_universe_core_targeted,Q119730000
Jessie Baker,artist_universe_core_targeted,
Jim Collins,artist_universe_core_targeted,
Jim Ford,artist_universe_core_targeted,
Jim Hurst,artist_universe_core_targeted,Q21278780
Jimmie Selph,artist_universe_core_targeted,Q575242
Jimmy Velvit,artist_universe_core_targeted,
Joe Barnhill,artist_universe_core_targeted,Q6208483
John Duncan,artist_universe_core_targeted,Q1699853
John Landry,artist_universe_core_targeted,Q6243938
John McNicholl,artist_universe_core_targeted,Q16732396
John Richards,artist_universe_core_targeted,Q1694155
John Wheeler,artist_universe_core_targeted,Q371163
