name_primary,discogs_birth_year,discogs_birth_city,discogs_birth_state,discogs_birth_country,discogs_url,itunes_artist_url
Dale Ann Bradley,,,,United States,/artist/1523501-Dale-Ann-Bradley,https://music.apple.com/us/artist/dale-ann-bradley/56407221?uo=4
Ash Bowers,,,,United States,/artist/3031395-Ashley-Bowers,https://music.apple.com/us/artist/ash-bowers/326905298?uo=4
Logan Brill,,Knoxville,Tennessee,United States,/artist/5313824-Logan-Brill,https://music.apple.com/us/artist/logan-brill/711766861?uo=4
Sean Patrick McGraw,,,,United States,/artist/5576886-Sean-Patrick-McGraw,https://music.apple.com/us/artist/sean-patrick-mcgraw/97600094?uo=4
Arum Rae,,Austin,Texas,United States,/artist/2147201-Arum-Rae,https://music.apple.com/us/artist/arum-rae/65455110?uo=4
Matt Lang,,,,,/artist/423926-Matt-Lang,https://music.apple.com/us/artist/matt-lang/30459620?uo=4
Mitch Zorn,,,,,,https://music.apple.com/us/artist/mitch-zorn/1411931991?uo=4
Harrdy Sandhu,1986.0,Punjab,,India,/artist/10527781-Harrdy-Sandhu,https://music.apple.com/us/artist/harrdy-sandhu/587454368?uo=4
John McNicholl,,,,United Kingdom,/artist/11464442-John-McNicholl,https://music.apple.com/us/artist/john-mcnicholl/417859218?uo=4
Kate Mann,,,,,/artist/3104416-Käte-Mann,https://music.apple.com/us/artist/kate-mann/76890990?uo=4
The Road Hammers,,,,Canada,/artist/1750245-The-Road-Hammers,https://music.apple.com/us/artist/the-road-hammers/73969914?uo=4
Chuck Wagon & the Wheels,1998.0,,,,/artist/1352430-Chuck-Wagon-The-Wheels,https://music.apple.com/us/artist/chuck-wagon-the-wheels/3300219?uo=4
Levi Parham,,,,,/artist/2571389-Levi-Parham,https://music.apple.com/us/artist/levi-parham/647579272?uo=4
River Town Saints,,,,,,https://music.apple.com/us/artist/river-town-saints/1042066461?uo=4
Laurel and Hardy,,,,,,https://music.apple.com/us/artist/laurel-hardy/14777255?uo=4
Rio Grande,,,,,,https://music.apple.com/us/artist/rio-grande/1504844402?uo=4
Alabama,,,,,,https://music.apple.com/us/artist/alabama/444113247?uo=4
Jim Hurst,,,,,,https://music.apple.com/us/artist/jim-hurst/80102605?uo=4
Christian López,,,,,,https://music.apple.com/us/artist/christian-lopez/926324141?uo=4
Adam Brand,,,,,,https://music.apple.com/us/artist/adam-brand/161723475?uo=4
Tom Leahy,,,,,,https://music.apple.com/us/artist/tom-leary/397672077?uo=4
Due West,,,,,,https://music.apple.com/us/artist/due-west/148101864?uo=4
Van Zant,,,,,,https://music.apple.com/us/artist/van-zant/7268664?uo=4
LATAM Cargo Colombia,,,,,,
Adam Gregory,,,,,,https://music.apple.com/us/artist/adam-gregory/28582063?uo=4
Old Dominion,,,,,,https://music.apple.com/us/artist/old-dominion/495761008?uo=4
River Road,,,,,,https://music.apple.com/us/artist/river-road/421932854?uo=4
Sparx,,,,,,https://music.apple.com/us/artist/sparx/4130892?uo=4
Leen,,,,,,https://music.apple.com/us/artist/leen/1515907544?uo=4
Breland,,,,,,https://music.apple.com/us/artist/breland/1497012074?uo=4
Jonathan Jackson,,,,,,https://music.apple.com/us/artist/jonathan-jackson/1116879930?uo=4
Great Plains,,,,,,https://music.apple.com/us/artist/great-plains/27533429?uo=4
John Richards,,,,,,https://books.apple.com/us/author/john-richards/id27384974?uo=4
eagle,,,,,,https://music.apple.com/us/artist/eagle/1454891482?uo=4
John Duncan,,,,,,https://books.apple.com/us/author/john-duncan/id32903060?uo=4
windward and leeward,,,,,,
Connor Smith,,,,,,https://music.apple.com/us/artist/connor-smith/1462114201?uo=4
Jenny Don't And The Spurs,,,,,,https://music.apple.com/us/artist/jenny-dont-and-the-spurs/923643398?uo=4
BeyonCa,,,,,,https://music.apple.com/us/artist/beyonc%C3%A9/1419227?uo=4
Conjunto Rio Grande,,,,,,https://music.apple.com/us/artist/conjunto-rio-grande/260297558?uo=4
Aleen Aldas,,,,,,https://music.apple.com/us/artist/aleen-aldas/1664514913?uo=4
George Birge,,,,,,https://music.apple.com/us/artist/george-birge/1012509146?uo=4
Flatt and Scruggs,,,,,,https://music.apple.com/us/artist/flatt-scruggs/462436?uo=4
Pirates of the Mississippi,,,,,,https://music.apple.com/us/artist/pirates-of-the-mississippi/182347895?uo=4
Jimmy & Johnny,,,,,,https://music.apple.com/us/artist/jimmy-johnny/4254158?uo=4
The Wreckers,,,,,,https://music.apple.com/us/artist/the-wreckers/43466807?uo=4
Johnny and Jonie Mosby,,,,,,https://music.apple.com/us/artist/johnny-jonie-mosby/256430356?uo=4
The Willis Brothers,,,,,,https://music.apple.com/us/artist/the-willis-brothers/79275912?uo=4
Pérez Prado,,,,,,https://music.apple.com/us/artist/pe-rez-prado/825384784?uo=4
Paul McCartney,,,,,,https://music.apple.com/us/artist/paul-mccartney/12224?uo=4
The Davis Sisters,,,,,,https://music.apple.com/us/artist/the-davis-sisters/3436779?uo=4
Sunday Sharpe,,,,,,https://music.apple.com/us/artist/sunday-sharpe/528940475?uo=4
RCA Records,,,,,,
Darrell Glenn,,,,,,https://music.apple.com/us/artist/darrell-glenn/183372?uo=4
Jimmy Heap,,,,,,
Adrian Robak,,,,,,
Shenandoah,,,,,,https://music.apple.com/us/artist/shenandoah/3810315?uo=4
The Farm,,,,,,https://music.apple.com/us/artist/the-farm/188147?uo=4
Bryan Martin,,,,,,https://music.apple.com/us/artist/bryan-martin/1530124649?uo=4
Brian Shaw,,,,,,https://music.apple.com/us/artist/brian-shaw/1564984803?uo=4
Hal Willis,,,,,,
exile,,,,,,
Midland,,,,,,
The Voice (U.S. season 10),,,,,,https://music.apple.com/us/artist/the-voice-season-13-top-12-contestants/1314981565?uo=4
Gene Sullivan,,,,,,
Jimmy Edwards,,,,,,https://music.apple.com/us/artist/jimmy-edwards/151648600?uo=4
Love and Theft,,,,,,
Morgan Evans,,,,,,
Gloriana,,,,,,
Porter Wagoner and Dolly Parton,,,,,,
George Jones & Tammy Wynette,,,,,,
"Eddy Arnold, The Tennessee Plowboy and His Guitar",,,,,,
Red Foley and the Cumberland Valley Boys,,,,,,
"Margaret Whiting, Jimmy Wakely",,,,,,
Margaret Whiting and Jimmy Wakely,,,,,,
"Red Foley, Ernest Tubb",,,,,,
Wilma Lee Cooper and Stoney Cooper,,,,,,
Adam Wakefield,,,,,,
David Houston and Barbara Mandrell,,,,,,
"Kitty Wells, Red Foley",,,,,,
Lewis Pruitt,,,,,,
Marshmello and Kane Brown,,,,,,
"Red Sovine, Webb Pierce",,,,,,
Tennessee Ernie,,,,,,
Tex Williams and The Western Caravan,,,,,,
Wilma Lee and Stoney Cooper,,,,,,
Adrian Roland,,,,,,
Alan Riddle[1][2],,,,,,
Andrews Sisters and Ernest Tubb,,,,,,
Anita Carter Hank Snow,,,,,,
"Artists of Then, Now & Forever",,,,,,
Bebe Rexha & Florida Georgia Line,,,,,,
Betty Foley[1],,,,,,
BigXthaPlug featuring Bailey Zimmerman,,,,,,
Bill Leatherwood,,,,,,
Bob Wills and Tommy Duncan,,,,,,
"Bobby Bare and Bobby Bare, Jr.",,,,,,
Brantley Gilbert and Lindsay Ell,,,,,,
Bud Logan and Wilma Burgess,,,,,,
Carly Pearce & Lee Brice,,,,,,
Carly Pearce and Ashley McBryde,,,,,,
Chris Young and Kane Brown,,,,,,
Clyde Beavers,,,,,,
Cody Johnson and Carrie Underwood,,,,,,
Cole Swindell and Lainey Wilson,,,,,,
David Lee Murphy & Kenny Chesney,,,,,,
Delmore Brothers,,,,,,
"Diplo, Jessie Murph and Polo G",,,,,,
"Eddy Arnold, Hugo Winterhalter",,,,,,
Elle King & Miranda Lambert,,,,,,
Elmer Snodgrass,,,,,,
Ernest Tubb and Loretta Lynn,,,,,,
Ernest Tubb and The Wilburn Brothers,,,,,,
Faron Young and Margie Singleton,,,,,,
Garth Brooks & Huey Lewis,,,,,,
Garth Brooks and Blake Shelton,,,,,,
Gene Autry and the Pinafores,,,,,,
Gene Woods,,,,,,
"Ginny Wright, Jim Reeves",,,,,,
"Ginny Wright, Tom Tall",,,,,,
"Goldie Hill, Justin Tubb",,,,,,
Hoosier Hot Shots and Two Ton Baker,,,,,,
Hoyt Axton and Renee Armand,,,,,,
Jason Aldean & Carrie Underwood,,,,,,
"Jean Shepard, Ferlin Husky",,,,,,
Jim Brickman with Michelle Wright,,,,,,
Jim Reeves and Dottie West,,,,,,
Jimmie Allen & Brad Paisley,,,,,,
Jimmy Newman,,,,,,
Jimmy Smart,,,,,,
Kane Brown & Blackbear,,,,,,
Kane Brown & John Legend,,,,,,
