name_primary,resolved_musicbrainz_mbid,resolved_musicbrainz_type,resolved_musicbrainz_country
Trey Lewis,add79722-d66d-4431-883b-8c580a2b3684,Person,United States
Maura Sullivan,f013a796-ca11-4b16-bfbe-e15f75502ff0,Person,
Nick Shoulders,8b1536e8-860e-41d0-90b1-8a067c9c326b,Person,United States
Todd O'Neill,1c6799b5-9196-463a-8e26-baaa125e0b11,Person,
Mary K. Miller,,,
Kassi Ashton,ee83ab96-43ce-496a-814b-c5eca5735bf7,Person,United States
Alana Springsteen,eb1099c1-3ee0-49d3-8b6a-16ae5ae50004,Person,United States
Pete Scobell,48e92dfa-8d4b-4a05-bacc-6c491c95ea80,,
Mike Johnson,842226e0-fc89-468d-95c7-1e1cca0db944,Person,United States
El Gringo,e87d4999-0373-4584-bb76-0b5ab790c310,Person,
Lane Turner,b14fe7f9-4d0e-411e-a040-d17460a08be7,Person,United States
Leslie Satcher,233bc3b1-0c25-4bb3-8181-72ce4aa7db64,Person,United States
Marilyn Sellars,53330e83-8931-4144-aea9-176bcc7a1269,Person,United States
Matt Mason (singer),,,
McKenna Faith,,,
Nicki Bluhm,feff5395-e6d1-4628-b2bb-07175ce3da10,Person,United States
Sarah Johns,20b34f7d-a135-4c3d-ad84-cea9b80581c2,Person,
Sonia Leigh,a067e0a8-a828-4a56-a7c9-2e3ccfddbd71,Person,United States
Tamara Walker,ba74739b-6314-4396-a679-e8534b2c3ce2,Person,
Tammy Rogers,b7d94cd4-c74e-424a-bee5-84ec350611f3,Person,United States
Billie Maxwell,79f6b7ce-74c3-457b-aee4-181ffc79b1bc,Person,
Blind Simmie Dooley,9319a2ee-b061-4cfe-bbfc-02c7663afe07,Person,United States
Bob Atcher,69a69256-45f0-4163-981b-c9db9dc9e3ed,Person,United States
Julienne Irwin,,,
Rick & Janis Carnes,,,
Colby Acuff,fbed2353-569e-479e-955c-32711b1219af,Person,United States
Andrew Hyra,360c2ec7-6ec6-4391-a9c6-c4518229d1b4,Person,United States
Jenny Don't,b9044aef-8728-465c-aec8-c467826b55e8,Group,
Luanne Hunt,,,
John Schmid,,,
Troy Cartwright,608c637a-85fa-4cc5-b9c9-925abf1e00eb,Person,
Arlene Harden,d0dd6432-d3f9-4b4a-b507-6b6e1defade8,Person,United States
Dave Gonzalez,,,
Doug Dugger,,,
John Wheeler,533326fe-d59b-448e-ade0-96737df0df20,Person,United States
Orville Couch,8901c0fe-9619-4fe9-bbac-969df7817501,Person,
Slim Wilson,,,
Tammy Graham,f348cf92-3083-4a82-91ca-f1499b2e5243,Person,
Guy Drake,e86725d6-330f-41fa-8d62-ad5dec9262f6,,
Abbie Neal,fd4266df-97e4-44d2-aac1-b1f27d87444f,Person,
Luke Tan,,,
Eddie Jackson,e502a27e-ac1d-4f1a-b5bb-57bfbe9809b4,Person,United States
Luke O'Shea,ddc694fa-a10d-44e7-9e08-ec2142d80610,Person,Australia
John McNicholl,,,
Kate Mann,0ba20ec1-8897-43a2-95a7-2e7ac2f9e3df,,
Celia Woodsmith,4fc8a2c6-4c15-447a-b32c-dd91022a0e43,Person,
Joe Carson,4a56d91c-5a20-4323-9665-8efdda36acd0,Person,United States
Sandy Mason,b1aee447-7b7b-4286-8e39-45d73d2a6876,Person,United States
Juni Fisher,,,
Rio Grand,2c4e1a49-29d0-401a-bfde-ceb9e4611866,Group,
Paul Brown,da787ed8-f1c3-4b6c-a78b-0064526ea08a,Person,United States
Sarah Marince,,,
Ray Alden,7ffc0afc-7850-40ea-b49d-e9147bac781f,Person,
Ruby Allmond,8b3621b3-b16a-4931-8f60-c93646964839,Person,
Guy Juke,,,
Homer Ledford,,,
Hayden Nicholas,30d59641-59f9-48ff-bf7e-e1c902ecb813,Person,United States
Freddie Langdon,,,
LaDonna Gatlin,,,
