musicbrainz_mbid,mb_birth_date,mb_birth_year,mb_birth_city,mb_birth_county,mb_birth_state,mb_birth_country
6d9e7506-8b53-4dd8-992a-512b18f3b6ba,,,,,Pennsylvania,United States
8f0c7db9-6d1c-446b-913c-b5c6811ca6fc,1955-01-01,1955.0,,,,United States
9eed827f-ddf8-4d55-b83b-f8d6bbbca54d,1929-10-04,1929.0,,,Missouri,United States
61a43fdf-61fc-4676-85b1-17709a7882b8,,,,,North Carolina,United States
508a278f-8659-415b-a675-c5075244c830,,,,,,United States
0e94571b-66f0-4443-90a2-e89b1f5e7dec,1991-11-07,1991.0,,,,United States
add67eec-6441-4400-aa38-05a94041828f,,,,,,United States
e0870836-d112-4851-92bd-570f2e1e62cb,1992-06-30,1992.0,,,,United States
a38eff48-19da-44cd-bb87-ed3861afd8d0,1979-01-01,1979.0,,,Mississippi,United States
681a173a-a18a-42a6-8136-3c0ef3d88036,1953-01-01,1953.0,,,,United States
e1f83b22-d40e-400a-8ebb-4e59b5b53d31,1957-03-10,1957.0,,,California,United States
15d34dc5-12d2-475e-8244-cb3eb19fa805,,,,,,United States
b8be39a1-85a1-48ec-961d-188bfcd73097,,,,,Mississippi,United States
6728787e-8534-48f2-a8d1-70c59e8818da,1957-01-01,1957.0,,,,United States
611a3e51-804e-4798-8971-6f45541c9d03,,,,,,United States
d39f9276-32c1-4b84-9389-d77dbc3801ae,1993-01-01,1993.0,,,,United States
b7984d80-3e30-42d3-b34c-b6aeb258aa6c,,,,,Alabama,United States
b69916ba-1213-4a44-a9c2-087c8e26f400,1979-08-22,1979.0,,,,United States
52b19859-74d8-4952-87eb-0d8351281df7,1995-01-01,1995.0,,,,United States
3f6e3fe2-6f82-4246-a02e-c8496d848537,1911-01-01,1911.0,,,,United States
1af9993d-7410-46ca-a94b-14c2994f285e,1943-04-29,1943.0,,,,United States
8e828427-ec30-4cac-a90f-e4a5701b71ab,1921-04-19,1921.0,,,,United States
339973c0-fc0d-4570-bf95-07082a9c7e88,,,,,,United States
3cfdd428-e5d0-408c-b8a7-5a149c89e6a9,1997-01-01,1997.0,,,,United States
e91cc3d2-640a-4529-8d4f-9bf14f1257ca,1925-09-11,1925.0,,,,United States
8124e55d-2d3f-4e72-8ca6-5a89d9aa2c25,1904-08-28,1904.0,,,Texas,United States
b3a3fd76-20bb-4276-bd1a-e09c89116074,1954-01-01,1954.0,,,Pennsylvania,United States
0aed69f3-585a-424b-ada2-df6b47137ea5,1976-10-19,1976.0,,,,United States
088e9c9c-a431-460c-9ea4-539654ae0a51,1948-03-28,1948.0,,,,United States
f8a57783-99ca-48f2-8937-86d7e9c81792,1915-06-23,1915.0,,,,United States
0ee34caa-31c3-4b34-9fa1-5efec8b5fefb,1930-07-18,1930.0,,,Oklahoma,United States
24ff3a8a-df96-4d46-ac99-b3e989d3ae14,1965-06-13,1965.0,,,,United States
42f892c2-4f32-4380-8c14-dad3e926d840,,,,,,
e0c38793-9fd5-4824-b30d-78e47c2a3149,1949-09-29,1949.0,,,,United States
eddfe0b7-5b6c-44a9-9b14-9dceddb5d3e7,1953-06-23,1953.0,,,Oklahoma,United States
4e32a669-b8f9-444d-b7af-fdebaecd6772,1878-10-31,1878.0,,,,United States
65b72a96-123e-4182-a467-4d60b3b638c1,1929-12-24,1929.0,,,,United States
86054389-bc34-4008-b00b-38ef1a1ad988,1985-04-17,1985.0,,,,
e913055a-6a81-4bd1-868c-12b6c7d98d1d,1988-01-01,1988.0,,,New Jersey,United States
86200eea-a1b0-4209-9f58-f05aacd9da0f,,,,,Arkansas,United States
207d26db-bfef-4b85-b900-325c368d4c7a,1909-01-01,1909.0,,,,United States
0d248a54-fd3e-4d94-ad81-634b30425383,1918-02-05,1918.0,,,Arkansas,United States
c0e63ff9-6452-4bca-98d4-2ed9cc7fa0ea,1983-01-18,1983.0,,,Florida,United States
e7ca6db5-dee1-4460-8d38-35f36b61c961,1980-05-18,1980.0,,,Arkansas,United States
7994b392-4b14-4b06-b591-fd8b0ad65338,1925-07-19,1925.0,,,,United States
bdc82654-bc2d-45e7-aabf-e0494d8e917d,1870-10-07,1870.0,,,Tennessee,United States
f625a2b1-21b5-4f7b-b7d7-e3280df4b87d,1936-03-09,1936.0,,,Oklahoma,United States
2e2dc3f4-6663-40fd-9def-7b590f02c832,1976-01-01,1976.0,,,,United States
9a016d7b-f159-407c-8dae-b72e77bdaf45,1892-04-06,1892.0,,,Virginia,United States
edb28a29-912b-4a5d-a8d7-dda17c1f88a7,1984-01-01,1984.0,,,,United States
92359d0e-c336-4dd4-a859-7f0fc4056897,,,,Bell County,Kentucky,United States
1e47b9d0-14e3-4c73-9f05-06dfae15e7fb,,,,,,United States
b97912c5-c168-476b-b89e-070442d7d4f2,,,,,,United States
ed7173c5-f17a-41f9-8ff2-636b44a7276a,,,,,,
8ca30ebe-a95d-49ed-9f3e-30212cdbb0cb,,,,,,United States
91e07743-761b-40f4-b4cb-f3dd72b4c26c,1993-01-01,1993.0,,,California,United States
15843a2d-55a6-4849-b333-42508a60a23a,,,,,,United States
ea483cd9-ff70-456d-8874-b826931b6e99,1995-07-31,1995.0,,,,
ff30e98c-75da-4e92-819e-31670eba8bd6,,,,,,
133fd324-e2f8-4272-973b-30ac6a943d0f,,,,,,
8f918972-81e9-43a5-80a4-d244a42dc5b2,1945-01-01,1945.0,,,,United States
8077aea3-4b19-4c89-b6b0-4d92c4017278,1990-01-01,1990.0,,,,United States
ce4217a5-e713-47d2-a10c-c6286753f384,1996-01-01,1996.0,,,,United States
80936981-aadc-45b2-a5b1-cf9542a1e394,2007-01-01,2007.0,,,,United States
4cd93c63-911b-403b-b832-b4018369ee04,2010-01-01,2010.0,,,,United States
5f549372-3e08-42aa-ad67-0d3c60e1b86d,2009-01-01,2009.0,,,,United States
5a52a6e6-abda-4f22-9197-e4f6d5f42054,1946-03-12,1946.0,,,North Carolina,United States
0f0aa25b-e6ea-4701-aab8-f9e52b3968f3,1993-03-22,1993.0,,,,
bc8f68a3-9f43-491f-93a0-b8c19d801a27,1956-01-01,1956.0,,,,United States
f7494ea2-212b-4f01-9429-b0e5e4b26fa4,,,,,,United States
4f788269-7d39-4970-9909-247823020e90,1894-06-26,1894.0,,,,United States
8131050a-89ad-424e-a94d-25269fe1f827,1935-08-31,1935.0,,,Texas,United States
63fe933b-6618-430d-94e2-8d882a74f59c,1930-03-29,1930.0,,,,
65287a2e-460f-4434-b4b2-d3d5c1f49d4c,1927-06-06,1927.0,,,Texas,United States
836e296c-2938-45a5-9d18-a298661dac21,1999-12-14,1999.0,,,Florida,United States
e2f526c6-09ed-4ef3-aa05-452eb12ff192,1986-09-06,1986.0,,,,
add79722-d66d-4431-883b-8c580a2b3684,,,,,,United States
f013a796-ca11-4b16-bfbe-e15f75502ff0,,,,,,
8b1536e8-860e-41d0-90b1-8a067c9c326b,,,,,,United States
1c6799b5-9196-463a-8e26-baaa125e0b11,,,,,,
ee83ab96-43ce-496a-814b-c5eca5735bf7,,,,,,United States
eb1099c1-3ee0-49d3-8b6a-16ae5ae50004,2000-10-18,2000.0,,,Virginia,United States
48e92dfa-8d4b-4a05-bacc-6c491c95ea80,,,,,,
842226e0-fc89-468d-95c7-1e1cca0db944,1965-08-27,1965.0,,,,United States
e87d4999-0373-4584-bb76-0b5ab790c310,,,,,,
