seed_title,source_seed,wikidata_qid
(The) Lost Weekend,artist_universe_full_targeted,Q16884547
"10,000 Maniacs",artist_universe_full_targeted,Q163819
13 Cats,artist_universe_full_targeted,Q11185290
16 Horsepower,artist_universe_full_targeted,Q197230
4 Runner,artist_universe_full_targeted,Q4639085
4.0,artist_universe_full_targeted,Q17313889
8 Ball Aitken,artist_universe_full_targeted,Q4645217
A Place to Bury Strangers,artist_universe_full_targeted,Q1887102
A Thousand Horses,artist_universe_full_targeted,Q19864280
Aaron Benward,artist_universe_full_targeted,Q4661837
Aaron Lee Tasjan,artist_universe_full_targeted,
Aaron West and The Roaring Twenties,artist_universe_full_targeted,Q19666386
Action Swingers,artist_universe_full_targeted,Q16156456
Adam Barry,artist_universe_full_targeted,Q16152100
Adam Brand,artist_universe_full_targeted,Q27908754
Adam Gregory,artist_universe_full_targeted,Q349592
Adam Warner,artist_universe_full_targeted,Q116243911
Adrienne Zuiderweg,artist_universe_full_targeted,Q105126937
Aerosmith,artist_universe_full_targeted,Q126826
Against Me!,artist_universe_full_targeted,
Aida,artist_universe_full_targeted,Q171277
Aileeah Colgan,artist_universe_full_targeted,Q23771369
Al Ferrier,artist_universe_full_targeted,
Al Murphy,artist_universe_full_targeted,Q100889253
Al Urban,artist_universe_full_targeted,Q108159363
Alabama,artist_universe_full_targeted,Q173
Alan Robertson,artist_universe_full_targeted,Q20815759
Aleen Aldas,artist_universe_full_targeted,
Alexa Rose Steele,artist_universe_full_targeted,Q17544548
Alison Parson,artist_universe_full_targeted,
Alkaline Trio,artist_universe_full_targeted,
Alvis Wayne,artist_universe_full_targeted,
Amazing Rhythm Aces,artist_universe_full_targeted,Q2409423
Amber Lawrence,artist_universe_full_targeted,Q4741265
American Authors,artist_universe_full_targeted,Q15044381
"American Idol, season 21",artist_universe_full_targeted,Q116788577
American Young,artist_universe_full_targeted,Q16159975
Anaïs Mitchell,artist_universe_full_targeted,
Angelic Gospel Singers,artist_universe_full_targeted,Q16146744
Annagail,artist_universe_full_targeted,Q131373327
Anne McCue,artist_universe_full_targeted,Q4768631
Anthony Armstrong Jones,artist_universe_full_targeted,
Appalatin,artist_universe_full_targeted,Q109255375
Arthur Miles,artist_universe_full_targeted,Q138303454
Arum Rae,artist_universe_full_targeted,Q26258465
Ash Bowers,artist_universe_full_targeted,Q4804359
Austin Collins,artist_universe_full_targeted,Q103330015
Authentic Unlimited,artist_universe_full_targeted,Q131008267
Bailén,artist_universe_full_targeted,Q695456
Band of Heathens,artist_universe_full_targeted,Q1723223
Bardo Pond,artist_universe_full_targeted,Q1990153
Beccy Cole,artist_universe_full_targeted,Q4878538
Benjamin F. Logan,artist_universe_full_targeted,Q4888552
BeyonCa,artist_universe_full_targeted,Q116886701
Big Blood,artist_universe_full_targeted,Q109341162
Big Richard,artist_universe_full_targeted,Q137591264
Bill Barwick,artist_universe_full_targeted,Q19668633
Billy Eli,artist_universe_full_targeted,
Black Rebel Motorcycle Club,artist_universe_full_targeted,Q166120
Blackfoot Confederacy,artist_universe_full_targeted,Q137162902
Blue County,artist_universe_full_targeted,Q16257745
Bob Livingston,artist_universe_full_targeted,
Bob Wayne,artist_universe_full_targeted,Q109914120
Bobby Lewis,artist_universe_full_targeted,
Bobby Mackey,artist_universe_full_targeted,Q4935311
Bobby Pinson,artist_universe_full_targeted,
Bodeco,artist_universe_full_targeted,Q4936440
Bombyx mori,artist_universe_full_targeted,Q134747
Boy Howdy,artist_universe_full_targeted,Q4952081
Breland,artist_universe_full_targeted,Q907113
Brooks & Dunn,artist_universe_full_targeted,Q929683
Bruce Saunders,artist_universe_full_targeted,Q19605045
Buffalo Tom,artist_universe_full_targeted,Q1002101
Butthole Surfers,artist_universe_full_targeted,Q1018174
Cactaceae,artist_universe_full_targeted,Q14560
Caedmon's Call,artist_universe_full_targeted,Q1025371
Carolina Road,artist_universe_full_targeted,Q20065193
Carter Family,artist_universe_full_targeted,Q1412029
Cary Morin,artist_universe_full_targeted,Q117474565
Casey Beathard,artist_universe_full_targeted,
Catherine Britt,artist_universe_full_targeted,Q5052561
Catherine McGrath,artist_universe_full_targeted,Q51830633
"Cave Country, and: One Evening in Early Spring",artist_universe_full_targeted,Q127752003
Chaim,artist_universe_full_targeted,
Charles Campbell,artist_universe_full_targeted,Q1063893
Charles Jenkins,artist_universe_full_targeted,Q1065070
Charlie Gore,artist_universe_full_targeted,Q113865922
Charlie Moore,artist_universe_full_targeted,Q16230580
Charline Arthur,artist_universe_full_targeted,
Chester Smith,artist_universe_full_targeted,Q23945369
Chicago,artist_universe_full_targeted,Q1297
Chilton Price,artist_universe_full_targeted,
Christian,artist_universe_full_targeted,Q106039
Christian López,artist_universe_full_targeted,Q26855331
Christy Sutherland,artist_universe_full_targeted,
Chuck Wagon & the Wheels,artist_universe_full_targeted,Q5115824
Clare Bowen,artist_universe_full_targeted,Q39992
Claudia Schmidt,artist_universe_full_targeted,Q1097769
Cledus Maggard & the Citizen's Band,artist_universe_full_targeted,
Cloud Nothings,artist_universe_full_targeted,Q1102645
Cody Jinks,artist_universe_full_targeted,
Cold Creek County,artist_universe_full_targeted,Q22080338
Coldwater Jane,artist_universe_full_targeted,Q5142585
Colonel Robert Morris,artist_universe_full_targeted,
Colt Prather,artist_universe_full_targeted,
Commander Cody and His Lost Planet Airmen,artist_universe_full_targeted,
Conjunto Rio Grande,artist_universe_full_targeted,
Connie Hall,artist_universe_full_targeted,
Connor Smith,artist_universe_full_targeted,Q26905796
Copeland,artist_universe_full_targeted,Q125847
Counting Crows,artist_universe_full_targeted,Q178549
Country Jim Bledsoe,artist_universe_full_targeted,
Country Mice,artist_universe_full_targeted,Q105677119
Country Washburne,artist_universe_full_targeted,Q110080226
Country case study : Ghana,artist_universe_full_targeted,Q130295863
Cousin Emmy,artist_universe_full_targeted,
Cowboy Slim Rinehart,artist_universe_full_targeted,Q15501574
Craig Bickhardt,artist_universe_full_targeted,Q5180733
Creedence Clearwater Revival,artist_universe_full_targeted,
"Crosby, Stills, Nash & Young",artist_universe_full_targeted,Q10461933
Crown City Rockers,artist_universe_full_targeted,Q1161523
Cynthia Ford,artist_universe_full_targeted,Q134577204
Daisy Mallory,artist_universe_full_targeted,
Dale Ann Bradley,artist_universe_full_targeted,Q16728341
Dale McBride,artist_universe_full_targeted,
Dallas Wayne,artist_universe_full_targeted,
Dan + Shay,artist_universe_full_targeted,Q16959408
Daniel Johnson,artist_universe_full_targeted,Q1214825
Danny Burns,artist_universe_full_targeted,Q112468950
Darden Smith,artist_universe_full_targeted,
Date Palms,artist_universe_full_targeted,Q119671339
Daughtry,artist_universe_full_targeted,Q1272540
Dave Nachmanoff,artist_universe_full_targeted,
Dave Pomeroy,artist_universe_full_targeted,
David Grissom,artist_universe_full_targeted,
David James,artist_universe_full_targeted,Q1132930
David Kersh,artist_universe_full_targeted,
David Wills,artist_universe_full_targeted,
Dawkins & Dawkins,artist_universe_full_targeted,Q20005723
Dean Beard,artist_universe_full_targeted,Q1181027
Dean Brody,artist_universe_full_targeted,Q5246027
Death Cab for Cutie,artist_universe_full_targeted,Q16414
Deerhunter,artist_universe_full_targeted,Q1182499
Delbert Barker,artist_universe_full_targeted,Q1183999
Della Mae,artist_universe_full_targeted,Q20559143
