wikidata_qid,birth_date,birth_place_raw,birth_country_raw,wd_birth_date,wd_birth_place_raw,wd_birth_country_raw
Q167408,,,,,,
Q1190454,,,,,,
Q121898080,,,,+1997-04-10T00:00:00Z,,
Q15059517,,,,+1979-08-22T00:00:00Z,,
Q15059539,,,,,,
Q15501574,,,,+1911-01-01T00:00:00Z,,
Q16106162,,,,+1943-04-29T00:00:00Z,,
Q2136456,,,,+1921-04-19T00:00:00Z,,
Q2569670,,,,+1953-01-01T00:00:00Z,,
Q4051252,,,,,,
Q45203642,,,,+1925-11-09T00:00:00Z,,
Q4799725,,,,+1904-08-28T00:00:00Z,,
Q5180733,,,,+1954-09-07T00:00:00Z,,
Q5199913,,,,+1976-10-19T00:00:00Z,,
Q5552802,,,,+1948-01-01T00:00:00Z,,
Q575242,,,,+1915-08-05T00:00:00Z,,
Q612497,,,,+1930-07-18T00:00:00Z,,
Q6208483,,,,+1965-06-13T00:00:00Z,,
Q6520773,,,,+1957-02-20T00:00:00Z,,
Q6775283,,,,+1949-09-29T00:00:00Z,,
Q7125446,,,,+1953-06-23T00:00:00Z,,
Q7408631,,,,+1878-10-31T00:00:00Z,,
Q7619410,,,,+1929-12-24T00:00:00Z,,
Q84169024,,,,+1985-04-17T00:00:00Z,,
Q4936440,,,,,,
Q16728341,,,,,,
Q27680921,,,,,,
Q4804359,,,,,,
Q16731589,,,,,Knoxville,United States
Q7441355,,,,,,
Q315547,,,,+1967-10-26T00:00:00Z,Whangārei,New Zealand
Q30322692,,,,,,
Q26258465,,,,,Colorado Springs,
Q13561995,,,,,Weirton,United States
Q18686216,,,,,Montana,United States
Q13405414,,,,+1950-08-12T00:00:00Z,,
Q6779346,,,,,County Meath,Ireland
Q656291,,,,,,
Q1756844,,,,,,
Q7742642,,,,,,
Q105561797,,,,,Athens,United States
Q114240373,,,,,,
Q20657078,,,,,Germany,Germany
Q4952081,,,,,,
Q3539042,,,,,,
Q7719600,,,,,,
Q5142585,,,,,,
Q116411,,,,,,
Q117481326,,,,,,
Q1253921,,,,,,
Q14158734,,,,,,
Q16825609,,,,,,
Q1695459,,,,,,
Q19668633,,,,+1946-03-12T00:00:00Z,,
Q6801551,,,,,,
Q3522116,,,,,,
Q10335608,,,,,,
Q12858787,,,,,,
Q20559143,,,,,,
Q7346801,,,,,,
Q106770023,,,,+1996-04-02T00:00:00Z,Okinawa Prefecture,
Q1181027,,,,+1935-08-31T00:00:00Z,,
Q23945369,,,,+1930-03-29T00:00:00Z,,
Q4888552,,,,+1927-06-06T00:00:00Z,,
Q1671419,,,,,,
Q1239582,,,,+1937-07-29T00:00:00Z,,
Q18608779,,,,+1986-09-06T00:00:00Z,Patiala,India
Q2654275,,,,+1986-11-21T00:00:00Z,Pembury,United Kingdom
Q2050497,,,,+1967-07-01T00:00:00Z,Kingston,Jamaica
Q1025371,,,,,,
Q103550,,,,,,
Q1065615,,,,,,
Q1209252,,,,,,
Q1361146,,,,,,
Q1417601,,,,,,
Q1423952,,,,,,
Q1565227,,,,+1936-12-08T00:00:00Z,Kotor,
Q1572800,,,,,,
Q1592229,,,,,,
Q16156456,,,,,,
Q16728216,,,,,,
Q1757318,,,,,,
Q1780037,,,,,,
Q1850330,,,,,,
Q188626,,,,,,
Q19666386,,,,,,
Q1968924,,,,,,
Q113865922,,,,,,
Q2034565,,,,,,
Q106039,,,,,,
Q1272171,,,,,,
Q16257745,,,,,,
Q11257180,,,,,,
Q119240938,,,,,,
Q122781212,,,,,,
Q123849564,,,,,,
Q124827215,,,,,,
Q22278258,,,,,,
Q25702824,,,,,,
Q28405386,,,,,,
Q4792152,,,,,,
Q5228846,,,,,,
Q5300434,,,,,,
Q6263724,,,,,,
Q7105225,,,,,,
Q7540617,,,,,,
Q7681581,,,,,,
Q97784092,,,,,,
Q7358941,,,,,,
Q2161573,,,,,,
Q16731591,,,,,,
Q16735295,,,,,,
Q108670654,,,,,,
Q117885926,,,,,,
Q1662265,,,,,,
Q16960029,,,,,,
Q1040688,,,,,,
Q114000123,,,,,,
Q1383125,,,,,,
Q16152100,,,,,,
Q6375621,,,,,,
Q104851422,,,,,,
Q117751496,,,,,,
Q16197685,,,,,,
Q7139162,,,,,,
Q8063730,,,,,,
Q5115824,,,,,,
Q7355102,,,,,,
Q122840128,,,,,,
Q7297128,,,,,,
Q7376269,,,,,,
Q15461582,,,,,,
Q5686357,,,,,,
Q5603138,,,,,,
Q117474565,,,,,,
Q5496757,,,,,,
Q83688407,,,,,,
Q123040177,,,,,,
Q20684229,,,,,,
Q109255375,,,,,,
Q1161523,,,,,,
Q1316518,,,,,,
Q1569364,,,,,,
Q16146744,,,,,,
Q16596825,,,,,,
Q169516,,,,,,
Q1060159,,,,,,
Q1097769,,,,,,
Q1132930,,,,,,
Q116606615,,,,,,
Q1214825,,,,,,
Q1475453,,,,,,
Q16107342,,,,,,
Q16230580,,,,,,
Q105126937,,,,,,
Q17544548,,,,,,
Q1912203,,,,,,
Q22279571,,,,,,
Q104117399,,,,,,
Q5310388,,,,,,
Q6243938,,,,,,
Q5560526,,,,,,
Q7803692,,,,,,
Q136890298,,,,,,
Q16732396,,,,,,
Q1592369,,,,,,
Q3522525,,,,,,
Q117458025,,,,,,
Q115492454,,,,,,
Q1689480,,,,,,
Q7335199,,,,,,
Q7741171,,,,,,
Q4639085,,,,,,
Q1830015,,,,,,
Q137591264,,,,,,
Q1713197,,,,,,
Q742028,,,,,,
Q108042014,,,,,,
Q33497,,,,,,
Q1189202,,,,,,
Q16956415,,,,,,
Q20005723,,,,,,
Q105413956,,,,,,
Q127225335,,,,,,
Q1430354,,,,,,
