chart_year,position,song_name,artist_name,source_title,song_key,artist_key,song_name_clean,resolved_artist_identity,resolved_artist_id,resolved_artist_name,artist_resolution,artist_key_simplified
1991,40,I Wonder How Far It Is Over You,Aaron Tippin,1991 in country music,i wonder how far it is over you,aaron tippin,I Wonder How Far It Is Over You,id:artist_001289,artist_001289,Aaron Tippin,existing_artist,aaron tippin
2001,17,People Like Us,Aaron Tippin,2001 in country music,people like us,aaron tippin,People Like Us,id:artist_001289,artist_001289,Aaron Tippin,existing_artist,aaron tippin
1994,17,The Call of the Wild,Aaron Tippin,1994 in country music,the call of the wild,aaron tippin,The Call of the Wild,id:artist_001289,artist_001289,Aaron Tippin,existing_artist,aaron tippin
1991,6,You've Got to Stand for Something,Aaron Tippin,1991 in country music,you ve got to stand for something,aaron tippin,You've Got to Stand for Something,id:artist_001289,artist_001289,Aaron Tippin,existing_artist,aaron tippin
1946,2,Guitar Polka,Al Dexter,1946 in country music,guitar polka,al dexter,Guitar Polka,id:artist_000554,artist_000554,Al Dexter,existing_artist,al dexter
1946,14,"Wine, Women and Song",Al Dexter,1946 in country music,wine women and song,al dexter,"Wine, Women and Song",id:artist_000554,artist_000554,Al Dexter,existing_artist,al dexter
1947,15,"Down At The Roadside Inn""[11]",Al Dexter and His Troopers,1947 in country music,down at the roadside inn,al dexter and his troopers,Down At The Roadside Inn,id:artist_000554,artist_000554,Al Dexter,existing_artist,al dexter
1946,1,"Guitar Polka""[1]",Al Dexter and His Troopers,1946 in country music,guitar polka,al dexter and his troopers,Guitar Polka,id:artist_000554,artist_000554,Al Dexter,existing_artist,al dexter
1946,6,"Wine Women and Song""[5]",Al Dexter and His Troopers,1946 in country music,wine women and song,al dexter and his troopers,Wine Women and Song,id:artist_000554,artist_000554,Al Dexter,existing_artist,al dexter
1991,1,Forever's as Far as I'll Go,Alabama,1991 in country music,forever s as far as i ll go,alabama,Forever's as Far as I'll Go,id:artist_002309,artist_002309,Alabama,existing_artist,alabama
1998,21,She's Got That Look in Her Eyes,Alabama,1998 in country music,she s got that look in her eyes,alabama,She's Got That Look in Her Eyes,id:artist_002309,artist_002309,Alabama,existing_artist,alabama
1994,7,T.L.C. A.S.A.P.,Alabama,1994 in country music,t l c a s a p,alabama,T.L.C. A.S.A.P.,id:artist_002309,artist_002309,Alabama,existing_artist,alabama
1994,6,We Can't Love Like This Anymore,Alabama,1994 in country music,we can t love like this anymore,alabama,We Can't Love Like This Anymore,id:artist_002309,artist_002309,Alabama,existing_artist,alabama
2001,15,When It All Goes South,Alabama,2001 in country music,when it all goes south,alabama,When It All Goes South,id:artist_002309,artist_002309,Alabama,existing_artist,alabama
1994,4,(Who Says) You Can't Have It All,Alan Jackson,1994 in country music,you can t have it all,alan jackson,(Who Says) You Can't Have It All,id:artist_000030,artist_000030,Alan Jackson,existing_artist,alan jackson
2007,5,A Woman's Love,Alan Jackson,2007 in country music,a woman s love,alan jackson,A Woman's Love,id:artist_000030,artist_000030,Alan Jackson,existing_artist,alan jackson
1991,1,Don't Rock the Jukebox,Alan Jackson,1991 in country music,don t rock the jukebox,alan jackson,Don't Rock the Jukebox,id:artist_000030,artist_000030,Alan Jackson,existing_artist,alan jackson
1991,1,I'd Love You All Over Again,Alan Jackson,1991 in country music,i d love you all over again,alan jackson,I'd Love You All Over Again,id:artist_000030,artist_000030,Alan Jackson,existing_artist,alan jackson
1998,3,I'll Go On Loving You,Alan Jackson,1998 in country music,i ll go on loving you,alan jackson,I'll Go On Loving You,id:artist_000030,artist_000030,Alan Jackson,existing_artist,alan jackson
1994,1,Livin' on Love,Alan Jackson,1994 in country music,livin on love,alan jackson,Livin' on Love,id:artist_000030,artist_000030,Alan Jackson,existing_artist,alan jackson
2009,9,Sissy's Song,Alan Jackson,2009 in country music,sissy s song,alan jackson,Sissy's Song,id:artist_000030,artist_000030,Alan Jackson,existing_artist,alan jackson
2020,12,Gone Too Soon,Andrew Jannakos,2020 in country music,gone too soon,andrew jannakos,Gone Too Soon,id:artist_001591,artist_001591,Andrew Jannakos,existing_artist,andrew jannakos
2001,19,You Made Me That Way,Andy Griggs,2001 in country music,you made me that way,andy griggs,You Made Me That Way,id:artist_000313,artist_000313,Andy Griggs,existing_artist,andy griggs
1998,1,What If I Said,Anita Cochran (duet with Steve Wariner),1998 in country music,what if i said,anita cochran duet with steve wariner,What If I Said,id:artist_000131,artist_000131,Anita Cochran,existing_artist,anita cochran
2024,21,Your Place,Ashley Cooke,2024 in country music,your place,ashley cooke,Your Place,id:artist_000499,artist_000499,Ashley Cooke,existing_artist,ashley cooke
2020,17,One Night Standards,Ashley McBryde,2020 in country music,one night standards,ashley mcbryde,One Night Standards,id:artist_000931,artist_000931,Ashley McBryde,existing_artist,ashley mcbryde
2008,20,Takin' Off This Pain,Ashton Shepherd,2008 in country music,takin off this pain,ashton shepherd,Takin' Off This Pain,id:artist_000919,artist_000919,Ashton Shepherd,existing_artist,ashton shepherd
2022,5,Fall in Love,Bailey Zimmerman,2022 in country music,fall in love,bailey zimmerman,Fall in Love,id:artist_000023,artist_000023,Bailey Zimmerman,existing_artist,bailey zimmerman
2025,13,Holy Smokes,Bailey Zimmerman,2025 in country music,holy smokes,bailey zimmerman,Holy Smokes,id:artist_000023,artist_000023,Bailey Zimmerman,existing_artist,bailey zimmerman
2023,4,Religiously,Bailey Zimmerman,2023 in country music,religiously,bailey zimmerman,Religiously,id:artist_000023,artist_000023,Bailey Zimmerman,existing_artist,bailey zimmerman
2023,2,Rock and a Hard Place,Bailey Zimmerman,2023 in country music,rock and a hard place,bailey zimmerman,Rock and a Hard Place,id:artist_000023,artist_000023,Bailey Zimmerman,existing_artist,bailey zimmerman
2024,6,Where It Ends,Bailey Zimmerman,2024 in country music,where it ends,bailey zimmerman,Where It Ends,id:artist_000023,artist_000023,Bailey Zimmerman,existing_artist,bailey zimmerman
2025,6,Backup Plan,Bailey Zimmerman featuring Luke Combs,2025 in country music,backup plan,bailey zimmerman featuring luke combs,Backup Plan,id:artist_000023,artist_000023,Bailey Zimmerman,existing_artist,bailey zimmerman
1974,6,Baby Doll,Barbara Fairchild,1974 in country music,baby doll,barbara fairchild,Baby Doll,id:artist_001938,artist_001938,Barbara Fairchild,existing_artist,barbara fairchild
1974,17,Standing in Your Line,Barbara Fairchild,1974 in country music,standing in your line,barbara fairchild,Standing in Your Line,id:artist_001938,artist_001938,Barbara Fairchild,existing_artist,barbara fairchild
1974,12,This Time I Almost Made It,Barbara Mandrell,1974 in country music,this time i almost made it,barbara mandrell,This Time I Almost Made It,id:artist_000798,artist_000798,Barbara Mandrell,existing_artist,barbara mandrell
2015,16,I'd Just Love to Lay You Down,Barrett Baber,2015 in country music,i d just love to lay you down,barrett baber,I'd Just Love to Lay You Down,id:artist_001987,artist_001987,Barrett Baber,existing_artist,barrett baber
2024,9,16 Carriages,Beyoncé,2024 in country music,16 carriages,beyoncé,16 Carriages,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
2024,7,Ameriican Requiem,Beyoncé,2024 in country music,ameriican requiem,beyoncé,Ameriican Requiem,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
2024,9,Daughter,Beyoncé,2024 in country music,daughter,beyoncé,Daughter,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
2024,3,Jolene,Beyoncé,2024 in country music,jolene,beyoncé,Jolene,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
2024,1,Texas Hold 'Em,Beyoncé,2024 in country music,texas hold em,beyoncé,Texas Hold 'Em,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
2024,6,Blackbiird,"Beyoncé featuring Brittney Spencer, Reyna Roberts, Tanner Adell and Tiera Kennedy",2024 in country music,blackbiird,beyoncé featuring brittney spencer reyna roberts tanner adell and tiera kennedy,Blackbiird,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
2024,2,II Most Wanted,Beyoncé featuring Miley Cyrus,2024 in country music,ii most wanted,beyoncé featuring miley cyrus,II Most Wanted,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
2024,5,Levii's Jeans,Beyoncé featuring Post Malone,2024 in country music,levii s jeans,beyoncé featuring post malone,Levii's Jeans,id:artist_002331,artist_002331,BeyonCa,existing_artist,beyonc
1974,24,Can I Come Home to You,Bill Anderson,1974 in country music,can i come home to you,bill anderson,Can I Come Home to You,id:artist_001511,artist_001511,Bill Anderson,existing_artist,bill anderson
