artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,I Wonder How Far It Is Over You,i wonder how far it is over you,1991,40,1991,40,1991 in country music
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,People Like Us,people like us,2001,17,2001,17,2001 in country music
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,The Call of the Wild,the call of the wild,1994,17,1994,17,1994 in country music
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,You've Got to Stand for Something,you ve got to stand for something,1991,6,1991,6,1991 in country music
artist_000554,Al Dexter,Al Dexter and His Troopers,existing_artist,Down At The Roadside Inn,down at the roadside inn,1947,15,1947,15,1947 in country music
artist_000554,Al Dexter,Al Dexter and His Troopers,existing_artist,Guitar Polka,guitar polka,1946,1,1946|1946,1|2,1946 in country music
artist_000554,Al Dexter,Al Dexter and His Troopers,existing_artist,Wine Women and Song,wine women and song,1946,6,1946|1946,6|14,1946 in country music
artist_002309,Alabama,Alabama,existing_artist,Forever's as Far as I'll Go,forever s as far as i ll go,1991,1,1991,1,1991 in country music
artist_002309,Alabama,Alabama,existing_artist,She's Got That Look in Her Eyes,she s got that look in her eyes,1998,21,1998,21,1998 in country music
artist_002309,Alabama,Alabama,existing_artist,T.L.C. A.S.A.P.,t l c a s a p,1994,7,1994,7,1994 in country music
artist_002309,Alabama,Alabama,existing_artist,We Can't Love Like This Anymore,we can t love like this anymore,1994,6,1994,6,1994 in country music
artist_002309,Alabama,Alabama,existing_artist,When It All Goes South,when it all goes south,2001,15,2001,15,2001 in country music
artist_000030,Alan Jackson,Alan Jackson,existing_artist,(Who Says) You Can't Have It All,you can t have it all,1994,4,1994,4,1994 in country music
artist_000030,Alan Jackson,Alan Jackson,existing_artist,A Woman's Love,a woman s love,2007,5,2007,5,2007 in country music
artist_000030,Alan Jackson,Alan Jackson,existing_artist,Don't Rock the Jukebox,don t rock the jukebox,1991,1,1991,1,1991 in country music
artist_000030,Alan Jackson,Alan Jackson,existing_artist,I'd Love You All Over Again,i d love you all over again,1991,1,1991,1,1991 in country music
artist_000030,Alan Jackson,Alan Jackson,existing_artist,I'll Go On Loving You,i ll go on loving you,1998,3,1998,3,1998 in country music
artist_000030,Alan Jackson,Alan Jackson,existing_artist,Livin' on Love,livin on love,1994,1,1994,1,1994 in country music
artist_000030,Alan Jackson,Alan Jackson,existing_artist,Sissy's Song,sissy s song,2009,9,2009,9,2009 in country music
artist_001591,Andrew Jannakos,Andrew Jannakos,existing_artist,Gone Too Soon,gone too soon,2020,12,2020,12,2020 in country music
artist_000313,Andy Griggs,Andy Griggs,existing_artist,You Made Me That Way,you made me that way,2001,19,2001,19,2001 in country music
