seed_title,source_seed,wikidata_qid
Zach Bryan,Billboard country year-end supplement,Q106770023
Diamond Rio,Billboard country year-end supplement,Q1208723
Sugarland,Billboard country year-end supplement,Q1200415
Johnnie & Jack,Billboard country year-end supplement,Q6266037
The Band Perry,Billboard country year-end supplement,Q1460017
The Browns,Billboard country year-end supplement,Q2410071
The Everly Brothers,Billboard country year-end supplement,Q690138
"Eddy Arnold, The Tennessee Plowboy and His Guitar",Billboard country year-end supplement,
Eli Young Band,Billboard country year-end supplement,Q5360355
Red Foley and the Cumberland Valley Boys,Billboard country year-end supplement,
Thompson Square,Billboard country year-end supplement,Q211530
Anne Murray,Billboard country year-end supplement,Q236543
Big & Rich,Billboard country year-end supplement,Q2902100
LoCash,Billboard country year-end supplement,Q6663066
"Margaret Whiting, Jimmy Wakely",Billboard country year-end supplement,
Pee Wee King,Billboard country year-end supplement,Q2066941
Shenandoah,Billboard country year-end supplement,Q1305729
The Wilburn Brothers,Billboard country year-end supplement,Q2570196
BlackHawk,Billboard country year-end supplement,Q880845
Flatt & Scruggs,Billboard country year-end supplement,Q1040688
Gloriana,Billboard country year-end supplement,Q901838
Maddie & Tae,Billboard country year-end supplement,Q18157530
Margaret Whiting and Jimmy Wakely,Billboard country year-end supplement,
Megan Moroney,Billboard country year-end supplement,Q116786312
"Red Foley, Ernest Tubb",Billboard country year-end supplement,
Rob Crosby,Billboard country year-end supplement,Q15059512
Sawyer Brown,Billboard country year-end supplement,Q7428727
The Louvin Brothers,Billboard country year-end supplement,Q1756844
Wilma Lee Cooper and Stoney Cooper,Billboard country year-end supplement,
Adam Wakefield,Billboard country year-end supplement,Q21891848
Bill Justis,Billboard country year-end supplement,Q4909652
Bonnie Lou,Billboard country year-end supplement,Q4942391
Brothers Osborne,Billboard country year-end supplement,Q16208058
Carl Butler and Pearl,Billboard country year-end supplement,Q5039955
Confederate Railroad,Billboard country year-end supplement,Q641075
David Houston and Barbara Mandrell,Billboard country year-end supplement,
Diana Trask,Billboard country year-end supplement,Q5271321
Emerson Drive,Billboard country year-end supplement,Q1335543
George Birge,Billboard country year-end supplement,Q113481900
George Jones and Tammy Wynette,Billboard country year-end supplement,Q99499032
Gordon Lightfoot,Billboard country year-end supplement,Q359552
Johnny & Jonie Mosby,Billboard country year-end supplement,Q6267958
Josh Ross,Billboard country year-end supplement,Q113480662
"Kitty Wells, Red Foley",Billboard country year-end supplement,
Lewis Pruitt,Billboard country year-end supplement,
Lindsay Ell,Billboard country year-end supplement,Q6552697
Lisa Brokop,Billboard country year-end supplement,Q6557841
Love and Theft,Billboard country year-end supplement,Q6691697
Lynn Anderson,Billboard country year-end supplement,Q163593
Marshmello and Kane Brown,Billboard country year-end supplement,
McBride & the Ride,Billboard country year-end supplement,Q6800042
Michelle Wright,Billboard country year-end supplement,Q6837300
Midland,Billboard country year-end supplement,Q227172
Olivia Newton-John,Billboard country year-end supplement,Q185165
Pirates of the Mississippi,Billboard country year-end supplement,Q1231488
"Red Sovine, Webb Pierce",Billboard country year-end supplement,
Shaboozey,Billboard country year-end supplement,Q125295750
Simon Crum,Billboard country year-end supplement,Q322275
Sundance Head,Billboard country year-end supplement,Q28033704
Tennessee Ernie,Billboard country year-end supplement,Q963827
Tex Williams and The Western Caravan,Billboard country year-end supplement,
The Judds,Billboard country year-end supplement,Q1755990
The Lost Trailers,Billboard country year-end supplement,Q7748756
Wilma Lee and Stoney Cooper,Billboard country year-end supplement,
A Thousand Horses,Billboard country year-end supplement,Q19864280
Adrian Roland,Billboard country year-end supplement,Q48840749
Alan Riddle[1][2],Billboard country year-end supplement,
Andrews Sisters and Ernest Tubb,Billboard country year-end supplement,
Anita Carter Hank Snow,Billboard country year-end supplement,
"Artists of Then, Now & Forever",Billboard country year-end supplement,Q27032351
Baillie & the Boys,Billboard country year-end supplement,Q4848453
Bebe Rexha & Florida Georgia Line,Billboard country year-end supplement,
Betty Foley[1],Billboard country year-end supplement,
Big & Rich featuring Tim McGraw,Billboard country year-end supplement,
BigXthaPlug featuring Bailey Zimmerman,Billboard country year-end supplement,
BigXthaPlug featuring Ella Langley,Billboard country year-end supplement,
Bill Leatherwood,Billboard country year-end supplement,
Bob Wills and Tommy Duncan,Billboard country year-end supplement,
"Bobby Bare and Bobby Bare, Jr.",Billboard country year-end supplement,
Brantley Gilbert and Lindsay Ell,Billboard country year-end supplement,
Brian Shaw,Billboard country year-end supplement,Q16767503
Bryan Martin,Billboard country year-end supplement,Q125490106
Bud Logan and Wilma Burgess,Billboard country year-end supplement,
Carly Pearce & Lee Brice,Billboard country year-end supplement,
Carly Pearce and Ashley McBryde,Billboard country year-end supplement,
Carolyn Dawn Johnson,Billboard country year-end supplement,Q5045343
Chris Cummings,Billboard country year-end supplement,Q5106321
Chris Young and Kane Brown,Billboard country year-end supplement,
Clyde Beavers,Billboard country year-end supplement,
Cody Johnson and Carrie Underwood,Billboard country year-end supplement,
Cole Swindell and Lainey Wilson,Billboard country year-end supplement,
Crystal Shawanda,Billboard country year-end supplement,Q5191349
Darrell Glenn,Billboard country year-end supplement,Q5224630
David Lee Murphy & Kenny Chesney,Billboard country year-end supplement,
Delmore Brothers,Billboard country year-end supplement,Q1184543
"Diplo, Jessie Murph and Polo G",Billboard country year-end supplement,
Dorothy Shay,Billboard country year-end supplement,Q5298628
Duane Eddy,Billboard country year-end supplement,Q455818
"Eddy Arnold, Hugo Winterhalter",Billboard country year-end supplement,
Edens Edge,Billboard country year-end supplement,Q5337004
Elle King & Miranda Lambert,Billboard country year-end supplement,
Elmer Snodgrass,Billboard country year-end supplement,
Ernest Tubb and Loretta Lynn,Billboard country year-end supplement,
Ernest Tubb and The Wilburn Brothers,Billboard country year-end supplement,
Everly Brothers,Billboard country year-end supplement,Q690138
Exile,Billboard country year-end supplement,Q188863
Faron Young and Margie Singleton,Billboard country year-end supplement,
Fats Domino,Billboard country year-end supplement,Q209586
Garth Brooks & Huey Lewis,Billboard country year-end supplement,
Garth Brooks and Blake Shelton,Billboard country year-end supplement,
Gene Autry and the Pinafores,Billboard country year-end supplement,
Gene Sullivan,Billboard country year-end supplement,Q5531484
Gene Woods,Billboard country year-end supplement,
"Ginny Wright, Jim Reeves",Billboard country year-end supplement,
"Ginny Wright, Tom Tall",Billboard country year-end supplement,
"Goldie Hill, Justin Tubb",Billboard country year-end supplement,
Hal Willis,Billboard country year-end supplement,Q17129364
High Valley,Billboard country year-end supplement,Q13405568
Highway 101,Billboard country year-end supplement,Q5759789
Homer & Jethro,Billboard country year-end supplement,Q5890303
Hoosier Hot Shots and Two Ton Baker,Billboard country year-end supplement,
Hoyt Axton and Renee Armand,Billboard country year-end supplement,
