artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_date,birth_year,birth_place_raw,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag
artist_000001,Cliff Waldron,,,,Q119350315,2f84b2f9-2062-4094-841f-d91b7fda9aeb,0000000001290338,66660115,https://en.wikipedia.org/wiki/Cliff_Waldron,1941-04-04,1941.0,"Jolo, West Virginia , United States",Jolo,,Virginia,VA,United States,2024-07-01,2024.0,,,bluegrass musician,Country|bluegrass|gospel |,country|bluegrass,0.65,,,,,,1940.0,South,1,83.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:bluegrass,https://www.wikidata.org/wiki/Q119350315|https://en.wikipedia.org/wiki/Cliff_Waldron|https://musicbrainz.org/artist/2f84b2f9-2062-4094-841f-d91b7fda9aeb,3,high,high,medium,0,,cliff waldron,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:bluegrass,0
artist_000003,Tom Russell,Thomas George Russell,,"Thomas George ""Tom"" Russell|Thomas George Russell",Q1345526,621e65bc-b5bc-471f-ba4d-184fc18c65e9,0000000374624310,120188155,https://en.wikipedia.org/wiki/Tom_Russell,1953-03-05,1953.0,"Thomas George Russell 1947 or 1948 Los Angeles, California, United States",Thomas George Russell 1947 or 1948 Los Angeles,,California,CA,United States,,,,United States,singer-songwriter|recording artist,country music|Americana|| Folk|| Country,country|americana,0.65,,Hardin & Russell,Fast Folk|Shout! Factory,,http://www.tomrussell.com,1950.0,West,0,73.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:folk,https://www.wikidata.org/wiki/Q1345526|https://en.wikipedia.org/wiki/Tom_Russell|https://musicbrainz.org/artist/621e65bc-b5bc-471f-ba4d-184fc18c65e9,3,high,high,medium,0,,tom russell,0,0,0,1,1,,americana,seed_country_artists.json|MusicBrainz tag:folk,0
artist_000004,Tony Rice,David Anthony Rice,Tony Rice,"David Anthony ""Tony"" Rice",Q1390373,ca90a5b0-cb18-4f94-9c14-116826fcc422,0000000114779287,94963014,https://en.wikipedia.org/wiki/Tony_Rice,1951-06-08,1951.0,"Danville, Virginia , United States",Danville,,Virginia,VA,United States,2020-12-25,2020.0,Reidsville,United States,singer|jazz musician|guitarist|jazz guitarist|songwriter,country music|Americana|bluegrass music|folk music|jazz|Americana|bluegrass|folk|jazz,country|americana|bluegrass,0.65,guitar|voice,,Rounder Records,,http://www.tonyrice.com/,1950.0,South,1,69.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:folk|MusicBrainz tag:bluegrass,https://www.wikidata.org/wiki/Q1390373|https://en.wikipedia.org/wiki/Tony_Rice|https://musicbrainz.org/artist/ca90a5b0-cb18-4f94-9c14-116826fcc422,3,high,high,medium,0,,tony rice,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:folk|MusicBrainz tag:bluegrass,0
artist_000005,Hugh Pool,Hugh Eustis Pool,Hugh Pool,Hugh Eustis Potts Pool,Q16195751,8b461a95-7b08-4a19-a5d2-a33e3cff83ec,,,https://en.wikipedia.org/wiki/Hugh_Pool,1964-03-17,1964.0,"Pittsburgh, Pennsylvania, United States",Pittsburgh,,Pennsylvania,PA,United States,,,,United States,composer|singer|musicologist|guitarist,Americana|country music|roots rock|blues|Americana|| roots rock|| folk|| blues|| country,americana|country,0.65,guitar|voice,,,,http://www.hughpool.com,1960.0,Appalachia,0,62.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:americana,https://www.wikidata.org/wiki/Q16195751|https://en.wikipedia.org/wiki/Hugh_Pool|https://musicbrainz.org/artist/8b461a95-7b08-4a19-a5d2-a33e3cff83ec,3,high,high,medium,0,,hugh pool,0,0,0,1,1,,roots rock,seed_country_artists.json|MusicBrainz tag:americana,0
artist_000006,Lynn Anderson,Lynn Rene Anderson,Lynn Anderson,Lynn Rene Anderson,Q163593,354812d4-2dfb-4611-9a8f-8f8e795e48bf,0000000073641096,10032386,https://en.wikipedia.org/wiki/Lynn_Anderson,1947-09-26,1947.0,"Grand Forks , North Dakota , United States",Grand Forks,,North Dakota,ND,United States,2015-07-30,2015.0,Nashville,United States,singer|actor|singer-songwriter|television actor|recording artist|musician,country music|folk music|Country|countrypolitan|western|bluegrass|gospel,country|bluegrass,0.65,voice,,Chart Records|Columbia Records,American Music Award for Favorite Country Female Artist|Country Music Association Award for Female Vocalist of the Year,http://www.lynnandersonshow.com/,1940.0,Midwest,1,67.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:outlaw country,https://www.wikidata.org/wiki/Q163593|https://en.wikipedia.org/wiki/Lynn_Anderson|https://musicbrainz.org/artist/354812d4-2dfb-4611-9a8f-8f8e795e48bf,3,high,high,medium,0,,lynn anderson,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:outlaw country,0
artist_000007,Steve Martin,Steve Glenn Martin,Steve Martin,Steve Glenn Martin|Stephen Glenn Martin,Q16473,0da08c43-c04c-4016-968d-b9d3eb9b7751,0000000109389321,117464226,https://en.wikipedia.org/wiki/Steve_Martin,1945-08-14,1945.0,"Waco, Texas , United States",Waco,,Texas,TX,United States,,,,United States,television actor|film actor|comedian|street artist|film producer|musician|writer|banjoist|playwright|screenwriter|voice actor|performing artist|art collector|actor|television director,bluegrass music|Bluegrass|folk revival|pop|country|musical comedy,bluegrass|country,0.65,banjo,American Academy of Arts and Sciences,Warner Bros. Records,Writers Guild of America Award|Kennedy Center Honors|Disney Legends|Mark Twain Prize for American Humor|AFI Life Achievement Award|Fellow of the American Academy of Arts and Sciences|Primetime Emmy Award for Outstanding Writing for a Comedy Series|Academy Honorary Award,http://www.stevemartin.com,1940.0,South,0,80.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:bluegrass,https://www.wikidata.org/wiki/Q16473|https://en.wikipedia.org/wiki/Steve_Martin|https://musicbrainz.org/artist/0da08c43-c04c-4016-968d-b9d3eb9b7751,3,high,high,medium,0,,steve martin,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:bluegrass,0
artist_000008,Peter Rowan,,,,Q1647656,1d1488a5-71c0-40ef-9b79-8451a18635ec,0000000081680757,95337320,https://en.wikipedia.org/wiki/Peter_Rowan,1942-07-04,1942.0,"Wayland, Massachusetts United States",Wayland,,Massachusetts,MA,United States,,,,United States,musician|singer|guitarist|mandolinist,country music|Bluegrass|progressive bluegrass|folk|country|psychedelic rock|Tex-Mex,country|bluegrass,0.65,guitar|voice,,Rounder Records,,http://www.peter-rowan.com/,1940.0,Northeast,0,83.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:folk|MusicBrainz tag:bluegrass,https://www.wikidata.org/wiki/Q1647656|https://en.wikipedia.org/wiki/Peter_Rowan|https://musicbrainz.org/artist/1d1488a5-71c0-40ef-9b79-8451a18635ec,3,high,high,medium,0,,peter rowan,0,0,0,1,1,,bluegrass,seed_country_artists.json|MusicBrainz tag:folk|MusicBrainz tag:bluegrass,0
artist_000009,Joe Henry,,,Joseph Lee Henry,Q1810016,7ea95bc8-7c97-4b8c-baf5-f3720bc94b40,0000000079957892,51891049,https://en.wikipedia.org/wiki/Joe_Henry,1960-12-02,1960.0,"Joseph Lee Henry Charlotte , North Carolina, United States",Joseph Lee Henry Charlotte,,North Carolina,NC,United States,,,,United States,singer-songwriter|guitarist|jazz guitarist|record producer,alternative country|Alternative Country|| Americana|| Country Folk,country|americana,0.65,guitar,,Profile Records,,http://joehenrylovesyoumadly.com/,1960.0,South,0,65.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:americana,https://www.wikidata.org/wiki/Q1810016|https://en.wikipedia.org/wiki/Joe_Henry|https://musicbrainz.org/artist/7ea95bc8-7c97-4b8c-baf5-f3720bc94b40,3,high,high,medium,0,,joe henry,0,0,0,1,1,,americana,seed_country_artists.json|MusicBrainz tag:americana,0
artist_000010,Buddy Emmons,,,Buddy Gene Emmons,Q1001188,72997c83-ac10-46ad-800a-513d8c2dba5d,0000000073643534,16444166,https://en.wikipedia.org/wiki/Buddy_Emmons,1937-01-27,1937.0,Mishawaka,Mishawaka,,Indiana,IN,United States,2015-07-21,2015.0,Nashville,United States,musician|musical instrument maker|guitarist,country music,country,0.6,guitar,,Flying Fish Records,,http://www.buddyemmons.com/,1930.0,Midwest,1,78.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json,https://www.wikidata.org/wiki/Q1001188|https://en.wikipedia.org/wiki/Buddy_Emmons|https://musicbrainz.org/artist/72997c83-ac10-46ad-800a-513d8c2dba5d,3,high,high,medium,0,,buddy emmons,0,0,0,1,1,,other_adjacent,seed_country_artists.json,0
artist_000011,Danny Gatton,Daniel Wood Gatton Jr.,Danny Gatton,,Q1164608,bd38cc7b-dc36-4a39-86cb-3579ba936f82,000000007366102X,114149294334280521900,https://en.wikipedia.org/wiki/Danny_Gatton,1945-09-04,1945.0,"Washington, D.C., United States",Washington,,Washington,WA,United States,1994-10-04,1994.0,Newburg,United States,guitarist|jazz guitarist|jazz musician,blues|Blues rock|| rockabilly|| jazz rock|| rock & roll|| country rock,country,0.6,guitar,,,,,1940.0,West,1,49.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,seed_country_artists.json|MusicBrainz tag:rockabilly,https://www.wikidata.org/wiki/Q1164608|https://en.wikipedia.org/wiki/Danny_Gatton|https://musicbrainz.org/artist/bd38cc7b-dc36-4a39-86cb-3579ba936f82,3,high,high,medium,0,,danny gatton,0,0,0,1,1,,rockabilly,seed_country_artists.json|MusicBrainz tag:rockabilly,0
