wikipedia_url,wp_page_title,wp_birth_date,wp_birth_year,wp_birth_name,wp_stage_name,wp_birth_place_raw,wp_aliases,wp_genres_raw,wp_categories
https://en.wikipedia.org/wiki/Furry_Lewis,Furry Lewis,1893-03-06,1893.0,Walter E. Lewis,Furry Lewis,"or 1899 Greenwood, Mississippi , United States",,Delta blues|country blues,"1890s births|1981 deaths|African-American guitarists|American blues guitarists|American male guitarists|Memphis blues musicians|American blues singer-songwriters|Blues revival musicians|Country blues singers|American street performers|Fat Possum Records artists|Songster musicians|People from Greenwood, Mississippi|Musicians from Memphis, Tennessee|Vocalion Records artists|Victor Records artists|Barclay Records artists|Universal Records artists|20th-century American guitarists|Singer-songwriters from Tennessee|Singer-songwriters from Mississippi|Guitarists from Mississippi|Guitarists from Tennessee|African-American male singer-songwriters|American male singer-songwriters|Southland Records artists|Folkways Records artists|20th-century African-American male singers|20th-century American male singers|20th-century American singers"
https://en.wikipedia.org/wiki/Tom_Russell,Tom Russell,,1947.0,,,"Thomas George Russell 1947 or 1948 Los Angeles, California, United States",,Americana|| Folk|| Country,1940s births|Songwriters from California|Living people|Singers from Los Angeles|Fast Folk artists|Stony Plain Records artists|Proper Records artists|American taxi drivers
https://en.wikipedia.org/wiki/Danny_Gatton,Danny Gatton,1945-09-04,1945.0,Daniel Wood Gatton Jr.,Danny Gatton,"Washington, D.C., United States",,Blues rock|| rockabilly|| jazz rock|| rock & roll|| country rock,"1945 births|1994 deaths|20th-century American guitarists|American blues guitarists|American jazz guitarists|American rockabilly guitarists|American male guitarists|Guitarists from Washington, D.C.|Suicides by firearm in Maryland|1994 suicides|20th-century American male musicians|American male jazz musicians"
https://en.wikipedia.org/wiki/Harvey_Reid,Harvey Reid,,1954.0,,,1954 California,,Folk,"Living people|1954 births|American folk guitarists|American male guitarists|20th-century American guitarists|20th-century American male musicians|Musicians from Maine|University of Maryland, College Park alumni|University of Maryland, College Park faculty"
https://en.wikipedia.org/wiki/Ernie_Hawkins,Ernie Hawkins,,1947.0,,,"Ernest Leroy Hawkins 1947 Pittsburgh , Pennsylvania, United States",,Blues,1947 births|Living people|American blues guitarists|American male guitarists|American blues singers|Country blues musicians|Fingerstyle guitarists|Musicians from Pittsburgh|University of Pittsburgh alumni|University of Dallas alumni|Singers from Pennsylvania|Guitarists from Pennsylvania|20th-century American guitarists|20th-century American male musicians
https://en.wikipedia.org/wiki/Jeb_Loy_Nichols,Jeb Loy Nichols,,,,,,,,"Living people|American male singer-songwriters|American emigrants to Wales|Capitol Records artists|Rough Trade Records artists|Rykodisc artists|20th-century British male singers|21st-century British male singers|British male singer-songwriters|20th-century American male singers|20th-century American singer-songwriters|Singer-songwriters from Wyoming|People from Lander, Wyoming"
https://en.wikipedia.org/wiki/Johnny_Varro,Johnny Varro,,1930.0,,,Johnny Varro c. 1930,,Jazz,1930 births|Living people|American jazz pianists|American male jazz pianists|Swing pianists|20th-century American pianists|21st-century American pianists|20th-century American male musicians|21st-century American male musicians|Statesmen of Jazz members|Arbors Records artists
https://en.wikipedia.org/wiki/Blind_Willie_McTell,Blind Willie McTell,,1903.0,,,"William Samuel McTier Circa 1903 Thomson, Georgia , United States",Blind Sammie|Georgia Bill|Hot Shot Willie|Blind Willie|Barrelhouse Sammy|Pig & Whistle Red|Blind Doogie|Red Hot Willie Glaze|Eddie McTier,Country blues|Piedmont blues|ragtime|Delta blues|gospel,"1898 births|1959 deaths|African-American male singer-songwriters|American male singer-songwriters|American acoustic guitarists|American blues guitarists|American blues harmonica players|American blues singer-songwriters|American male guitarists|American street performers|Bluebird Records artists|Columbia Records artists|Country blues musicians|East Coast blues musicians|People from Thomson, Georgia|Piedmont blues musicians|Ragtime composers|Songster musicians|20th-century American guitarists|Guitarists from Georgia (U.S. state)|Prestige Records artists|Transatlantic Records artists|Third Man Records artists|African-American guitarists|20th-century African-American male singers|20th-century American male singers|20th-century American singers|Singer-songwriters from Georgia (U.S. state)|American blind singers|American blind guitarists|Blind blues musicians|American musicians with disabilities"
https://en.wikipedia.org/wiki/Mason_Jennings,Mason Jennings,,1975.0,,,"1975 Honolulu, Hawaii , United States",,Indie folk|||folk-rock,American folk-pop singers|American pop guitarists|American folk guitarists|American male guitarists|Brushfire Records artists|Living people|Singers from Minneapolis|Singer-songwriters from Minnesota|Guitarists from Minnesota|21st-century American male singers|21st-century American singer-songwriters|21st-century American guitarists|American male singer-songwriters
https://en.wikipedia.org/wiki/Karen_Harding,Karen Harding,1991-11-18,1991.0,,,"18 November 1991 Consett , Durham , England",,House|R&B|pop|2-step garage,1991 births|Living people|Capitol Records artists|English dance musicians|English house musicians|English people of Filipino descent|British contemporary R&B singers|Musicians from County Durham|People from Consett|The X Factor (British TV series) contestants|Filipino British musicians|21st-century English women singers|21st-century English singers|Juno Award for Dance Recording of the Year winners
