wikipedia_url,wpl_birth_date,wpl_birth_year,wpl_birth_place_raw
https://en.wikipedia.org/wiki/Adrianna_Freeman,,,
https://en.wikipedia.org/wiki/Bill_LaBounty,,,Wisconsin and raised in Idaho. He attended Boise State University where he founded his first band Fat Chance
https://en.wikipedia.org/wiki/Cary_Hudson,,,
https://en.wikipedia.org/wiki/Celinda_Pink,,1957,
https://en.wikipedia.org/wiki/Coleman_Williams,1991-11-07,1991,
https://en.wikipedia.org/wiki/Cowboy_Slim_Rinehart,1948-10-28,1948,
https://en.wikipedia.org/wiki/Daisy_Dern,,,
https://en.wikipedia.org/wiki/Duane_Allen,1943-04-29,1943,
https://en.wikipedia.org/wiki/Ferlin_Husky,,,
https://en.wikipedia.org/wiki/Jake_Hill_(musician),1992-04-10,1992,
https://en.wikipedia.org/wiki/Jennifer_Day_(singer),1979-08-22,1979,
https://en.wikipedia.org/wiki/Jim_White_(guitarist),1957-03-09,1957,
https://en.wikipedia.org/wiki/John_Murry_(musician),,1979,
https://en.wikipedia.org/wiki/Kylie_Morgan,,,
https://en.wikipedia.org/wiki/Leroy_Van_Dyke,1929-10-04,1929,
https://en.wikipedia.org/wiki/Mary_Duff,,,
https://en.wikipedia.org/wiki/Montgomery_Gentry,,,
https://en.wikipedia.org/wiki/Thad_Cockrell,,,
https://en.wikipedia.org/wiki/The_Statler_Brothers,,,
https://en.wikipedia.org/wiki/Thrasher_Shiver,,,
https://en.wikipedia.org/wiki/Adam_Hambrick,1985-04-17,1985,
https://en.wikipedia.org/wiki/Arthur_Miles_(country_singer),,,
https://en.wikipedia.org/wiki/Craig_Bickhardt,,1954,
https://en.wikipedia.org/wiki/Cyndi_Thomson,1976-10-19,1976,
https://en.wikipedia.org/wiki/Gerry_House,,1948,
https://en.wikipedia.org/wiki/Jack_Cardwell,,,
https://en.wikipedia.org/wiki/Jimmie_Selph,,,
https://en.wikipedia.org/wiki/Joe_Barnhill,1965-06-13,1965,
https://en.wikipedia.org/wiki/Joe_Purdy,,,
https://en.wikipedia.org/wiki/Johnny_Barfield,,,"Tifton, Georgia"
https://en.wikipedia.org/wiki/Leland_Martin,1957-02-20,1957,
https://en.wikipedia.org/wiki/Martin_Delray,,1949,
https://en.wikipedia.org/wiki/Max_Johnston_(musician),,,
https://en.wikipedia.org/wiki/Pake_McEntire,,,
https://en.wikipedia.org/wiki/Reece_Shipley,,,
https://en.wikipedia.org/wiki/Samantha_Bumgarner,,,
https://en.wikipedia.org/wiki/Sammy_Masters,,,
https://en.wikipedia.org/wiki/Steve_Moakler,,,
https://en.wikipedia.org/wiki/Stoney_Edwards,,,
https://en.wikipedia.org/wiki/The_Ranch_(band),,,
https://en.wikipedia.org/wiki/Arum_Rae,,,"Colorado Springs, Colorado. Her sound is heavily influenced by jazz singers like Ella Fitzgerald and Nina Simone. Her style blends heavy"
https://en.wikipedia.org/wiki/Ash_Bowers,,,
https://en.wikipedia.org/wiki/Barrett_Baber,1980-05-18,1980,
https://en.wikipedia.org/wiki/Bodeco,,,
https://en.wikipedia.org/wiki/Dale_Ann_Bradley,,,
https://en.wikipedia.org/wiki/David_Garcia_(musician),1983-01-18,1983,
https://en.wikipedia.org/wiki/Glen_Sherley,,,
https://en.wikipedia.org/wiki/Henry_Whitter,,,
https://en.wikipedia.org/wiki/Hillary_Lindsey,1977-08-11,1977,
https://en.wikipedia.org/wiki/Johnny_Tyler,,,
https://en.wikipedia.org/wiki/Logan_Brill,,,
https://en.wikipedia.org/wiki/Margo_Cilker,,1993,
https://en.wikipedia.org/wiki/Matt_Lang,,,
https://en.wikipedia.org/wiki/Mitch_Zorn,,,
https://en.wikipedia.org/wiki/Robyn_Ottolini,1995-07-31,1995,
https://en.wikipedia.org/wiki/Roger_Alan_Wade,,,
https://en.wikipedia.org/wiki/Sean_Patrick_McGraw,,,
https://en.wikipedia.org/wiki/Sue_Thompson,,2021,
https://en.wikipedia.org/wiki/The_Stanley_Brothers,,,
https://en.wikipedia.org/wiki/Uncle_Dave_Macon,,,
https://en.wikipedia.org/wiki/Benjamin_F._Logan,,,
https://en.wikipedia.org/wiki/Bill_Barwick,,,
https://en.wikipedia.org/wiki/Boy_Howdy,,,
https://en.wikipedia.org/wiki/Chester_Smith,,,
https://en.wikipedia.org/wiki/Clarence_Horton_Greene,,,
https://en.wikipedia.org/wiki/Coldwater_Jane,,,
https://en.wikipedia.org/wiki/Dean_Beard,,,
https://en.wikipedia.org/wiki/Harrdy_Sandhu,,1986,
https://en.wikipedia.org/wiki/Karley_Scott_Collins,1999-12-14,1999,
https://en.wikipedia.org/wiki/Mary_K._Miller,,,
https://en.wikipedia.org/wiki/Maura_Sullivan_(singer),,1955,
https://en.wikipedia.org/wiki/Nick_Shoulders,,,
https://en.wikipedia.org/wiki/Osborne_Brothers,,,
https://en.wikipedia.org/wiki/Raquel_Cole,1993-03-22,1993,
https://en.wikipedia.org/wiki/Robert_Lee_Castleman,1952-07-14,1952,
https://en.wikipedia.org/wiki/Steel_Magnolia,,,
https://en.wikipedia.org/wiki/The_Boxmasters,,,
https://en.wikipedia.org/wiki/Todd_O'Neill,,1982,
https://en.wikipedia.org/wiki/Trey_Lewis_(singer),,1987,
https://en.wikipedia.org/wiki/Trick_Pony,,,
https://en.wikipedia.org/wiki/Andrew_Hyra,1964-02-02,1964,
https://en.wikipedia.org/wiki/Arlene_Harden,1945-03-01,1945,
https://en.wikipedia.org/wiki/Billie_Maxwell,,,
https://en.wikipedia.org/wiki/El_Gringo_(musician),1976-07-03,1976,"Los Lunas and graduated from Los Lunas High School. Kiehne learned Spanish working at his family's ranch in the El Paso, Texas area. In"
https://en.wikipedia.org/wiki/John_Schmid,,1949,
https://en.wikipedia.org/wiki/Julienne_Irwin,1993-03-14,1993,
https://en.wikipedia.org/wiki/Kassi_Ashton,1994-02-03,1994,
https://en.wikipedia.org/wiki/Lane_Turner,1967-02-03,1967,
https://en.wikipedia.org/wiki/Luanne_Hunt,,,
https://en.wikipedia.org/wiki/Marilyn_Sellars,1944-12-31,1944,
https://en.wikipedia.org/wiki/Matt_Mason_(singer),,1985,
https://en.wikipedia.org/wiki/McKenna_Faith,1995-01-06,1995,
https://en.wikipedia.org/wiki/Nicki_Bluhm,,1979,
https://en.wikipedia.org/wiki/Pete_Scobell,,,
https://en.wikipedia.org/wiki/Rick_&_Janis_Carnes,1950-06-30,1950,
https://en.wikipedia.org/wiki/Sarah_Johns,,1979,
https://en.wikipedia.org/wiki/Sonia_Leigh,,1978,
https://en.wikipedia.org/wiki/Tamara_Walker,1966-05-01,1966,
https://en.wikipedia.org/wiki/Tammy_Rogers,,1966,
https://en.wikipedia.org/wiki/Troy_Cartwright,1990-04-03,1990,
https://en.wikipedia.org/wiki/Abbie_Neal,,,
https://en.wikipedia.org/wiki/Celia_Woodsmith,,1985,"1985 in Tryon, North Carolina"
https://en.wikipedia.org/wiki/Chuck_Wagon_&_the_Wheels,,,
https://en.wikipedia.org/wiki/Dave_Gonzalez_(guitarist),1961-04-24,1961,
https://en.wikipedia.org/wiki/Doug_Dugger,,,
https://en.wikipedia.org/wiki/Eddie_Jackson_(singer),,,"Cookeville, Tennessee"
https://en.wikipedia.org/wiki/Guy_Drake,,,
https://en.wikipedia.org/wiki/Joe_Carson_(musician),,1936,
https://en.wikipedia.org/wiki/John_McNicholl,,,
https://en.wikipedia.org/wiki/Juni_Fisher,,1956,
https://en.wikipedia.org/wiki/Kate_Mann,,,
https://en.wikipedia.org/wiki/Luke_O%27Shea,,,
https://en.wikipedia.org/wiki/Luke_Tan,,1977,
https://en.wikipedia.org/wiki/Orville_Couch,,,
https://en.wikipedia.org/wiki/Rio_Grand,,,
https://en.wikipedia.org/wiki/Sandy_Mason,,,
https://en.wikipedia.org/wiki/Slim_Wilson,,,
https://en.wikipedia.org/wiki/Tammy_Graham,1968-02-07,1968,
https://en.wikipedia.org/wiki/The_Road_Hammers,,,
https://en.wikipedia.org/wiki/Zaca_Creek,,,
https://en.wikipedia.org/wiki/Christian_López,,1953,
https://en.wikipedia.org/wiki/Freddie_Langdon,,,
https://en.wikipedia.org/wiki/Green_River_Ordinance,,,
https://en.wikipedia.org/wiki/Guy_Juke,,1951,
https://en.wikipedia.org/wiki/Hayden_Nicholas,,,
https://en.wikipedia.org/wiki/Homer_Ledford,,,
https://en.wikipedia.org/wiki/Jim_Hurst,,,
https://en.wikipedia.org/wiki/LATAM_Cargo_Colombia,,,
https://en.wikipedia.org/wiki/LaDonna_Gatlin,1954-08-18,1954,
https://en.wikipedia.org/wiki/Laurel_and_Hardy,,,
https://en.wikipedia.org/wiki/Levi_Parham,,,
https://en.wikipedia.org/wiki/Ray_Alden,,,
https://en.wikipedia.org/wiki/Rio_Grande,,,
https://en.wikipedia.org/wiki/River_Road,,,
https://en.wikipedia.org/wiki/Ruby_Allmond,,2006,
https://en.wikipedia.org/wiki/Sarah_Marince,,1990,
https://en.wikipedia.org/wiki/Sparx,,,
https://en.wikipedia.org/wiki/The_Hutchens,,,
https://en.wikipedia.org/wiki/Tom_Leahy,,1964,
https://en.wikipedia.org/wiki/Van_Zant,,,
https://en.wikipedia.org/wiki/Connor_Smith,,,
https://en.wikipedia.org/wiki/Eagle,,,
https://en.wikipedia.org/wiki/Edens_Edge,,,
https://en.wikipedia.org/wiki/Eli_Young_Band,,,
https://en.wikipedia.org/wiki/George_Birge,,,
https://en.wikipedia.org/wiki/Homer_and_Jethro,,,
https://en.wikipedia.org/wiki/John_Richards,,,
https://en.wikipedia.org/wiki/Jonathan_Jackson,,,
https://en.wikipedia.org/wiki/Leen,,,
https://en.wikipedia.org/wiki/LoCash,,,
https://en.wikipedia.org/wiki/McBride_&_the_Ride,,,
https://en.wikipedia.org/wiki/Sundance_Head,1978-07-09,1978,
https://en.wikipedia.org/wiki/The_Delmore_Brothers,,,
https://en.wikipedia.org/wiki/The_Henningsens,,,
https://en.wikipedia.org/wiki/The_Kinleys,1970-11-05,1970,
https://en.wikipedia.org/wiki/The_Louvin_Brothers,,,
https://en.wikipedia.org/wiki/The_Oak_Ridge_Boys,,,
https://en.wikipedia.org/wiki/The_Wilburn_Brothers,,,
https://en.wikipedia.org/wiki/Thompson_Square,,,
https://en.wikipedia.org/wiki/Windward_and_leeward,,,
https://en.wikipedia.org/wiki/Baillie_&_the_Boys,,,
https://en.wikipedia.org/wiki/Bryan_Martin,,,
https://en.wikipedia.org/wiki/Carl_Butler_and_Pearl,,,
https://en.wikipedia.org/wiki/Darrell_Glenn,,,
https://en.wikipedia.org/wiki/Exile,,,
https://en.wikipedia.org/wiki/Gene_Sullivan,,,
https://en.wikipedia.org/wiki/Hal_Willis,,1946,
https://en.wikipedia.org/wiki/Jimmy_%26_Johnny,,,
https://en.wikipedia.org/wiki/Johnnie_&_Jack,,,
https://en.wikipedia.org/wiki/Johnny_and_Jonie_Mosby,,,
https://en.wikipedia.org/wiki/Paul_McCartney,,1942,
https://en.wikipedia.org/wiki/Pirates_of_the_Mississippi,,,
https://en.wikipedia.org/wiki/P%C3%A9rez_Prado,,,
https://en.wikipedia.org/wiki/RCA_Records,,,
https://en.wikipedia.org/wiki/Sunday_Sharpe,,,
https://en.wikipedia.org/wiki/The_Davis_Sisters,,,
https://en.wikipedia.org/wiki/The_Farm,,,
https://en.wikipedia.org/wiki/The_Voice_(American_TV_series)_season_10,,,
https://en.wikipedia.org/wiki/The_Willis_Brothers,,,
https://en.wikipedia.org/wiki/The_Wreckers,,,
https://en.wikipedia.org/wiki/Gloriana,,,
https://en.wikipedia.org/wiki/Jimmy_Edwards,,,
https://en.wikipedia.org/wiki/Love_and_Theft,,,
