artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
artist_002435,Homer and Jethro,,,Jack Turner And His Granger County Gang,Q5890303,f5a6bb71-f49d-4115-b285-fda004821497,0000000084163720,121032795,https://en.wikipedia.org/wiki/Homer_and_Jethro,1936.0,,,Tennessee,TN,United States,,,,,writer,country music|comedy song|parody|Country|comedy|parody|hillbilly,country,1.0,,,King|RCA Victor,Country Music Hall of Fame and Museum|Grammy Awards,,,Appalachia,0,90.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q5890303|https://en.wikipedia.org/wiki/Homer_and_Jethro|https://musicbrainz.org/artist/f5a6bb71-f49d-4115-b285-fda004821497,3,high,medium,high,0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|billboard_country_year_end_supplement,homer and jethro,,,,,,,,billboard_country_year_end_supplement,,,,,,,1936-01-01,,
artist_002436,Lynn Anderson,Lynn Rene Anderson,Lynn Anderson,Lynn Rene Anderson,Q163593,354812d4-2dfb-4611-9a8f-8f8e795e48bf,0000000073641096,10032386,https://en.wikipedia.org/wiki/Lynn_Anderson,1947.0,Grand Forks,,North Dakota,ND,United States,2015-07-30,2015.0,Nashville,United States,actor|singer|singer-songwriter|musician|television actor|recording artist,country music|folk music|Country|countrypolitan|western|bluegrass|gospel,country|bluegrass,0.85,voice,,Columbia Records|Chart Records,American Music Award for Favorite Country Female Artist|Country Music Association Award for Female Vocalist of the Year,http://www.lynnandersonshow.com/,1940.0,Midwest,1,67.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q163593|https://en.wikipedia.org/wiki/Lynn_Anderson|https://musicbrainz.org/artist/354812d4-2dfb-4611-9a8f-8f8e795e48bf,3,high,high,high,0,billboard_country_year_end_supplement,lynn anderson,,,,,,,,billboard_country_year_end_supplement,,North Dakota,,,1947.0,,1947-09-26,"Grand Forks , North Dakota , United States",United States
artist_002437,Maddie & Tae,,,Maddie and Tae,Q18157530,c1c02051-0305-4095-8817-30df19c0b79f,,317285252,https://en.wikipedia.org/wiki/Maddie_%26_Tae,1995.0,,,Tennessee,TN,United States,,,,United States,musician,country pop|Country,country,0.7999999999999999,,,Dot Records,,http://www.maddieandtae.com/,1990.0,Appalachia,0,30.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q18157530|https://en.wikipedia.org/wiki/Maddie_%26_Tae|https://musicbrainz.org/artist/c1c02051-0305-4095-8817-30df19c0b79f,3,high,medium,medium,0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|billboard_country_year_end_supplement,maddie and tae,,,,,,,,billboard_country_year_end_supplement,,,,,,,1995-06-07,,
artist_002438,Duane Eddy,,,,Q455818,efc0ee36-ad69-45af-8602-991b254b7529,0000000114762418,84608571,https://en.wikipedia.org/wiki/Duane_Eddy,1938.0,Corning,,New York,NY,United States,2024-04-30,2024.0,Franklin,United States,rock guitarist|musician|jazz guitarist|songwriter|recording artist|guitarist,instrumental rock|rockabilly|rock and roll|surf music|country music|Instrumental rock|| rockabilly|| rock and roll|country||,country,0.7999999999999999,guitar,Duane Eddy and The Rebels,RCA Victor,Americana Lifetime Achievement Award for Instrumentalist|MOJO Awards|Rock and Roll Hall of Fame|Grammy Award for Best Rock Instrumental Performance,http://www.duane-eddy.com,1930.0,Northeast,1,86.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q455818|https://en.wikipedia.org/wiki/Duane_Eddy|https://musicbrainz.org/artist/efc0ee36-ad69-45af-8602-991b254b7529,3,high,high,medium,0,billboard_country_year_end_supplement,duane eddy,,,,,,,,billboard_country_year_end_supplement,,,,,1938.0,,1938-04-26,"Corning , New York, United States",United States
artist_002439,Bonnie Lou,Mary Joan Kath,Bonnie Lou,Bonnie Lou,Q4942391,d0edcdbd-b250-4948-8664-eb6fc4aefced,000000004798663X,9578877,https://en.wikipedia.org/wiki/Bonnie_Lou,1924.0,Towanda,McLean County,Illinois,IL,United States,2015-12-08,2015.0,Cincinnati,United States,singer|songwriter,country music|Country|| rock and roll|| rockabilly,country,0.7999999999999999,voice,,King,,,1920.0,Midwest,1,91.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q4942391|https://en.wikipedia.org/wiki/Bonnie_Lou|https://musicbrainz.org/artist/d0edcdbd-b250-4948-8664-eb6fc4aefced,3,high,high,medium,0,billboard_country_year_end_supplement,bonnie lou,,,,,,,,billboard_country_year_end_supplement,,,,,1924.0,,1924-10-27,"Towanda , Illinois, United States",United States
artist_002440,Sawyer Brown,,,Savanna,Q7428727,1b69a7bc-7563-4aaf-a859-8b6050a7a0f2,000000011512272X,132668118,https://en.wikipedia.org/wiki/Sawyer_Brown,1981.0,,,Florida,FL,United States,,,,,film score composer,country music|Country|country pop|| country rock|Christian,country,0.7999999999999999,,,Capitol Records|Curb Records,,http://www.sawyerbrown.com/,,South,0,45.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q7428727|https://en.wikipedia.org/wiki/Sawyer_Brown|https://musicbrainz.org/artist/1b69a7bc-7563-4aaf-a859-8b6050a7a0f2,3,high,medium,medium,0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|billboard_country_year_end_supplement,sawyer brown,,,,,,,,billboard_country_year_end_supplement,,,,,,,1981-01-01,,
artist_002441,The Louvin Brothers,,,Louvin Brothers,Q1756844,8b604d4b-1170-4225-bc9e-d8276d94402e,0000000081897104,121022099,https://en.wikipedia.org/wiki/The_Louvin_Brothers,1940.0,,,Alabama,AL,United States,,,,,,country music|Country|bluegrass|gospel,country|bluegrass,0.75,,,Capitol Records,,,,South,0,85.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q1756844|https://en.wikipedia.org/wiki/The_Louvin_Brothers|https://musicbrainz.org/artist/8b604d4b-1170-4225-bc9e-d8276d94402e,3,high,medium,medium,0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|billboard_country_year_end_supplement,the louvin brothers,,,,,,,,billboard_country_year_end_supplement,,,,,,,1940-07-04,,
artist_002442,Pee Wee King,Julius Frank Anthony Kuczynski,,Julius Frank Anthony Kuczynski|PeeWee King,Q2066941,a6744983-be90-41b1-8541-2d8719b03ee7,000000012279898X,51873768,https://en.wikipedia.org/wiki/Pee_Wee_King,1914.0,Abrams,,Wisconsin,WI,United States,2000-03-07,2000.0,Louisville,United States,singer-songwriter|songwriter|fiddler|country singer|recording artist,country music,country,0.75,fiddle|voice,,Apex,star on Hollywood Walk of Fame,,1910.0,Midwest,1,86.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q2066941|https://en.wikipedia.org/wiki/Pee_Wee_King|https://musicbrainz.org/artist/a6744983-be90-41b1-8541-2d8719b03ee7,3,high,high,medium,0,birth data enriched from MusicBrainz|billboard_country_year_end_supplement,pee wee king,,,,,,,,billboard_country_year_end_supplement,,Wisconsin,,,,,1914-02-18,Abrams,United States
artist_002443,The Delmore Brothers,,,,Q1184543,7767365b-ab8a-4173-9410-33705722b118,0000000081897112,121022227,https://en.wikipedia.org/wiki/The_Delmore_Brothers,1926.0,,Limestone County,Alabama,AL,United States,,,,,writer,country music|Country,country,0.7,,,Columbia Records,,,,South,0,100.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q1184543|https://en.wikipedia.org/wiki/The_Delmore_Brothers|https://musicbrainz.org/artist/7767365b-ab8a-4173-9410-33705722b118,3,high,medium,medium,0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|billboard_country_year_end_supplement,the delmore brothers,,,,,,,,billboard_country_year_end_supplement,,,,,,,1926-01-01,,
artist_002444,Sugarland,,,,Q1200415,f87b740a-c22b-4fae-9987-1f3e16f840c4,0000000115406116,150306081,https://en.wikipedia.org/wiki/Sugarland,2002.0,,,Georgia,GA,United States,,,,,,country music|Country|country pop,country,0.7,,,Universal Music Group Nashville,American Music Award for New Artist of the Year,http://www.sugarlandmusic.com/,,South,0,24.0,1,1,1,1,1,1,restricted,US-born core country singer with reliable birth metadata,,Wikidata,,Billboard country year-end supplement|billboard_country_year_end_supplement,https://www.wikidata.org/wiki/Q1200415|https://en.wikipedia.org/wiki/Sugarland|https://musicbrainz.org/artist/f87b740a-c22b-4fae-9987-1f3e16f840c4,3,high,medium,medium,0,birth data enriched from MusicBrainz|birth geography inferred from Wikipedia categories|billboard_country_year_end_supplement,sugarland,,,,,,,,billboard_country_year_end_supplement,,,,,,,2002-01-01,,
