chart_year,position,song_name,artist_name,source_title,song_key,artist_key
2015,5,Smoke,A Thousand Horses,2015 in country music,smoke,a thousand horses
2021,1,Am I the Only One,Aaron Lewis,2021 in country music,am i the only one,aaron lewis
1991,40,I Wonder How Far It Is Over You,Aaron Tippin,1991 in country music,i wonder how far it is over you,aaron tippin
2001,17,People Like Us,Aaron Tippin,2001 in country music,people like us,aaron tippin
1994,17,The Call of the Wild,Aaron Tippin,1994 in country music,the call of the wild,aaron tippin
1991,6,You've Got to Stand for Something,Aaron Tippin,1991 in country music,you ve got to stand for something,aaron tippin
2016,18,I'm Sorry,Adam Wakefield,2016 in country music,i m sorry,adam wakefield
2016,14,Lonesome Broken and Blue,Adam Wakefield,2016 in country music,lonesome broken and blue,adam wakefield
1960,19,Imitation of Love,Adrian Roland,1960 in country music,imitation of love,adrian roland
1946,2,Guitar Polka,Al Dexter,1946 in country music,guitar polka,al dexter
1946,14,"Wine, Women and Song",Al Dexter,1946 in country music,wine women and song,al dexter
1947,15,"Down At The Roadside Inn""[11]",Al Dexter and His Troopers,1947 in country music,down at the roadside inn 11,al dexter and his troopers
1946,1,"Guitar Polka""[1]",Al Dexter and His Troopers,1946 in country music,guitar polka 1,al dexter and his troopers
1946,6,"Wine Women and Song""[5]",Al Dexter and His Troopers,1946 in country music,wine women and song 5,al dexter and his troopers
1991,1,Down Home,Alabama,1991 in country music,down home,alabama
1991,1,Forever's as Far as I'll Go,Alabama,1991 in country music,forever s as far as i ll go,alabama
1991,2,Here We Are,Alabama,1991 in country music,here we are,alabama
1998,2,How Do You Fall in Love,Alabama,1998 in country music,how do you fall in love,alabama
1998,21,She's Got That Look in Her Eyes,Alabama,1998 in country music,she s got that look in her eyes,alabama
1994,7,T.L.C. A.S.A.P.,Alabama,1994 in country music,t l c a s a p,alabama
1994,13,The Cheap Seats,Alabama,1994 in country music,the cheap seats,alabama
1991,4,Then Again,Alabama,1991 in country music,then again,alabama
1994,6,We Can't Love Like This Anymore,Alabama,1994 in country music,we can t love like this anymore,alabama
2001,15,When It All Goes South,Alabama,2001 in country music,when it all goes south,alabama
1998,18,A House with No Curtains,Alan Jackson,1998 in country music,a house with no curtains,alan jackson
2007,5,A Woman's Love,Alan Jackson,2007 in country music,a woman s love,alan jackson
1998,2,Between the Devil and Me,Alan Jackson,1998 in country music,between the devil and me,alan jackson
2009,1,Country Boy,Alan Jackson,2009 in country music,country boy,alan jackson
1991,1,Don't Rock the Jukebox,Alan Jackson,1991 in country music,don t rock the jukebox,alan jackson
2008,1,Good Time,Alan Jackson,2008 in country music,good time,alan jackson
1991,1,I'd Love You All Over Again,Alan Jackson,1991 in country music,i d love you all over again,alan jackson
1998,3,I'll Go On Loving You,Alan Jackson,1998 in country music,i ll go on loving you,alan jackson
1994,1,Livin' on Love,Alan Jackson,1994 in country music,livin on love,alan jackson
2009,9,Sissy's Song,Alan Jackson,2009 in country music,sissy s song,alan jackson
2008,1,Small Town Southern Man,Alan Jackson,2008 in country music,small town southern man,alan jackson
1991,1,Someday,Alan Jackson,1991 in country music,someday,alan jackson
1994,1,Summertime Blues,Alan Jackson,1994 in country music,summertime blues,alan jackson
2001,5,When Somebody Loves You,Alan Jackson,2001 in country music,when somebody loves you,alan jackson
2001,1,Where I Come From,Alan Jackson,2001 in country music,where i come from,alan jackson
2001,1,Where Were You (When the World Stopped Turning),Alan Jackson,2001 in country music,where were you when the world stopped turning,alan jackson
1994,4,(Who Says) You Can't Have It All,Alan Jackson,1994 in country music,who says you can t have it all,alan jackson
1960,16,The Moon Is Crying,Alan Riddle[1][2],1960 in country music,the moon is crying,alan riddle 1 2
2020,12,Gone Too Soon,Andrew Jannakos,2020 in country music,gone too soon,andrew jannakos
1949,18,"I'm Bitin' My Fingernails and Thinking of You""[15]",Andrews Sisters and Ernest Tubb,1949 in country music,i m bitin my fingernails and thinking of you 15,andrews sisters and ernest tubb
2001,19,You Made Me That Way,Andy Griggs,2001 in country music,you made me that way,andy griggs
1951,4,Bluebird Island,Anita Carter Hank Snow,Billboard Top Country & Western Records of 1951,bluebird island,anita carter hank snow
1998,1,What If I Said,Anita Cochran (duet with Steve Wariner),1998 in country music,what if i said,anita cochran duet with steve wariner
1974,5,A Love Song,Anne Murray,1974 in country music,a love song,anne murray
1991,39,Bluebird,Anne Murray,1991 in country music,bluebird,anne murray
1974,11,He Thinks I Still Care,Anne Murray,1974 in country music,he thinks i still care,anne murray
1974,5,Son of a Rotten Gambler,Anne Murray,1974 in country music,son of a rotten gambler,anne murray
2016,1,Forever Country,"Artists of Then, Now & Forever",2016 in country music,forever country,artists of then now forever
2024,21,Your Place,Ashley Cooke,2024 in country music,your place,ashley cooke
2020,17,One Night Standards,Ashley McBryde,2020 in country music,one night standards,ashley mcbryde
2011,19,Look It Up,Ashton Shepherd,2011 in country music,look it up,ashton shepherd
2008,20,Takin' Off This Pain,Ashton Shepherd,2008 in country music,takin off this pain,ashton shepherd
2022,5,Fall in Love,Bailey Zimmerman,2022 in country music,fall in love,bailey zimmerman
2025,13,Holy Smokes,Bailey Zimmerman,2025 in country music,holy smokes,bailey zimmerman
