artist_id,name_primary,source_role,source_name,evidence_urls
artist_000001,Buddy Starcher,primary,Wikidata,https://www.wikidata.org/wiki/Q1001311|https://en.wikipedia.org/wiki/Buddy_Starcher|https://musicbrainz.org/artist/7cfd605f-7ecb-411f-b50b-e327865375fc
artist_000001,Buddy Starcher,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1001311|https://en.wikipedia.org/wiki/Buddy_Starcher|https://musicbrainz.org/artist/7cfd605f-7ecb-411f-b50b-e327865375fc
artist_000002,Priscilla Block,primary,Wikidata,https://www.wikidata.org/wiki/Q105490139|https://en.wikipedia.org/wiki/Priscilla_Block|https://musicbrainz.org/artist/39c0b99a-7e0e-42c7-94e2-14dc7c99a019
artist_000002,Priscilla Block,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q105490139|https://en.wikipedia.org/wiki/Priscilla_Block|https://musicbrainz.org/artist/39c0b99a-7e0e-42c7-94e2-14dc7c99a019
artist_000003,Carter Faith,primary,Wikidata,https://www.wikidata.org/wiki/Q106899995|https://en.wikipedia.org/wiki/Carter_Faith|https://musicbrainz.org/artist/60c143b1-f1c1-404b-a674-ce51a05f022c
artist_000003,Carter Faith,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q106899995|https://en.wikipedia.org/wiki/Carter_Faith|https://musicbrainz.org/artist/60c143b1-f1c1-404b-a674-ce51a05f022c
artist_000004,Koe Wetzel,primary,Wikidata,https://www.wikidata.org/wiki/Q107434048|https://en.wikipedia.org/wiki/Koe_Wetzel|https://musicbrainz.org/artist/cf59723d-febb-4481-9b9b-3cb2c7f2a7e6
artist_000004,Koe Wetzel,seed,Category:American country singer-songwriters|Category:Country musicians from Texas,https://www.wikidata.org/wiki/Q107434048|https://en.wikipedia.org/wiki/Koe_Wetzel|https://musicbrainz.org/artist/cf59723d-febb-4481-9b9b-3cb2c7f2a7e6
artist_000005,Anne Wilson,primary,Wikidata,https://www.wikidata.org/wiki/Q108658888|https://en.wikipedia.org/wiki/Anne_Wilson_(musician)|https://musicbrainz.org/artist/3f96553a-1939-452b-add0-65d67022e6b4
artist_000005,Anne Wilson,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q108658888|https://en.wikipedia.org/wiki/Anne_Wilson_(musician)|https://musicbrainz.org/artist/3f96553a-1939-452b-add0-65d67022e6b4
artist_000006,Harold Morrison,primary,Wikidata,https://www.wikidata.org/wiki/Q108872560|https://en.wikipedia.org/wiki/Harold_Morrison|https://musicbrainz.org/artist/db9d8051-66e5-43c7-aa95-56ccae3894e0
artist_000006,Harold Morrison,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q108872560|https://en.wikipedia.org/wiki/Harold_Morrison|https://musicbrainz.org/artist/db9d8051-66e5-43c7-aa95-56ccae3894e0
artist_000007,Mervin Shiner,primary,Wikidata,https://www.wikidata.org/wiki/Q109062586|https://en.wikipedia.org/wiki/Mervin_Shiner|https://musicbrainz.org/artist/a4b5966c-91c8-449a-8ab1-aabb3b518c50
artist_000007,Mervin Shiner,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q109062586|https://en.wikipedia.org/wiki/Mervin_Shiner|https://musicbrainz.org/artist/a4b5966c-91c8-449a-8ab1-aabb3b518c50
artist_000008,Morgan Wade,primary,Wikidata,https://www.wikidata.org/wiki/Q109106357|https://en.wikipedia.org/wiki/Morgan_Wade|https://musicbrainz.org/artist/03e4fba5-9d58-481c-a6cb-469dd66761aa
artist_000008,Morgan Wade,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q109106357|https://en.wikipedia.org/wiki/Morgan_Wade|https://musicbrainz.org/artist/03e4fba5-9d58-481c-a6cb-469dd66761aa
artist_000009,Clarence White,primary,Wikidata,https://www.wikidata.org/wiki/Q1095533|https://en.wikipedia.org/wiki/Clarence_White|https://musicbrainz.org/artist/88970b96-d093-4ab8-b194-c91479b4387e
artist_000009,Clarence White,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1095533|https://en.wikipedia.org/wiki/Clarence_White|https://musicbrainz.org/artist/88970b96-d093-4ab8-b194-c91479b4387e
artist_000010,Clayton McMichen,primary,Wikidata,https://www.wikidata.org/wiki/Q1099296|https://en.wikipedia.org/wiki/Clayton_McMichen|https://musicbrainz.org/artist/7dcc35d8-f317-4c79-bdfa-0f5959014d7a
artist_000010,Clayton McMichen,seed,Category:American country singer-songwriters,https://www.wikidata.org/wiki/Q1099296|https://en.wikipedia.org/wiki/Clayton_McMichen|https://musicbrainz.org/artist/7dcc35d8-f317-4c79-bdfa-0f5959014d7a
