song_name,artist_name,id,type,part,version,votes,rating,difficulty,tuning,capo,url_web,upload_date,upload_year,chart_year,genre,main_key,bpm,song_structure,has_intro,has_verse,has_chorus,has_pre_chorus,has_bridge,has_outro,has_solo,has_interlude,chord_1,chord_1_count,chord_2,chord_2_count,chord_3,chord_3_count,all_chords_summary,complexity,repetition,melodicness,energy,finger_movement,disruption,root_stability,intra_root_variation,harmonic_palette,loop_strength,structure_variation,playability,harmonic_softness
1St Of Tha Month,Bone Thugs-N-Harmony,5720126,Bass Tabs,,1,0,0.0,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/bone-thugs-n-harmony/1st-of-tha-month-bass-5720126,2025-03-22,2025,1995,hip hop,,,"Chorus, Verse 1, Chorus, Verse 2, Chorus, Verse 3, Chorus, Verse 4, Chorus",0,1,1,0,0,0,0,0,,0,,0,,0,,0.2288095238095238,0.9904761904761905,0.9072108843537415,1.0,0.2519047619047619,0.0927891156462585,0.9214285714285715,0.0,0.5,0.0,0.8333333333333334,0.7711904761904762,0.625
A Bar Song Tipsy,Shaboozey,5301732,Bass Tabs,,1,13,4.15023,,E A D G,0,https://tabs.ultimate-guitar.com/tab/shaboozey/a-bar-song-tipsy-bass-5301732,2024-06-09,2024,2024,,,,"Verse / Chorus, Repeat throughout the entire song...",0,1,1,0,0,0,0,0,,0,,0,,0,,0.195,0.7,0.88,1.0,0.16,0.12,0.8,0.0,0.375,0.0,0.3333333333333333,0.8049999999999999,0.7916666666666666
A View To A Kill,Duran Duran,1703062,Bass Tabs,,3,4,4.772,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/duran-duran/a-view-to-a-kill-bass-1703062,2015-01-19,2015,1985,rock,,,"Intro, Verse, Interlude, Verse, Pre-Chorus, Chorus, Verse, Interlude, Verse, Pre-Chorus, Chorus, Outro",0,0,0,0,0,0,0,0,,0,,0,,0,,0.2120912647153414,0.9697718382116465,0.39572240852388685,1.0,0.3792046398042493,0.6042775914761132,0.5834248206520647,0.0,0.96875,0.0,0.25,0.7879087352846587,0.6666666666666667
According To You,Orianthi,939198,Bass Tabs,,3,,,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/orianthi/according-to-you-bass-939198,2010-04-14,2010,2010,rock,,,bass tacit 8 measures,0,0,0,0,0,0,0,0,,0,,0,,0,,0.2047662369574206,0.9880844076064484,0.9641557926733619,1.0,0.15035702003769844,0.03584420732663812,0.9369165813427301,0.0,0.8333333333333334,0.0,0.05555555555555555,0.7952337630425793,0.6527777777777778
Adore You,Harry Styles,3044545,Bass Tabs,,1,17,4.82024,intermediate,E A D G,0,https://tabs.ultimate-guitar.com/tab/harry-styles/adore-you-bass-3044545,2020-03-24,2020,2020,rock,Eb,,"Intro, Verse 1, Pre-Chorus, Chorus, Verse 2, Pre-Chorus, Chorus, Guitar Solo, Chorus, Outro",1,1,1,1,0,1,1,0,,0,,0,,0,,0.15736842105263157,0.9815789473684211,0.26192520775623274,1.0,0.39421052631578946,0.7380747922437673,0.49736842105263157,0.0,0.875,0.0,1.0,0.8426315789473684,0.6666666666666667
Against The Wind,Bob Seger & The Silver Bullet Band,2090147,Bass Tabs,,1,17,4.67022,,E A D G,0,https://tabs.ultimate-guitar.com/tab/bob-seger-the-silver-bullet-band/against-the-wind-bass-2090147,2017-07-23,2017,1980,rock,,,,0,0,0,0,0,0,0,0,,0,,0,,0,,0.18418032786885247,0.9770491803278688,0.910991668906208,1.0,0.1481967213114754,0.089008331093792,0.8491803278688524,0.0,0.875,0.0,0.0,0.8158196721311475,0.7083333333333333
Alejandro,Lady Gaga,1725515,Bass Tabs,,1,3,4.40065,intermediate,E A D G,0,https://tabs.ultimate-guitar.com/tab/lady-gaga/alejandro-bass-1725515,2015-03-31,2015,2010,pop,,,,0,0,0,0,0,0,0,0,,0,,0,,0,,0.24999999999999997,0.9375,0.0,1.0,0.5046875,1.0,0.1796875,0.0,1.0,0.0,0.0,0.75,0.625
All About That Bass,Meghan Trainor,1742776,Bass Tabs,,4,14,4.90612,intermediate,E A D G,0,https://tabs.ultimate-guitar.com/tab/meghan-trainor/all-about-that-bass-bass-1742776,2015-06-05,2015,2015,pop,,,"LICK #1, LICK #2, LICK #3, LICK #4, LICK #5, LICK #6, LICK #7, LICK #8",0,0,0,0,0,0,0,0,,0,,0,,0,,0.13091262460056277,0.9695934384985931,0.09573907220240455,1.0,0.5120644465111842,0.9042609277975955,0.5699466423427291,0.0,0.5625,0.0,0.5833333333333334,0.8690873753994371,0.8020833333333334
All I Wanna Do,Sheryl Crow,1937327,Bass Tabs,,2,11,4.886,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/sheryl-crow/all-i-wanna-do-bass-1937327,2017-01-24,2017,1995,rock,,,"Verse 1, Pre-Chorus, Chorus, Pre-Verse, Verse 2, Pre-Chorus, Chorus, Guitar Solo, Pre-Chorus, Chorus",0,1,1,1,0,0,1,0,,0,,0,,0,,0.23574626865671638,0.973134328358209,0.12425930051236345,1.0,0.4232835820895523,0.8757406994876366,0.435820895522388,0.0,1.0,0.0,1.0,0.7642537313432836,0.625
All I Wanna Do Is Make Love To You,Heart,861047,Bass Tabs,,1,14,4.84732,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/heart/all-i-wanna-do-is-make-love-to-you-bass-861047,2009-08-18,2009,1990,rock,,,,0,0,0,0,0,0,0,0,,0,,0,,0,,0.17962962962962964,0.9884259259259259,0.9975887345679012,1.0,0.020833333333333336,0.0024112654320987657,0.9652777777777778,0.0,0.625,0.0,0.0,0.8203703703703704,0.7083333333333333
All I Want For Christmas Is You,Mariah Carey,318096,Bass Tabs,,1,91,4.82348,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/mariah-carey/all-i-want-for-christmas-is-you-bass-318096,2006-01-09,2006,2024,pop,,,"Intro:, Verse 1:, Chorus:",0,0,0,0,0,0,0,0,,0,,0,,0,,0.1307415092508979,0.9856462268727553,0.9469148547881692,1.0,0.10647339958852386,0.05308514521183088,0.8610611844036556,0.0,0.7083333333333334,0.0,0.16666666666666666,0.8692584907491021,0.7916666666666666
All Out Of Love,Air Supply,2272937,Bass Tabs,,1,0,0.0,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/air-supply/all-out-of-love-bass-2272937,2018-01-06,2018,1980,rock,F,,"Intro, 1st & 2nd Verses, Chorus, Bridge, Out-Chorus, Lyrics",1,1,1,0,1,0,0,0,,0,,0,,0,,0.08800813008130082,0.967479674796748,0.9235904554167493,1.0,0.13821138211382114,0.07640954458325071,0.8617886178861789,0.0,0.5,0.0,1.0,0.9119918699186992,0.875
All The Right Moves,OneRepublic,972647,Bass Tabs,,1,11,3.95744,novice,E A D G,0,https://tabs.ultimate-guitar.com/tab/onerepublic/all-the-right-moves-bass-972647,2010-08-03,2010,2010,rock,,,,0,0,0,0,0,0,0,0,,0,,0,,0,,0.4,0.25,0.5,1.0,0.3,0.5,0.5,0.0,0.375,0.0,0.0,0.6,0.7916666666666666
All The Small Things,Blink-182,18010,Bass Tabs,,1,220,4.62516,,E A D G,0,https://tabs.ultimate-guitar.com/tab/blink-182/all-the-small-things-bass-18010,2001-10-31,2001,2000,rock,,,"Intro, Verse 1, Pre-Chorus, Chorus, Break, Verse 2, Pre-Chorus, Chorus, Bridge, Chorus, Outro",1,1,1,1,1,1,0,0,,0,,0,,0,,0.1393487648288632,0.9849614212611755,0.6534600728016158,1.0,0.20529681318701673,0.3465399271983842,0.7186025442240017,0.0,0.7083333333333334,0.0,0.3333333333333333,0.860651235171137,0.7638888888888888
