source_url,page_label,page_summary,reported_total,Date,Name,Rank,Nationality,Branch,Age,Country,Province,Where,Cause,State,City
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,9/14/2020,"Ouellette, Ronald J.",Staff Sergeant,United States,U.S. Air Force,23,Kuwait,NA,Ali Al Salem Air Base,Non-hostile - vehicle incident,Massachusetts,Merrimack/Hillsborough
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,9/12/2020,"Phan, Jason Khai",Senior Airman,United States,U.S. Air Force,26,Kuwait,NA,Ali Al Salem Air Base,Non-hostile - incident,California,Anaheim
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,7/21/2020,"Mount, Bryan Cooper",Sergeant,United States,U.S. Army,25,Syria,Unknown,Eastern Syria,Non-hostile - vehicle accident (rollover),Utah,St. George
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,6/23/2020,"Bravo-Regules, Nick",Specialist,United States,U.S. Army,20,Jordan,NA,Jordan,Non-hostile,Florida,Largo
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,5/4/2020,"Curry, Christopher Wesley",Sergeant,United States,U.S. Army,23,Iraq,Arbil,Erbil,Non-hostile,Indiana,Terre Haute
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,3/30/2020,"Hilty, John David Randolph",Sergeant 1st Class,United States,U.S. Army,44,Iraq,Arbil,Erbil,Non-hostile,Maryland,Bowie
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,3/11/2020,"Roberts, Marshal D.",Staff Sergeant,United States,U.S. Air National Guard,28,Iraq,Baghdad,Camp Taji,Hostile - hostile fire - Rocket fire,Oklahoma,Owasso
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,3/11/2020,"Covarrubias, Juan Miguel Mendez",Specialist,United States,U.S. Army,27,Iraq,Baghdad,Camp Taji,Hostile - hostile fire - Rocket fire,California,Hanford
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,3/11/2020,"Gillon, Brodie",Lance Corporal,United Kingdom,British Army,26,Iraq,Baghdad,Camp Taji,Hostile - hostile fire - Rocket fire,Scotland,Unknown
https://icasualties.org/App/Fatalities,Iraq Fatalities,Iraq Fatalities Total: 4902,4902,3/9/2020,"Pongo, Diego D.",Gunnery Sergeant,United States,U.S. Army,34,Iraq,NA,North Central Iraq,Hostile - hostile fire,California,Simi Valley
