state,year,death_type,deaths_count,mean_age
ALABAMA,1950,ACCIDENT,2,20.5
ALABAMA,1950,"DECLARED DEAD, CAPTURED, POW",4,21.0
ALABAMA,1950,"DECLARED DEAD, MISSING IN ACTION, MIA",2,
ALABAMA,1950,"DIED OF WOUNDS, WOUNDED IN ACTION (VERY SERIOUS), WIA",17,
ALABAMA,1950,KILLED IN ACTION,179,23.3
ALABAMA,1950,TOTAL,204,22.956521739130434
ALABAMA,1951,ACCIDENT,5,25.666666666666668
ALABAMA,1951,"DECLARED DEAD, CAPTURED, POW",22,27.0
ALABAMA,1951,"DECLARED DEAD, MISSING IN ACTION, MIA",4,22.75
ALABAMA,1951,"DIED OF WOUNDS, WOUNDED IN ACTION (VERY SERIOUS), WIA",18,
ALABAMA,1951,KILLED IN ACTION,190,22.916666666666668
ALABAMA,1951,TOTAL,239,23.818181818181817
ALABAMA,1952,ACCIDENT,12,24.9
ALABAMA,1952,"DECLARED DEAD, MISSING IN ACTION, MIA",6,27.166666666666668
ALABAMA,1952,"DIED OF WOUNDS, WOUNDED IN ACTION (VERY SERIOUS), WIA",12,24.5
ALABAMA,1952,KILLED IN ACTION,60,23.25
ALABAMA,1952,TOTAL,90,24.5
ALABAMA,1953,ACCIDENT,4,21.5
ALABAMA,1953,"DECLARED DEAD, CAPTURED, POW",1,
ALABAMA,1953,"DECLARED DEAD, MISSING IN ACTION, MIA",68,25.923076923076923
ALABAMA,1953,"DIED OF WOUNDS, WOUNDED IN ACTION (VERY SERIOUS), WIA",3,
ALABAMA,1953,KILLED IN ACTION,50,22.166666666666668
ALABAMA,1953,TOTAL,126,23.925925925925927
ALABAMA,1954,"DECLARED DEAD, CAPTURED, POW",1,19.0
ALABAMA,1954,"DECLARED DEAD, MISSING IN ACTION, MIA",14,25.142857142857142
ALABAMA,1954,KILLED IN ACTION,1,
ALABAMA,1954,TOTAL,16,24.375
ALABAMA,1963,KILLED IN ACTION,1,34.0
ALABAMA,1963,"KILLED IN ACTION, EXPLOSIVE DEVICE",1,36.0
ALABAMA,1963,"KILLED IN ACTION, HELICOPTER CRASH -- CREW (MC)",1,23.0
ALABAMA,1963,TOTAL,3,31.0
ALABAMA,1964,"KILLED IN ACTION, SMALL ARMS FIRE",1,32.0
ALABAMA,1964,TOTAL,1,32.0
ALABAMA,1965,"ACCIDENT, DROWNING",1,22.0
ALABAMA,1965,"ACCIDENT, HELICOPTER CRASH -- CREW (MC)",4,26.5
ALABAMA,1965,"ACCIDENT, HELICOPTER CRASH -- PASSENGER (MC)",1,33.0
ALABAMA,1965,"ACCIDENT, OTHER ACCIDENT",4,27.25
ALABAMA,1965,"ACCIDENT, VEHICLE CRASH (MC)",1,30.0
ALABAMA,1965,"DIED OF WOUNDS, EXPLOSIVE DEVICE, WOUNDED IN ACTION (VERY SERIOUS), WIA",1,21.0
ALABAMA,1965,"DIED OF WOUNDS, GRENADE, WOUNDED IN ACTION (VERY SERIOUS), WIA",1,32.0
ALABAMA,1965,"DIED OF WOUNDS, SMALL ARMS FIRE, WOUNDED IN ACTION (VERY SERIOUS), WIA",1,23.0
ALABAMA,1965,"ILLNESS, INFECTIOUS DISEASE",1,51.0
ALABAMA,1965,KILLED IN ACTION,1,42.0
ALABAMA,1965,"KILLED IN ACTION, EXPLOSIVE DEVICE",5,23.8
ALABAMA,1965,"KILLED IN ACTION, GRENADE",4,22.75
ALABAMA,1965,"KILLED IN ACTION, SMALL ARMS FIRE",21,26.38095238095238
ALABAMA,1965,TOTAL,46,26.804347826086957
ALABAMA,1966,ACCIDENT,1,20.0
ALABAMA,1966,"ACCIDENT, AIRCRAFT CRASH -- CREW (MC)",2,33.0
ALABAMA,1966,"ACCIDENT, AIRCRAFT CRASH -- PASSENGER (MC)",2,24.0
ALABAMA,1966,"ACCIDENT, DROWNING",2,26.0
ALABAMA,1966,"ACCIDENT, HELICOPTER CRASH -- CREW (MC)",4,24.0
ALABAMA,1966,"ACCIDENT, HELICOPTER CRASH -- PASSENGER (MC)",3,24.333333333333332
ALABAMA,1966,"ACCIDENT, OTHER ACCIDENT",3,22.333333333333332
ALABAMA,1966,"ACCIDENT, VEHICLE CRASH (MC)",3,25.0
ALABAMA,1966,"DIED OF WOUNDS, BURNS/SMOKE INHALATION, WOUNDED IN ACTION (VERY SERIOUS), WIA",1,21.0
ALABAMA,1966,"DIED OF WOUNDS, EXPLOSIVE DEVICE, WOUNDED IN ACTION (VERY SERIOUS), WIA",3,22.666666666666668
ALABAMA,1966,"DIED OF WOUNDS, GRENADE, WOUNDED IN ACTION (VERY SERIOUS), WIA",6,24.166666666666668
ALABAMA,1966,"DIED OF WOUNDS, HELICOPTER CRASH -- CREW (MC), WOUNDED IN ACTION (VERY SERIOUS), WIA",1,25.0
ALABAMA,1966,"DIED OF WOUNDS, SMALL ARMS FIRE, WOUNDED IN ACTION (VERY SERIOUS), WIA",8,25.0
ALABAMA,1966,"DIED OF WOUNDS, WOUNDED IN ACTION (VERY SERIOUS), WIA",1,21.0
ALABAMA,1966,"ILLNESS, INFECTIOUS DISEASE",3,37.0
ALABAMA,1966,KILLED IN ACTION,11,25.363636363636363
ALABAMA,1966,"KILLED IN ACTION, AIRCRAFT CRASH -- CREW (MC)",2,28.5
ALABAMA,1966,"KILLED IN ACTION, ARTILLERY/MORTAR/ROCKET",1,22.0
ALABAMA,1966,"KILLED IN ACTION, EXPLOSIVE DEVICE",20,21.1
