seed_title,source_seed
Bruce Springsteen,MusicBrainz tag:folk
Bob Dylan,MusicBrainz tag:folk
Grateful Dead,MusicBrainz tag:folk
Johnny Cash,MusicBrainz tag:folk
Wilco,MusicBrainz tag:folk
Taylor Swift,MusicBrainz tag:folk
Pete Seeger,MusicBrainz tag:folk
Willie Nelson,MusicBrainz tag:folk
R.E.M.,MusicBrainz tag:folk
Roy Orbison,MusicBrainz tag:folk
Nina Simone,MusicBrainz tag:folk
Madonna,MusicBrainz tag:folk
John Denver,MusicBrainz tag:folk
Harry Belafonte,MusicBrainz tag:folk
Simon & Garfunkel,MusicBrainz tag:folk
Michael Jackson,MusicBrainz tag:folk
The Mountain Goats,MusicBrainz tag:folk
Dolly Parton,MusicBrainz tag:folk
Carole King,MusicBrainz tag:folk
Tom Waits,MusicBrainz tag:folk
The Byrds,MusicBrainz tag:folk
Guns N’ Roses,MusicBrainz tag:folk
Joan Baez,MusicBrainz tag:folk
Crazy Horse,MusicBrainz tag:folk
Lead Belly,MusicBrainz tag:folk
The Kingston Trio,MusicBrainz tag:folk
Beck,MusicBrainz tag:folk
The Kelly Family,MusicBrainz tag:folk
Cher,MusicBrainz tag:folk
Ani DiFranco,MusicBrainz tag:folk
Paul Simon,MusicBrainz tag:folk
Andrew Bird,MusicBrainz tag:folk
Lou Reed,MusicBrainz tag:folk
Emmylou Harris,MusicBrainz tag:folk
America,MusicBrainz tag:folk
Creedence Clearwater Revival,MusicBrainz tag:folk
Hank Williams,MusicBrainz tag:folk
Tom Petty and the Heartbreakers,MusicBrainz tag:folk
Jefferson Airplane,MusicBrainz tag:folk
Townes Van Zandt,MusicBrainz tag:folk
Eagles,MusicBrainz tag:folk
James Taylor,MusicBrainz tag:folk
The Mamas & the Papas,MusicBrainz tag:folk
Canned Heat,MusicBrainz tag:folk
Glen Campbell,MusicBrainz tag:folk
Over the Rhine,MusicBrainz tag:folk
Chet Atkins,MusicBrainz tag:folk
Buckethead,MusicBrainz tag:folk
Elliott Smith,MusicBrainz tag:folk
Melanie,MusicBrainz tag:folk
Suzanne Vega,MusicBrainz tag:folk
Taj Mahal,MusicBrainz tag:folk
Heart,MusicBrainz tag:folk
The Lovin’ Spoonful,MusicBrainz tag:folk
Philip Glass,MusicBrainz tag:folk
Woody Guthrie,MusicBrainz tag:folk
Doc Watson,MusicBrainz tag:folk
Linda Ronstadt,MusicBrainz tag:folk
Indigo Girls,MusicBrainz tag:folk
Ryan Adams,MusicBrainz tag:folk
Arlo Guthrie,MusicBrainz tag:folk
Bobby Darin,MusicBrainz tag:folk
Judy Collins,MusicBrainz tag:folk
Bob Wills and His Texas Playboys,MusicBrainz tag:folk
