artist_key_simplified,artist_name,chart_rows,unique_songs,sample_song
zach bryan,Zach Bryan,17,16,28
diamond rio,Diamond Rio,8,8,Imagine That
sugarland,Sugarland,8,8,All I Want to Do
johnnie and jack,Johnnie & Jack,7,7,Cryin' Heart Blues
the band perry,The Band Perry,7,7,All Your Life
the browns,The Browns,7,7,Beyond the Shadow
the everly brothers,The Everly Brothers,7,7,Bye Bye Love
eddy arnold the tennessee plowboy and his guitar,"Eddy Arnold, The Tennessee Plowboy and His Guitar",6,6,Don't Rob Another Man's Castle
eli young band,Eli Young Band,6,6,Always the Love Songs
red foley and the cumberland valley boys,Red Foley and the Cumberland Valley Boys,5,3,Never Trust A Woman
thompson square,Thompson Square,5,5,Are You Gonna Kiss Me or Not
anne murray,Anne Murray,4,4,A Love Song
big and rich,Big & Rich,4,4,Look at You
locash,LoCash,4,4,Hometown Home
margaret whiting jimmy wakely,"Margaret Whiting, Jimmy Wakely",4,4,Broken Down Merry-Go-Round
pee wee king,Pee Wee King,4,3,Bonaparte's Retreat
shenandoah,Shenandoah,4,4,I Got You
the wilburn brothers,The Wilburn Brothers,4,4,A Woman's Intuition
blackhawk,BlackHawk,3,3,Every Once in a While
flatt and scruggs,Flatt & Scruggs,3,3,Cabin in the Hills
gloriana,Gloriana,3,3,Can't Shake You
maddie and tae,Maddie & Tae,3,3,Die from a Broken Heart
margaret whiting and jimmy wakely,Margaret Whiting and Jimmy Wakely,3,3,I'll Never Slip Around Again
megan moroney,Megan Moroney,3,3,Am I Okay?
red foley ernest tubb,"Red Foley, Ernest Tubb",3,3,"Goodnight, Irene"
rob crosby,Rob Crosby,3,3,Love Will Bring Her Around
sawyer brown,Sawyer Brown,3,3,Hard to Say
the louvin brothers,The Louvin Brothers,3,3,I Don't Believe You've Met My Baby
wilma lee cooper and stoney cooper,Wilma Lee Cooper and Stoney Cooper,3,3,Big Midnight Special
adam wakefield,Adam Wakefield,2,2,I'm Sorry
bill justis,Bill Justis,2,1,Raunchy
bonnie lou,Bonnie Lou,2,2,Seven Lonely Days
brothers osborne,Brothers Osborne,2,2,All Night
carl butler and pearl,Carl Butler and Pearl,2,2,I'm Hanging Up the Phone
confederate railroad,Confederate Railroad,2,2,Daddy Never Was the Cadillac Kind
david houston and barbara mandrell,David Houston and Barbara Mandrell,2,2,"I Love You, I Love You"
diana trask,Diana Trask,2,2,Lean It All on Me
emerson drive,Emerson Drive,2,2,Belongs to You
george birge,George Birge,2,2,Cowboy Songs
george jones and tammy wynette,George Jones and Tammy Wynette,2,2,We Loved It Away
gordon lightfoot,Gordon Lightfoot,2,2,Carefree Highway
johnny and jonie mosby,Johnny & Jonie Mosby,2,2,Keep Those Cards and Letters Coming In
josh ross,Josh Ross,2,2,Single Again
kitty wells red foley,"Kitty Wells, Red Foley",2,2,One by One
lewis pruitt,Lewis Pruitt,2,2,Softly and Tenderly (I'll Hold You in My Arms)
lindsay ell,Lindsay Ell,2,2,Criminal
lisa brokop,Lisa Brokop,2,2,Give Me a Ring Sometime
love and theft,Love and Theft,2,2,Angel Eyes
lynn anderson,Lynn Anderson,2,2,Smile for Me
marshmello and kane brown,Marshmello and Kane Brown,2,2,Miles on It
