artist_id,name_primary,chart_artist_name,artist_resolution,song_name,song_key,best_chart_year,best_chart_pos,all_chart_years,all_chart_positions,source_titles,source_kinds,artist_in_adjacent,artist_in_full
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,I Wonder How Far It Is Over You,i wonder how far it is over you,1991,40,1991,40,1991 in country music,year_end,0,1
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,People Like Us,people like us,2001,17,2001,17,2001 in country music,year_end,0,1
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,The Call of the Wild,the call of the wild,1994,17,1994,17,1994 in country music,year_end,0,1
artist_001289,Aaron Tippin,Aaron Tippin,existing_artist,You've Got to Stand for Something,you ve got to stand for something,1991,6,1991,6,1991 in country music,year_end,0,1
artist_002548,Adam Wakefield,Adam Wakefield,existing_artist,I'm Sorry,i m sorry,2016,18,2016,18,2016 in country music,year_end,1,1
artist_002558,Adrian Roland,Adrian Roland,existing_artist,Imitation of Love,imitation of love,1960,19,1960,19,1960 in country music,year_end,0,0
artist_000554,Al Dexter,Al Dexter and His Troopers,existing_artist,Down At The Roadside Inn,down at the roadside inn,1947,15,1947,15,1947 in country music,year_end,0,1
artist_000554,Al Dexter,Al Dexter and His Troopers,existing_artist,Guitar Polka,guitar polka,1946,1,1946|1946,1|2,1946 in country music,year_end,0,1
artist_000554,Al Dexter,Al Dexter and His Troopers,existing_artist,Wine Women and Song,wine women and song,1946,6,1946|1946,6|14,1946 in country music,year_end,0,1
artist_002309,Alabama,Alabama,existing_artist,Forever's as Far as I'll Go,forever s as far as i ll go,1991,1,1991,1,1991 in country music,year_end,0,1
artist_002309,Alabama,Alabama,existing_artist,She's Got That Look in Her Eyes,she s got that look in her eyes,1998,21,1998,21,1998 in country music,year_end,0,1
artist_002309,Alabama,Alabama,existing_artist,T.L.C. A.S.A.P.,t l c a s a p,1994,7,1994,7,1994 in country music,year_end,0,1
artist_002309,Alabama,Alabama,existing_artist,We Can't Love Like This Anymore,we can t love like this anymore,1994,6,1994,6,1994 in country music,year_end,0,1
artist_002309,Alabama,Alabama,existing_artist,When It All Goes South,when it all goes south,2001,15,2001,15,2001 in country music,year_end,0,1
artist_000030,Alan Jackson,Alan Jackson,existing_artist,(Who Says) You Can't Have It All,you can t have it all,1994,4,1994,4,1994 in country music,year_end,0,1
artist_000030,Alan Jackson,Alan Jackson,existing_artist,A Woman's Love,a woman s love,2007,5,2007,5,2007 in country music,year_end,0,1
artist_000030,Alan Jackson,Alan Jackson,existing_artist,Don't Rock the Jukebox,don t rock the jukebox,1991,1,1991,1,1991 in country music,year_end,0,1
artist_000030,Alan Jackson,Alan Jackson,existing_artist,I'd Love You All Over Again,i d love you all over again,1991,1,1991,1,1991 in country music,year_end,0,1
artist_000030,Alan Jackson,Alan Jackson,existing_artist,I'll Go On Loving You,i ll go on loving you,1998,3,1998,3,1998 in country music,year_end,0,1
artist_000030,Alan Jackson,Alan Jackson,existing_artist,Sissy's Song,sissy s song,2009,9,2009,9,2009 in country music,year_end,0,1
artist_002559,Alan Riddle[1][2],Alan Riddle[1][2],existing_artist,The Moon Is Crying,the moon is crying,1960,16,1960,16,1960 in country music,year_end,0,0
artist_002560,Andrews Sisters and Ernest Tubb,Andrews Sisters and Ernest Tubb,existing_artist,I'm Bitin' My Fingernails and Thinking of You,i m bitin my fingernails and thinking of you,1949,18,1949,18,1949 in country music,year_end,0,0
artist_000313,Andy Griggs,Andy Griggs,existing_artist,You Made Me That Way,you made me that way,2001,19,2001,19,2001 in country music,year_end,0,1
artist_002561,Anita Carter Hank Snow,Anita Carter Hank Snow,existing_artist,Bluebird Island,bluebird island,1951,4,1951,4,Billboard Top Country & Western Records of 1951,year_end,0,0
artist_002488,Anne Murray,Anne Murray,existing_artist,Son of a Rotten Gambler,son of a rotten gambler,1974,5,1974,5,1974 in country music,year_end,0,0
artist_000499,Ashley Cooke,Ashley Cooke,existing_artist,Your Place,your place,2024,21,2024,21,2024 in country music,year_end,0,1
artist_000931,Ashley McBryde,Ashley McBryde,existing_artist,One Night Standards,one night standards,2020,17,2020,17,2020 in country music,year_end,0,1
artist_000919,Ashton Shepherd,Ashton Shepherd,existing_artist,Takin' Off This Pain,takin off this pain,2008,20,2008,20,2008 in country music,year_end,0,1
artist_001786,B. J. Thomas,B.J. Thomas,existing_artist,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,another somebody done somebody wrong song,1975,1,1975,1,List of Hot Country Singles number ones of 1975,weekly_number_one_wikipedia,0,1
artist_001938,Barbara Fairchild,Barbara Fairchild,existing_artist,Baby Doll,baby doll,1974,6,1974,6,1974 in country music,year_end,0,1
artist_001938,Barbara Fairchild,Barbara Fairchild,existing_artist,Standing in Your Line,standing in your line,1974,17,1974,17,1974 in country music,year_end,0,1
artist_001938,Barbara Fairchild,Barbara Fairchild,existing_artist,The Teddy Bear Song,the teddy bear song,1973,1,1973,1,List of Hot Country Singles number ones of 1973,weekly_number_one_wikipedia,0,1
artist_000798,Barbara Mandrell,Barbara Mandrell,existing_artist,(If Loving You Is Wrong) I Don't Want to Be Right,i don t want to be right,1979,1,1979,1,List of Hot Country Singles number ones of 1979,weekly_number_one_wikipedia,0,1
artist_000798,Barbara Mandrell,Barbara Mandrell,existing_artist,Sleeping Single in a Double Bed,sleeping single in a double bed,1978,1,1978,1,List of Hot Country Singles number ones of 1978,weekly_number_one_wikipedia,0,1
artist_000798,Barbara Mandrell,Barbara Mandrell,existing_artist,This Time I Almost Made It,this time i almost made it,1974,12,1974,12,1974 in country music,year_end,0,1
artist_001987,Barrett Baber,Barrett Baber,existing_artist,I'd Just Love to Lay You Down,i d just love to lay you down,2015,16,2015,16,2015 in country music,year_end,0,1
artist_002563,Bebe Rexha & Florida Georgia Line,Bebe Rexha & Florida Georgia Line,existing_artist,Meant to Be,meant to be,2018,1,2018,1,2018 in country music,year_end,0,0
artist_002564,Betty Foley[1],Betty Foley[1],existing_artist,Old Moon,old moon,1959,7,1959,7,1959 in country music,year_end,0,0
artist_002331,BeyonCa,Beyoncé,existing_artist,16 Carriages,16 carriages,2024,9,2024,9,2024 in country music,year_end,1,1
artist_002331,BeyonCa,Beyoncé,existing_artist,Ameriican Requiem,ameriican requiem,2024,7,2024,7,2024 in country music,year_end,1,1
artist_002331,BeyonCa,"Beyoncé featuring Brittney Spencer, Reyna Roberts, Tanner Adell and Tiera Kennedy",existing_artist,Blackbiird,blackbiird,2024,6,2024,6,2024 in country music,year_end,1,1
artist_002331,BeyonCa,Beyoncé,existing_artist,Daughter,daughter,2024,9,2024,9,2024 in country music,year_end,1,1
artist_002331,BeyonCa,Beyoncé featuring Miley Cyrus,existing_artist,II Most Wanted,ii most wanted,2024,2,2024,2,2024 in country music,year_end,1,1
artist_002331,BeyonCa,Beyoncé,existing_artist,Jolene,jolene,2024,3,2024,3,2024 in country music,year_end,1,1
artist_002331,BeyonCa,Beyoncé featuring Post Malone,existing_artist,Levii's Jeans,levii s jeans,2024,5,2024,5,2024 in country music,year_end,1,1
artist_002331,BeyonCa,Beyoncé,existing_artist,Texas Hold 'Em,texas hold em,2024,1,2024,1,2024 in country music,year_end,1,1
artist_002457,Big & Rich,Big & Rich,existing_artist,That's Why I Pray,that s why i pray,2012,16,2012,16,2012 in country music,year_end,1,1
artist_002565,BigXthaPlug featuring Bailey Zimmerman,BigXthaPlug featuring Bailey Zimmerman,existing_artist,All the Way,all the way,2025,1,2025,1,2025 in country music,year_end,0,0
artist_002565,BigXthaPlug featuring Bailey Zimmerman,BigXthaPlug featuring Ella Langley,existing_artist,Hell at Night,hell at night,2025,8,2025,8,2025 in country music,year_end,0,0
artist_001511,Bill Anderson,Bill Anderson,existing_artist,Can I Come Home to You,can i come home to you,1974,24,1974,24,1974 in country music,year_end,0,1
artist_001511,Bill Anderson,Bill Anderson,existing_artist,Me,me,1964,8,1964,8,1964 in country music,year_end,0,1
artist_001511,Bill Anderson,Bill Anderson,existing_artist,Ninety-Nine,ninety nine,1959,13,1959,13,1959 in country music,year_end,0,1
artist_001511,Bill Anderson,Bill Anderson,existing_artist,That's What It's Like to Be Lonesome,that s what it s like to be lonesome,1959,12,1959|1959,12|40,1959 in country music|Billboard year-end top 50 country & western singles of 1959,year_end|year_end_wikipedia,0,1
artist_001511,Bill Anderson,Bill Anderson,existing_artist,The Tip of My Fingers,the tip of my fingers,1960,7,1960,7,1960 in country music,year_end,0,1
artist_001511,Bill Anderson,Bill Anderson,existing_artist,Walk Out Backward,walk out backward,1961,38,1961,38,Billboard year-end top 50 country & western singles of 1961,year_end_wikipedia,0,1
artist_002566,Bill Leatherwood,Bill Leatherwood,existing_artist,The Long Walk,the long walk,1960,11,1960,11,1960 in country music,year_end,0,0
artist_001202,Bill Monroe,Bill Monroe,existing_artist,Gotta Travel On,gotta travel on,1959,15,1959,15,1959 in country music,year_end,0,1
artist_001947,"Billy ""Crash"" Craddock","Billy ""Crash"" Craddock",existing_artist,Sweet Magnolia Blossom,sweet magnolia blossom,1974,3,1974,3,1974 in country music,year_end,0,1
artist_000155,Billy Currington,Billy Currington,existing_artist,Don't,don t,2009,2,2009,2,2009 in country music,year_end,0,1
artist_000155,Billy Currington,Billy Currington,existing_artist,Don't It,don t it,2015,4,2015,4,2015 in country music,year_end,0,1
artist_000155,Billy Currington,Billy Currington,existing_artist,It Don't Hurt Like It Used To,it don t hurt like it used to,2016,3,2016,3,2016 in country music,year_end,0,1
artist_001945,Billy Dean,Billy Dean,existing_artist,Only Here for a Little While,only here for a little while,1991,3,1991,3,1991 in country music,year_end,0,1
artist_001945,Billy Dean,Billy Dean,existing_artist,Somewhere in My Broken Heart,somewhere in my broken heart,1991,3,1991,3,1991 in country music,year_end,0,1
artist_001945,Billy Dean,Billy Dean,existing_artist,We Just Disagree,we just disagree,1994,9,1994,9,1994 in country music,year_end,0,1
artist_001945,Billy Dean,Billy Dean,existing_artist,You Don't Count the Cost,you don t count the cost,1991,4,1991,4,1991 in country music,year_end,0,1
artist_000736,Billy Ray Cyrus,Billy Ray Cyrus with Miley Cyrus,existing_artist,"Ready, Set, Don't Go",ready set don t go,2008,4,2008,4,2008 in country music,year_end,0,1
artist_000844,Billy Swan,Billy Swan,existing_artist,I Can Help,i can help,1974,1,1974,1,List of Hot Country Singles number ones of 1974,weekly_number_one_wikipedia,0,1
artist_001513,Billy Walker (musician),Billy Walker,existing_artist,On My Mind Again,on my mind again,1957,12,1957,12,Billboard Top Country & Western Records of 1957,year_end,0,1
artist_001531,Blake Shelton,Blake Shelton,existing_artist,Doin' What She Likes,doin what she likes,2014,3,2014,3,2014 in country music,year_end,0,1
artist_001531,Blake Shelton,Blake Shelton,existing_artist,Don't Make Me,don t make me,2007,12,2007,12,2007 in country music,year_end,0,1
artist_001531,Blake Shelton,Blake Shelton,existing_artist,God's Country,god s country,2019,1,2019,1,2019 in country music,year_end,0,1
artist_001531,Blake Shelton,Blake Shelton,existing_artist,I'll Just Hold On,i ll just hold on,2009,8,2009,8,2009 in country music,year_end,0,1
artist_001531,Blake Shelton,Blake Shelton,existing_artist,She Wouldn't Be Gone,she wouldn t be gone,2009,1,2009,1,2009 in country music,year_end,0,1
artist_001531,Blake Shelton,Blake Shelton,existing_artist,She's Got a Way with Words,she s got a way with words,2016,8,2016,8,2016 in country music,year_end,0,1
artist_001531,Blake Shelton,Blake Shelton,existing_artist,Who Are You When I'm Not Looking,who are you when i m not looking,2011,1,2011,1,2011 in country music,year_end,0,1
artist_000958,Bob Gallion,Bob Gallion,existing_artist,Loving You (Was Worth This Broken Heart),loving you,1961,22,1961,22,Billboard year-end top 50 country & western singles of 1961,year_end_wikipedia,0,1
artist_000958,Bob Gallion,Bob Gallion,existing_artist,You Take the Table and I'll Take the Chairs,you take the table and i ll take the chairs,1959,18,1959,18,1959 in country music,year_end,0,1
artist_001781,Bob Luman,Bob Luman,existing_artist,Let's Think About Living,let s think about living,1960,9,1960,9,1960 in country music,year_end,0,1
artist_001781,Bob Luman,Bob Luman,existing_artist,Still Loving You,still loving you,1974,7,1974,7,1974 in country music,year_end,0,1
artist_002093,Bob Wills,Bob Wills and His Texas Playboys,existing_artist,Bubbles in My Beer,bubbles in my beer,1948,16,1948,16,1948 in country music,year_end,0,1
artist_002093,Bob Wills,Bob Wills and His Texas Playboys,existing_artist,Stay A Little Longer,stay a little longer,1946,17,1946,17,1946 in country music,year_end,0,1
artist_002093,Bob Wills,Bob Wills and His Texas Playboys,existing_artist,Sugar Moon,sugar moon,1947,7,1947|1947,7|13,1947 in country music,year_end,0,1
artist_002093,Bob Wills,Bob Wills and His Texas Playboys,existing_artist,White Cross on Okinawa,white cross on okinawa,1946,5,1946,5,1946 in country music,year_end,0,1
artist_002567,Bob Wills and Tommy Duncan,Bob Wills and Tommy Duncan,existing_artist,Heart to Heart Talk,heart to heart talk,1960,5,1960,5,1960 in country music,year_end,0,0
artist_001495,Bobby Bare,Bobby Bare,existing_artist,Miller's Cave,miller s cave,1964,4,1964,4,1964 in country music,year_end,0,1
artist_002568,"Bobby Bare and Bobby Bare, Jr.","Bobby Bare and Bobby Bare, Jr.",existing_artist,"Daddy, What If",daddy what if,1974,2,1974,2,1974 in country music,year_end,0,0
artist_001418,Bobby Darin,Bobby Darin,existing_artist,Splish Splash,splish splash,1958,14,1958,14,1958 in country music,year_end,0,1
artist_000966,Bobby Edwards,Bobby Edwards,existing_artist,You're the Reason,you re the reason,1961,33,1961,33,Billboard year-end top 50 country & western singles of 1961,year_end_wikipedia,0,1
artist_001952,Bobby Helms,Bobby Helms,existing_artist,Fraulein,fraulein,1957,1,1957|1958,1|40,Billboard Top Country & Western Records of 1957|Billboard year-end top 50 country & western singles of 1958,year_end|year_end_wikipedia,0,1
artist_001952,Bobby Helms,Bobby Helms,existing_artist,My Special Angel,my special angel,1957,1,1957|1958,1|25,Billboard Top Country & Western Records of 1957|Billboard year-end top 50 country & western singles of 1958,year_end|year_end_wikipedia,0,1
artist_002439,Bonnie Lou,Bonnie Lou,existing_artist,Seven Lonely Days,seven lonely days,1953,29,1953,29,Billboard Top Country & Western Records of 1953,year_end,0,0
artist_002140,Boy Howdy,Boy Howdy,existing_artist,She'd Give Anything,she d give anything,1994,4,1994,4,1994 in country music,year_end,0,1
artist_002140,Boy Howdy,Boy Howdy,existing_artist,They Don't Make 'Em Like That Anymore,they don t make em like that anymore,1994,2,1994,2,1994 in country music,year_end,0,1
artist_000166,Brad Paisley,Brad Paisley,existing_artist,I'm Still a Guy,i m still a guy,2008,1,2008,1,2008 in country music,year_end,0,1
artist_000166,Brad Paisley,Brad Paisley,existing_artist,She's Everything,she s everything,2007,1,2007,1,2007 in country music,year_end,0,1
artist_000973,Brantley Gilbert,Brantley Gilbert,existing_artist,17 Again,17 again,2014,19,2014,19,2014 in country music,year_end,0,1
artist_000973,Brantley Gilbert,Brantley Gilbert,existing_artist,Bottoms Up,bottoms up,2014,1,2014,1,2014 in country music,year_end,0,1
artist_000973,Brantley Gilbert,Brantley Gilbert,existing_artist,My Baby's Guns N' Roses,my baby s guns n roses,2014,18,2014,18,2014 in country music,year_end,0,1
artist_000973,Brantley Gilbert,Brantley Gilbert,existing_artist,One Hell of an Amen,one hell of an amen,2015,5,2015,5,2015 in country music,year_end,0,1
artist_000973,Brantley Gilbert,Brantley Gilbert featuring Justin Moore and Thomas Rhett,existing_artist,Small Town Throwdown,small town throwdown,2014,13,2014,13,2014 in country music,year_end,0,1
artist_000973,Brantley Gilbert,Brantley Gilbert,existing_artist,You Don't Know Her Like I Do,you don t know her like i do,2012,1,2012,1,2012 in country music,year_end,0,1
artist_002569,Brantley Gilbert and Lindsay Ell,Brantley Gilbert and Lindsay Ell,existing_artist,What Happens in a Small Town,what happens in a small town,2019,7,2019,7,2019 in country music,year_end,0,0
artist_000135,Brett Eldredge,Brett Eldredge,existing_artist,Don't Ya,don t ya,2013,5,2013,5,2013 in country music,year_end,0,1
artist_000040,Brett Young,Brett Young,existing_artist,You Didn't,you didn t,2023,18,2023,18,2023 in country music,year_end,0,1
artist_002529,Brian Shaw,Brian Shaw,existing_artist,Here We Go Again,here we go again,1974,17,1974,17,1974 in country music,year_end,0,0
artist_001314,Brooks & Dunn,Brooks & Dunn,existing_artist,Ain't Nothing 'bout You,ain t nothing bout you,2001,1,2001,1,2001 in country music,year_end,0,1
artist_001314,Brooks & Dunn,Brooks & Dunn featuring Reba McEntire,existing_artist,Cowgirls Don't Cry,cowgirls don t cry,2009,2,2009,2,2009 in country music,year_end,0,1
artist_001314,Brooks & Dunn,Brooks & Dunn,existing_artist,He's Got You,he s got you,1998,2,1998,2,1998 in country music,year_end,0,1
artist_001314,Brooks & Dunn,Brooks & Dunn,existing_artist,She's Not the Cheatin' Kind,she s not the cheatin kind,1994,1,1994,1,1994 in country music,year_end,0,1
artist_001314,Brooks & Dunn,Brooks & Dunn,existing_artist,That Ain't No Way to Go,that ain t no way to go,1994,1,1994,1,1994 in country music,year_end,0,1
