song_name,artist_name,id,type,version,votes,rating,difficulty,tuning,capo,url_web,upload_date,upload_year,genre,main_key,bpm,song_structure,has_intro,has_verse,has_chorus,has_bridge,has_outro,chord_1,chord_1_count,chord_2,chord_2_count,chord_3,chord_3_count,complexity,repetition,melodicness,energy,finger_movement,disruption,root_stability,intra_root_variation,harmonic_palette,loop_strength,structure_variation,playability,harmonic_softness,release_year
1 2 3 Mississippi,Brett Young,2615151.0,Chords,1.0,13,4.90025,novice,E A D G B E,4.0,https://tabs.ultimate-guitar.com/tab/brett-young/1-2-3-mississippi-chords-2615151,2019-02-24,2019.0,,,,"Intro, Verse 1, Chorus, Verse 2, Chorus, Bridge, Chorus",1,1,1,1,0,D,34,G,26,Em,5,0.027027027027027,0.9324324324324323,0.0,0.6448648648648648,0.1891891891891892,0.783418553688824,0.1081081081081081,0.0,0.5,0.3243243243243243,0.8333333333333334,0.972972972972973,0.0,2018.0
1-800 Used To Be,Lorrie Morgan,3103985.0,Chords,1.0,0,0.0,,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/lorrie-morgan/1-800-used-to-be-chords-3103985,2020-04-25,2020.0,country,,,"Verse 1, Chorus, Verse 2, Chorus, Bridge, Instrumental, Chorus",0,1,1,1,0,E,25,A,21,B,19,0.0184615384615384,0.9538461538461538,0.0,0.6092307692307692,0.0,0.6276923076923078,0.2,0.0,0.3,1.2923076923076924,0.8333333333333334,0.9815384615384616,0.0,
1-900 Lover,Pat Green,2094529.0,Chords,1.0,0,0.0,,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/pat-green/1-900-lover-chords-2094529,2017-07-27,2017.0,country,,,"Verse, Chorus, Verse, Chorus, Instrumental, Verse, Chorus",0,1,1,0,0,A,37,D,25,E,22,0.0142857142857142,0.9642857142857144,0.0,0.7349999999999999,0.0,0.9413265306122448,0.0238095238095238,0.0,0.3,0.0,0.5,0.9857142857142858,0.0,1997.0
100 Greenback Dollar Bills,Spirit Family Reunion,1464123.0,Chords,1.0,3,4.56735,novice,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/spirit-family-reunion/100-greenback-dollar-bills-chords-1464123,2014-02-19,2014.0,country,,,"Intro, Verse, Chorus, Verse, Chorus, Break, Verse, Chorus, Outro",0,0,0,0,0,G,11,C,8,D,6,0.0792712066905615,0.8936678614097969,0.0,0.6702031063321385,0.1224611708482676,0.8048629042963648,0.1200716845878136,0.3333333333333333,0.4,0.4707287933094384,0.4166666666666667,0.9207287933094384,0.0612305854241338,2013.0
10000 Hours,Dan + Shay,2846348.0,Chords,1.0,1427,4.86676,novice,E A D G B E,3.0,https://tabs.ultimate-guitar.com/tab/dan-shay/10000-hours-chords-2846348,2019-10-04,2019.0,rock,Bb,90.0,"Verse 1, Pre-Chorus 1, Chorus 1, Verse 2, Pre-Chorus 2, Chorus 2, Bridge, Chorus 3, Outro",0,1,1,1,1,G,59,C,34,Em,24,0.0634601350118591,0.966349662470352,0.1666666666666666,0.6245625798212006,1.0321793468345193,0.7069065293742018,0.1696428571428571,0.1111111111111111,0.3999999999999999,3.2056650246305423,0.7777777777777778,0.9365398649881408,0.0833333333333333,2019.0
10000 Miles,Mary Chapin Carpenter,1465105.0,Chords,2.0,34,4.52442,novice,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/mary-chapin-carpenter/10000-miles-chords-1465105,2014-03-03,2014.0,country,,,,0,0,0,0,0,G,3,C,3,Em,2,0.0985754985754985,0.7535612535612536,0.0,0.7008072174738841,0.5949667616334283,0.9125778199852274,0.0185185185185185,0.1111111111111111,0.6,0.0,0.0,0.9014245014245016,0.0,
100000 Dollars In Pennies,Bobby Bare,3942080.0,Chords,1.0,0,0.0,,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/bobby-bare/100000-dollars-in-pennies-chords-3942080,2021-11-09,2021.0,country,D,115.0,"Verse, Chorus, Chorus, Chorus",0,1,1,0,0,D,22,E,13,G,12,0.2534653465346534,0.8415841584158416,0.0,0.7461386138613861,0.495049504950495,0.9704930889128516,0.0099009900990099,0.6666666666666666,1.6,0.0,0.3333333333333333,0.7465346534653465,0.3168316831683168,
12 Oclock Whistle,James McMurtry,4624508.0,Chords,1.0,0,0.0,,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/james-mcmurtry/12-oclock-whistle-chords-4624508,2023-01-30,2023.0,country,G,,"Intro, Verse 1, Verse 2, Verse 3, Chorus, Verse 4, Verse 5, Chorus, Instrumental, Verse 6, Verse 7, Chorus, Outro",1,1,1,0,1,Cadd9,41,G,39,Em7,7,0.3339622641509434,0.9433962264150944,0.9056603773584906,0.7467924528301886,2.962264150943396,0.97187611249555,0.0094339622641509,0.3333333333333333,0.6,1.018867924528302,1.8333333333333333,0.6660377358490566,0.5188679245283019,1997.0
15 Miles To Birmingham,Jim Hurst,4643351.0,Chords,1.0,0,0.0,,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/jim-hurst/15-miles-to-birmingham-chords-4643351,2023-02-12,2023.0,,G,,"Intro, Chorus, Solo, Verse 2, Solo, Verse 3, Solo, Chorus, Outro",1,1,1,0,1,G,44,C,14,D,8,0.0181818181818181,0.9545454545454546,0.0,0.516060606060606,0.0,0.4343434343434343,0.3333333333333333,0.0,0.3,0.0606060606060606,1.0,0.9818181818181818,0.0,2022.0
16Th Avenue,Lacy J. Dalton,1788813.0,Chords,2.0,243,4.89187,,E A D G B E,0.0,https://tabs.ultimate-guitar.com/tab/lacy-j-dalton/16th-avenue-chords-1788813,2015-12-05,2015.0,country,,,"Intro, Verse 1, Verse 2, Verse 3, Instrumental, Bridge, Verse 4, Verse 5",1,1,0,1,0,G,34,C,24,Em,20,0.142063492063492,0.8055555555555556,0.0,0.7169444444444444,0.789021164021164,0.8648641555387588,0.0806878306878306,0.6666666666666666,0.6499999999999999,0.0,0.75,0.857936507936508,0.1071428571428571,1989.0
