song_name,artist_name,upload_year,complexity,repetition,harmonic_palette,structure_variation,playability,release_year,birth_year,billboard_country_year_end_flag,billboard_country_year_end_pos,artist_age_at_release,macro_region_clean,genre_clean,first_chord_group
Jesus Hold My Hand,Bill Monroe,2022,.0242424242424242,.9393939393939394,.4,1,.9757575757575756,1946,1911,No,,35,Appalachia,country,A
Wicked Path Of Sin,Bill Monroe,2022,.0218181818181818,.9454545454545454,.3,1.166666666666667,.9781818181818182,1946,1911,No,,35,Appalachia,country,A
Be Sure Theres No Mistake,Eddy Arnold,2015,.0725,.95,.4,1.166666666666667,.9275,1946,1918,No,,28,Appalachia,country,C
I Couldnt Believe It Was True,Eddy Arnold,2017,.1934782608695652,.9565217391304348,.4,1,.8065217391304348,1946,1918,No,,28,Appalachia,country,G
To My Sorrow,Eddy Arnold,2015,.3043478260869565,.8913043478260869,.5,0,.6956521739130435,1946,1918,Yes,11,28,Appalachia,country,C
Bull Mountain Lad,George Jones,2024,.1333333333333333,.8245614035087719,1,.8333333333333334,.8666666666666667,1946,1931,No,,15,South,country,E
Tattletale Eyes,George Jones,2017,.12,.88,.9,.8333333333333334,.88,1946,1931,No,,15,South,country,C
Thats When Its Coming Home To You,Hawkshaw Hawkins,2015,.2458333333333333,.9166666666666666,.4,0,.7541666666666667,1946,1921,No,,25,South,country,G
Country Ass Shit,Morgan Wallen,2021,.0247787610619469,.9380530973451328,.7,1.166666666666667,.9752212389380532,1946,1993,No,,-47,Appalachia,country,D
Driving Nails In My Coffin,Rhonda Vincent,2016,.0126984126984126,.9682539682539684,.2,0,.9873015873015872,1946,1962,No,,-16,Midwest,country,G
Little Community Church,Bill Monroe,2022,.0266666666666666,.9333333333333332,.3,1.166666666666667,.9733333333333334,1947,1911,No,,36,Appalachia,country,F
Faded Love,Bob Wills & His Texas Playboys,2015,.2439024390243902,.902439024390244,.8,.8333333333333334,.7560975609756098,1947,1905,No,,42,South,country,A
Ida Red,Bob Wills & His Texas Playboys,2018,.245,.95,.2,1,.755,1947,1905,No,,42,South,country,D
New Spanish Two Step,Bob Wills & His Texas Playboys,2024,.0652631578947368,.9473684210526316,.5,.8333333333333334,.9347368421052632,1947,1905,No,,42,South,country,A
Roly Poly,Bob Wills & His Texas Playboys,2014,.2105263157894736,.868421052631579,.5,0,.7894736842105263,1947,1905,No,,42,South,country,G
Dont Bother To Cry,Eddy Arnold,2015,.160919540229885,.942528735632184,.5,1.166666666666667,.8390804597701149,1947,1918,No,,29,Appalachia,country,F
