release_year,n_tabs,bpm,complexity,repetition,melodicness,energy,finger_movement,disruption,root_stability,intra_root_variation,harmonic_palette,loop_strength,structure_variation,playability,harmonic_softness,share_billboard_year_end,release_upload_gap
1946,10,88,.1153030533444154,.9210209707579546,0,.6427634256642689,.3033717252924539,.7026429668287179,.1803934111296406,.2,.52,.2315090824406148,.7166666666666667,.8846969466555846,.1395190694126621,.1,72.400002
1947,7,,.1733219613373214,.9279014398907277,0,.6152059184968308,.4478876965331748,.5891644658805683,.2675872994794247,.2380952380952381,.4571428571428571,.211148561057817,.8571428571428571,.8266780386626786,.2408042288226875,0,70.428574
1948,8,68,.1257062072609695,.9444809656731739,.0625,.597862956912704,.5762395247304266,.5843557187165618,.2855559448118736,.1666666666666667,.3875,.9778571428571429,1.1875,.8742937927390305,.1724976558837318,0,72.125
1949,23,122,.2169436348008707,.8976723509464064,0,.6496456738755756,.5457803689325241,.7002227754131358,.1940868029232128,.2028985507246377,.508695652173913,.1499549187673259,.6642512077294687,.7830563651991291,.2933542919657222,.0434782608695652,70.08696
1950,17,,.1943398288215529,.8821089359912816,0,.6652289007814453,.4760116669389384,.7427040623573082,.157482620267904,.1764705882352941,.4941176470588236,.6390964924799512,.6078431372549019,.8056601711784471,.2453056720301092,.1176470588235294,66.705879
1951,19,125.5,.1736067831071444,.9026100632071788,0,.6319741973589921,.3936349099152174,.6708727746912836,.196073551711227,.1929824561403509,.4736842105263159,.1704334092070423,.8157894736842105,.8263932168928555,.2244180139833599,.2105263157894737,68.421051
1952,17,136.5,.2327506948287343,.8997448619005093,0,.6581841956864118,.564975446139108,.6959499834746348,.2163001294142812,.3137254901960784,.623529411764706,.2411430021823343,.6666666666666666,.7672493051712657,.3210810659815632,.1764705882352941,66.470589
1953,18,105,.2105689918197749,.8785266370591206,0,.6718998610647865,.3764812319870984,.7649265734121788,.1487929229419885,.2592592592592593,.5916666666666667,.4069993402809138,.5509259259259259,.789431008180225,.2699660777390386,.2222222222222222,63.222221
1954,20,148.3333333333333,.2325453219498249,.8879069983147024,0,.6576771191198642,.497876408250866,.7415516670496112,.1669912297315764,.3166666666666667,.68,.1932971730844071,.4416666666666667,.7674546780501749,.3128468687928432,.1,64.900002
1955,33,142.3333333333333,.1783979255349963,.8949723173188388,0,.6624361787135286,.4161191606536312,.7474072519683299,.1546126103340913,.2121212121212121,.484848484848485,.240372947651304,.5050505050505051,.8216020744650037,.2273114207708864,.0303030303030303,62.848484
